epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5992,0.92666,1.69076,0.71281,0.01044,0.86351,0.10349,0.05024,0.63166,1.25019,0.2202,0.0670799,6.59722e-05,6.59722e-05
2,65.6404,0.55328,1.42267,0.33042,0.01116,0.91365,0.09668,0.06412,0.47495,1.3991,0.16087,0.0338129,0.000132376,0.000132376
3,98.7845,0.4604,1.50708,0.25372,0.04646,0.8468,0.05855,0.04104,0.40572,1.35925,0.13442,0.000545739,0.000198516,0.000198516
4,131.541,0.36823,1.53222,0.21687,0.06344,0.70195,0.07356,0.05167,0.35851,1.25782,0.1087,0.000198812,0.000198812,0.000198812
5,164.393,0.34598,1.4646,0.19492,0.10074,0.55421,0.13118,0.08789,0.32447,1.267,0.0996,0.000198416,0.000198416,0.000198416
6,197.392,0.31567,1.46228,0.18026,0.16255,0.45404,0.1588,0.10809,0.38437,1.14205,0.13049,0.00019802,0.00019802,0.00019802
7,230.389,0.30474,1.4302,0.17815,0.16933,0.52368,0.16117,0.10676,0.33566,1.11666,0.1057,0.000197624,0.000197624,0.000197624
8,263.143,0.30541,1.35447,0.17359,0.19079,0.54875,0.20567,0.13439,0.32721,1.08518,0.09661,0.000197228,0.000197228,0.000197228
9,296.084,0.32566,1.24444,0.18466,0.21741,0.61281,0.24359,0.16825,0.33255,1.09473,0.10917,0.000196832,0.000196832,0.000196832
10,329.117,0.33054,1.18477,0.19645,0.22454,0.61622,0.26474,0.18516,0.34477,1.07902,0.11281,0.000196436,0.000196436,0.000196436
11,362.078,0.31539,1.11566,0.19204,0.24703,0.69359,0.34252,0.24781,0.34665,1.26107,0.11041,0.00019604,0.00019604,0.00019604
12,395.06,0.33557,0.97043,0.20249,0.74848,0.80501,0.80781,0.57197,0.3512,0.74728,0.11231,0.000195644,0.000195644,0.000195644
13,428.091,0.35847,0.65985,0.23398,0.80945,0.80501,0.83723,0.59272,0.37075,0.69762,0.12484,0.000195248,0.000195248,0.000195248
14,461.027,0.33718,0.68032,0.23085,0.78995,0.86948,0.86438,0.60493,0.37072,0.57106,0.12171,0.000194852,0.000194852,0.000194852
15,494.072,0.34135,0.59446,0.22459,0.80658,0.87187,0.89139,0.62238,0.35986,0.4728,0.11795,0.000194456,0.000194456,0.000194456
16,527.13,0.33926,0.55357,0.23398,0.82461,0.83844,0.87675,0.62726,0.35359,0.58952,0.11569,0.00019406,0.00019406,0.00019406
17,560.111,0.33456,0.52903,0.23485,0.82833,0.8663,0.89516,0.63467,0.34583,0.46611,0.11326,0.000193664,0.000193664,0.000193664
18,593.155,0.32053,0.54056,0.21716,0.82671,0.84123,0.87282,0.62179,0.355,0.53801,0.11984,0.000193268,0.000193268,0.000193268
19,625.936,0.32977,0.55819,0.21359,0.85398,0.88022,0.91777,0.65306,0.34469,0.56181,0.10975,0.000192872,0.000192872,0.000192872
20,658.926,0.29862,0.55247,0.21422,0.83948,0.85951,0.87768,0.62628,0.36815,0.50106,0.12624,0.000192476,0.000192476,0.000192476
21,691.828,0.32124,0.54334,0.21789,0.85082,0.77842,0.84367,0.61077,0.38569,0.57183,0.1392,0.00019208,0.00019208,0.00019208
22,724.635,0.3124,0.54555,0.20991,0.79911,0.86351,0.87272,0.6202,0.35009,0.53818,0.11648,0.000191684,0.000191684,0.000191684
23,757.473,0.32192,0.50645,0.2042,0.8554,0.85684,0.8932,0.64186,0.34659,0.49113,0.11428,0.000191288,0.000191288,0.000191288
24,790.54,0.30828,0.52966,0.1976,0.85933,0.8468,0.89766,0.64327,0.33991,0.48702,0.11136,0.000190892,0.000190892,0.000190892
25,823.051,0.30591,0.5119,0.20789,0.8524,0.83648,0.87059,0.63912,0.33831,0.52275,0.11649,0.000190496,0.000190496,0.000190496
26,856.032,0.29394,0.49642,0.19845,0.85562,0.84401,0.89276,0.63767,0.34497,0.52893,0.11674,0.0001901,0.0001901,0.0001901
27,888.691,0.2931,0.51971,0.19481,0.84906,0.8663,0.89368,0.64657,0.34063,0.48925,0.11595,0.000189704,0.000189704,0.000189704
28,921.574,0.28342,0.49834,0.18991,0.85996,0.84123,0.8995,0.64302,0.32957,0.52619,0.10899,0.000189308,0.000189308,0.000189308
29,954.383,0.29235,0.49628,0.1984,0.85131,0.85794,0.89481,0.64557,0.33871,0.49683,0.11784,0.000188912,0.000188912,0.000188912
30,987.207,0.29492,0.50343,0.20595,0.83498,0.83844,0.90073,0.65928,0.33189,0.49972,0.11218,0.000188516,0.000188516,0.000188516
31,1020.22,0.29203,0.50534,0.19695,0.86763,0.82173,0.90626,0.64972,0.35066,0.46347,0.11896,0.00018812,0.00018812,0.00018812
32,1053.17,0.28995,0.50936,0.18387,0.86586,0.84958,0.90648,0.6544,0.34282,0.51562,0.10742,0.000187724,0.000187724,0.000187724
33,1086.06,0.28508,0.47691,0.18191,0.83899,0.8564,0.90309,0.64663,0.32936,0.50332,0.11002,0.000187328,0.000187328,0.000187328
34,1118.77,0.27903,0.47897,0.1939,0.8216,0.84667,0.8739,0.63232,0.34764,0.51904,0.11497,0.000186932,0.000186932,0.000186932
35,1151.58,0.27089,0.48613,0.18507,0.84675,0.83008,0.9025,0.65877,0.33059,0.51059,0.1106,0.000186536,0.000186536,0.000186536
36,1184.45,0.27006,0.44061,0.17688,0.82575,0.84483,0.90794,0.66138,0.33658,0.4614,0.11089,0.00018614,0.00018614,0.00018614
37,1217.48,0.2698,0.4748,0.18914,0.81251,0.83293,0.89891,0.64446,0.33754,0.45888,0.11503,0.000185744,0.000185744,0.000185744
38,1250.27,0.27383,0.48083,0.18218,0.81685,0.89451,0.90956,0.66251,0.33038,0.47031,0.10749,0.000185348,0.000185348,0.000185348
39,1283.22,0.26539,0.44809,0.18194,0.84002,0.86072,0.90082,0.65368,0.33736,0.47744,0.11248,0.000184952,0.000184952,0.000184952
40,1316.1,0.2617,0.45718,0.18524,0.84959,0.8663,0.91107,0.65834,0.33855,0.49235,0.10962,0.000184556,0.000184556,0.000184556
41,1348.87,0.26665,0.46478,0.1725,0.86756,0.85758,0.90657,0.65689,0.33805,0.45563,0.11042,0.00018416,0.00018416,0.00018416
42,1381.71,0.27433,0.45769,0.183,0.8414,0.88022,0.91711,0.67029,0.35035,0.43899,0.11147,0.000183764,0.000183764,0.000183764
43,1414.71,0.26165,0.47471,0.18409,0.85793,0.85788,0.91617,0.66173,0.33578,0.48647,0.1067,0.000183368,0.000183368,0.000183368
44,1447.51,0.25191,0.46415,0.17114,0.85851,0.85237,0.90464,0.64569,0.33699,0.48997,0.10982,0.000182972,0.000182972,0.000182972
45,1480.3,0.26304,0.45706,0.18158,0.86065,0.8273,0.90231,0.66208,0.33043,0.47641,0.10922,0.000182576,0.000182576,0.000182576
46,1513.1,0.26061,0.47155,0.1853,0.83344,0.83565,0.88722,0.63896,0.3548,0.52581,0.11959,0.00018218,0.00018218,0.00018218
47,1545.87,0.2536,0.45914,0.16257,0.86479,0.81954,0.90005,0.66514,0.33046,0.44409,0.10661,0.000181784,0.000181784,0.000181784
48,1578.76,0.25672,0.44531,0.18631,0.85089,0.85834,0.90449,0.6617,0.34446,0.44873,0.11491,0.000181388,0.000181388,0.000181388
49,1611.64,0.26713,0.4414,0.17719,0.87847,0.87187,0.91844,0.66843,0.33797,0.44936,0.10822,0.000180992,0.000180992,0.000180992
50,1644.38,0.24777,0.4353,0.1701,0.84419,0.86351,0.90051,0.65926,0.34631,0.45775,0.1097,0.000180596,0.000180596,0.000180596
51,1677.15,0.25591,0.45905,0.16786,0.8559,0.87744,0.91166,0.65955,0.34421,0.5103,0.11399,0.0001802,0.0001802,0.0001802
52,1709.95,0.25116,0.46765,0.16308,0.8609,0.89972,0.91547,0.66563,0.33507,0.4536,0.10584,0.000179804,0.000179804,0.000179804
53,1742.82,0.25056,0.44672,0.16298,0.83321,0.87666,0.89824,0.65639,0.33926,0.46797,0.11619,0.000179408,0.000179408,0.000179408
54,1775.59,0.25083,0.44283,0.17479,0.86585,0.845,0.91223,0.66525,0.33958,0.45455,0.1099,0.000179012,0.000179012,0.000179012
55,1808.35,0.26005,0.42963,0.1769,0.85337,0.88022,0.92056,0.67717,0.33039,0.44956,0.10976,0.000178616,0.000178616,0.000178616
56,1841.36,0.24043,0.42281,0.15623,0.85627,0.8663,0.89855,0.65542,0.33004,0.51318,0.1067,0.00017822,0.00017822,0.00017822
57,1874.25,0.25152,0.42739,0.17278,0.82563,0.88579,0.92092,0.66747,0.33779,0.46343,0.10513,0.000177824,0.000177824,0.000177824
58,1907.03,0.23713,0.42756,0.16496,0.84979,0.88249,0.91533,0.65924,0.34196,0.4361,0.11509,0.000177428,0.000177428,0.000177428
59,1939.89,0.24062,0.42262,0.16061,0.87668,0.85152,0.90453,0.65843,0.34486,0.46093,0.1144,0.000177032,0.000177032,0.000177032
60,1972.58,0.25042,0.43001,0.16574,0.87013,0.83985,0.91258,0.66047,0.33529,0.46948,0.10882,0.000176636,0.000176636,0.000176636
61,2005.39,0.24125,0.41384,0.16467,0.8929,0.85237,0.91986,0.6612,0.33658,0.4621,0.10941,0.00017624,0.00017624,0.00017624
62,2038.19,0.23911,0.42916,0.16621,0.81814,0.86908,0.91395,0.6647,0.33001,0.48985,0.10688,0.000175844,0.000175844,0.000175844
63,2070.9,0.23657,0.43051,0.15123,0.83743,0.86908,0.89993,0.6601,0.33888,0.50333,0.11465,0.000175448,0.000175448,0.000175448
64,2103.86,0.24052,0.43441,0.15627,0.83971,0.85515,0.90187,0.66963,0.31659,0.51124,0.09869,0.000175052,0.000175052,0.000175052
65,2136.56,0.24353,0.44728,0.15878,0.86135,0.86908,0.90975,0.66067,0.33209,0.45499,0.10995,0.000174656,0.000174656,0.000174656
66,2169.3,0.24528,0.42367,0.16688,0.87286,0.83008,0.87835,0.64412,0.34258,0.54701,0.11613,0.00017426,0.00017426,0.00017426
67,2202.17,0.24729,0.42204,0.16963,0.90245,0.81894,0.9252,0.66631,0.32973,0.45552,0.1006,0.000173864,0.000173864,0.000173864
68,2235,0.24936,0.40112,0.15591,0.86558,0.89694,0.91767,0.66169,0.33499,0.46364,0.11132,0.000173468,0.000173468,0.000173468
69,2267.85,0.23336,0.41077,0.16358,0.87089,0.88022,0.91263,0.67231,0.33444,0.45574,0.11074,0.000173072,0.000173072,0.000173072
70,2300.68,0.25785,0.41498,0.16927,0.8704,0.86056,0.91413,0.66792,0.33091,0.45746,0.10678,0.000172676,0.000172676,0.000172676
71,2333.51,0.24805,0.41581,0.17433,0.90179,0.82173,0.91026,0.66462,0.33626,0.44483,0.10711,0.00017228,0.00017228,0.00017228
72,2366.37,0.22539,0.42817,0.14697,0.88294,0.86351,0.91876,0.67431,0.32387,0.4443,0.10288,0.000171884,0.000171884,0.000171884
73,2399.18,0.23462,0.41616,0.15448,0.87637,0.86883,0.91977,0.67055,0.32046,0.44285,0.10268,0.000171488,0.000171488,0.000171488
