epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8631,1.1876,3.04688,1.46034,0.90015,0.10045,0.36119,0.23892,1.27141,3.20704,1.12253,0.000652778,0.000652778,0.000652778
2,21.0412,1.36531,2.5392,1.55728,0.4171,0.3454,0.33469,0.18027,1.59706,2.83139,1.3815,0.00131683,0.00131683,0.00131683
3,31.1009,1.43561,2.28398,1.60183,0.10925,0.09471,0.04327,0.02535,1.82662,3.57099,1.86834,0.00197825,0.00197825,0.00197825
4,41.091,1.43226,2.02092,1.64689,0.32103,0.15042,0.14249,0.07614,2.10212,3.3954,2.24163,0.00198812,0.00198812,0.00198812
5,51.0649,1.43528,1.86446,1.618,0.1254,0.08635,0.05676,0.03034,1.79823,3.79811,1.93905,0.00198416,0.00198416,0.00198416
6,61.037,1.38153,1.70695,1.60386,0.54472,0.41783,0.44085,0.25993,1.55321,2.34932,1.45221,0.0019802,0.0019802,0.0019802
7,71.0914,1.33887,1.55364,1.52878,0.62031,0.51532,0.52808,0.30646,1.48865,2.11736,1.36168,0.00197624,0.00197624,0.00197624
8,81.1169,1.35264,1.51133,1.57246,0.62954,0.59331,0.63672,0.39056,1.41936,1.5816,1.29711,0.00197228,0.00197228,0.00197228
9,91.1277,1.31798,1.40925,1.53265,0.65535,0.5571,0.61973,0.37173,1.35363,1.56269,1.28955,0.00196832,0.00196832,0.00196832
10,101.159,1.26483,1.36435,1.48964,0.6982,0.66852,0.71706,0.46114,1.30536,1.71024,1.23399,0.00196436,0.00196436,0.00196436
11,111.153,1.22446,1.28105,1.47699,0.58614,0.60167,0.62197,0.38785,1.29736,1.45354,1.27373,0.0019604,0.0019604,0.0019604
12,121.14,1.21164,1.25849,1.47531,0.71821,0.66026,0.72192,0.44806,1.37846,1.78216,1.25047,0.00195644,0.00195644,0.00195644
13,131.147,1.18822,1.25939,1.43251,0.69986,0.61003,0.69076,0.45355,1.32842,1.29489,1.27986,0.00195248,0.00195248,0.00195248
14,141.181,1.19858,1.22278,1.44973,0.69068,0.48513,0.558,0.35397,1.41339,1.57411,1.3252,0.00194852,0.00194852,0.00194852
15,151.202,1.17934,1.19252,1.42705,0.74832,0.68802,0.74544,0.46162,1.28663,1.38412,1.23546,0.00194456,0.00194456,0.00194456
16,161.212,1.13575,1.11531,1.39873,0.78446,0.64345,0.74496,0.47631,1.38464,1.19712,1.23037,0.0019406,0.0019406,0.0019406
17,171.242,1.14865,1.12538,1.3987,0.79251,0.69081,0.76278,0.47526,1.3455,1.77504,1.23249,0.00193664,0.00193664,0.00193664
18,181.225,1.14217,1.12693,1.41321,0.6387,0.58774,0.62782,0.39744,1.35344,1.46324,1.30176,0.00193268,0.00193268,0.00193268
19,191.213,1.11605,1.07681,1.38177,0.69196,0.67131,0.7214,0.45937,1.27134,1.30311,1.23373,0.00192872,0.00192872,0.00192872
20,201.221,1.1211,1.07381,1.38163,0.76461,0.66956,0.76181,0.4879,1.26358,1.22042,1.1898,0.00192476,0.00192476,0.00192476
21,211.177,1.10249,1.03871,1.37784,0.79414,0.6156,0.73689,0.48005,1.32097,1.11711,1.23716,0.0019208,0.0019208,0.0019208
22,221.164,1.12101,1.0644,1.39132,0.73417,0.64345,0.72813,0.48228,1.24463,1.29823,1.22035,0.00191684,0.00191684,0.00191684
23,231.143,1.07507,1.00535,1.34745,0.82344,0.73259,0.82273,0.54333,1.26002,1.07115,1.21231,0.00191288,0.00191288,0.00191288
24,241.145,1.04663,0.98571,1.35153,0.76935,0.48468,0.63558,0.41536,1.38951,1.49772,1.30525,0.00190892,0.00190892,0.00190892
25,251.141,1.09949,1.03285,1.36832,0.75031,0.62674,0.71705,0.44893,1.40222,1.23773,1.31433,0.00190496,0.00190496,0.00190496
26,261.167,1.07854,1.00006,1.3535,0.68543,0.59053,0.6319,0.36739,1.48704,1.35407,1.41992,0.001901,0.001901,0.001901
27,271.154,1.08385,1.03307,1.36802,0.76469,0.63788,0.74218,0.46445,1.30977,1.10308,1.2656,0.00189704,0.00189704,0.00189704
28,281.126,1.06986,1.01079,1.3463,0.73046,0.62117,0.72485,0.48436,1.23158,1.26145,1.19513,0.00189308,0.00189308,0.00189308
29,291.061,1.06835,0.99308,1.36017,0.7135,0.61281,0.7268,0.47933,1.31286,1.2407,1.24376,0.00188912,0.00188912,0.00188912
30,301.043,1.07882,1.01151,1.36249,0.80669,0.76718,0.84919,0.55547,1.24552,1.02535,1.20104,0.00188516,0.00188516,0.00188516
31,311.055,1.02392,0.92955,1.30541,0.83882,0.72702,0.81459,0.55152,1.22203,0.96729,1.17904,0.0018812,0.0018812,0.0018812
32,321.086,1.03935,0.92884,1.31666,0.76425,0.78552,0.83707,0.56723,1.22479,0.91935,1.18843,0.00187724,0.00187724,0.00187724
33,331.072,1.01806,0.91812,1.31285,0.81662,0.78145,0.87019,0.59073,1.19502,0.88437,1.15655,0.00187328,0.00187328,0.00187328
34,341.071,1.01912,0.92219,1.29112,0.82327,0.72667,0.83121,0.55135,1.24682,0.94912,1.20369,0.00186932,0.00186932,0.00186932
35,351.046,1.03559,0.93046,1.32452,0.8162,0.71746,0.8124,0.54114,1.20158,1.00024,1.196,0.00186536,0.00186536,0.00186536
36,361.034,0.99258,0.89912,1.29961,0.86221,0.75766,0.84382,0.55483,1.26267,0.95693,1.19206,0.0018614,0.0018614,0.0018614
37,370.993,1.01674,0.91149,1.32382,0.774,0.7883,0.8514,0.5729,1.19499,0.89423,1.16821,0.00185744,0.00185744,0.00185744
38,380.969,1.01167,0.87108,1.31903,0.83332,0.80771,0.87825,0.59501,1.22838,0.90244,1.16582,0.00185348,0.00185348,0.00185348
39,390.984,0.97543,0.85692,1.28847,0.80004,0.70195,0.80319,0.53627,1.24962,1.03122,1.20753,0.00184952,0.00184952,0.00184952
40,400.96,0.9928,0.87441,1.28919,0.81563,0.77994,0.85614,0.57359,1.21967,0.90902,1.15381,0.00184556,0.00184556,0.00184556
41,410.949,0.94603,0.84833,1.26635,0.82582,0.75278,0.8487,0.56708,1.22496,0.92174,1.167,0.0018416,0.0018416,0.0018416
42,420.932,0.98307,0.89307,1.28966,0.80846,0.71866,0.83886,0.56593,1.22654,0.98366,1.21067,0.00183764,0.00183764,0.00183764
43,430.912,1.01456,0.88422,1.31217,0.8113,0.76647,0.85832,0.57745,1.22973,0.95365,1.18122,0.00183368,0.00183368,0.00183368
44,440.903,0.97524,0.838,1.27105,0.82157,0.73538,0.81513,0.55146,1.21804,0.91935,1.18957,0.00182972,0.00182972,0.00182972
45,450.894,0.96951,0.85757,1.27534,0.76122,0.70195,0.78925,0.54195,1.16697,1.1102,1.19511,0.00182576,0.00182576,0.00182576
46,460.848,0.96959,0.86351,1.28608,0.84249,0.7493,0.83616,0.57118,1.21275,0.90147,1.18142,0.0018218,0.0018218,0.0018218
47,470.843,0.94178,0.82366,1.26349,0.82703,0.7991,0.8767,0.58555,1.1871,0.90584,1.15308,0.00181784,0.00181784,0.00181784
48,480.805,0.96503,0.84291,1.27697,0.83297,0.81959,0.87537,0.5958,1.21341,0.86159,1.17336,0.00181388,0.00181388,0.00181388
49,490.812,0.96535,0.83326,1.27925,0.86381,0.68524,0.79742,0.54308,1.24951,1.00972,1.21652,0.00180992,0.00180992,0.00180992
50,500.785,0.97448,0.80968,1.28941,0.88324,0.68524,0.83552,0.56051,1.20808,0.88905,1.19541,0.00180596,0.00180596,0.00180596
51,510.766,0.9815,0.8274,1.26899,0.8472,0.77221,0.88148,0.5796,1.16082,0.78996,1.15679,0.001802,0.001802,0.001802
52,520.713,0.9644,0.82195,1.27302,0.84965,0.75766,0.84471,0.57015,1.22142,0.92154,1.18912,0.00179804,0.00179804,0.00179804
53,530.681,0.94195,0.8106,1.25033,0.75713,0.59331,0.69067,0.47664,1.21397,1.49012,1.21788,0.00179408,0.00179408,0.00179408
54,540.643,0.96021,0.80444,1.26986,0.85566,0.71588,0.81943,0.56627,1.18069,1.06963,1.16727,0.00179012,0.00179012,0.00179012
55,550.621,0.95893,0.80207,1.26177,0.83826,0.75487,0.8492,0.58709,1.18013,0.88813,1.16903,0.00178616,0.00178616,0.00178616
56,560.577,0.97072,0.78786,1.27253,0.84538,0.79109,0.88497,0.61863,1.14678,0.77882,1.13256,0.0017822,0.0017822,0.0017822
57,570.546,0.91795,0.75615,1.24109,0.85748,0.79387,0.89025,0.60725,1.15579,0.77276,1.13993,0.00177824,0.00177824,0.00177824
58,580.512,0.93264,0.79136,1.24111,0.87267,0.80182,0.88629,0.61837,1.18798,0.77158,1.15372,0.00177428,0.00177428,0.00177428
59,590.473,0.93495,0.80094,1.24288,0.91412,0.76045,0.89595,0.61697,1.19257,0.80539,1.16881,0.00177032,0.00177032,0.00177032
60,600.442,0.92367,0.77141,1.22808,0.88498,0.79387,0.88856,0.6156,1.20598,0.83718,1.15466,0.00176636,0.00176636,0.00176636
61,610.364,0.88731,0.75398,1.22394,0.88165,0.76777,0.88579,0.60434,1.23736,0.80578,1.19906,0.0017624,0.0017624,0.0017624
62,620.3,0.90229,0.76057,1.23359,0.84178,0.60724,0.70866,0.46922,1.31257,1.26782,1.29728,0.00175844,0.00175844,0.00175844
63,630.267,0.90303,0.77938,1.23457,0.86211,0.78552,0.89015,0.61421,1.1157,0.79923,1.14314,0.00175448,0.00175448,0.00175448
64,640.243,0.93457,0.78623,1.23697,0.82705,0.82589,0.89346,0.60651,1.22068,0.76767,1.18388,0.00175052,0.00175052,0.00175052
65,650.207,0.9199,0.76283,1.24448,0.85121,0.82451,0.90456,0.61902,1.13631,0.7455,1.14193,0.00174656,0.00174656,0.00174656
66,660.19,0.90596,0.76824,1.24457,0.83716,0.77994,0.85,0.58294,1.15563,0.93381,1.16101,0.0017426,0.0017426,0.0017426
67,670.196,0.90647,0.75255,1.2287,0.73319,0.77437,0.81898,0.54329,1.21669,0.95993,1.1909,0.00173864,0.00173864,0.00173864
68,680.193,0.92568,0.75008,1.24796,0.86977,0.78135,0.88642,0.61108,1.15811,0.7825,1.13967,0.00173468,0.00173468,0.00173468
69,690.16,0.89245,0.74327,1.22053,0.82876,0.6606,0.7856,0.53931,1.2277,1.10875,1.20699,0.00173072,0.00173072,0.00173072
70,700.147,0.90352,0.74363,1.21717,0.82815,0.80542,0.87881,0.59248,1.15555,0.79994,1.13842,0.00172676,0.00172676,0.00172676
71,710.124,0.92925,0.74871,1.24244,0.86258,0.81058,0.89719,0.61704,1.11635,0.74586,1.14145,0.0017228,0.0017228,0.0017228
72,720.126,0.90504,0.73856,1.23985,0.85256,0.82451,0.89924,0.6177,1.11505,0.75982,1.11787,0.00171884,0.00171884,0.00171884
73,730.122,0.89674,0.73605,1.21381,0.86142,0.81377,0.89419,0.62154,1.18089,0.79046,1.15954,0.00171488,0.00171488,0.00171488
74,740.085,0.90234,0.73347,1.23094,0.86704,0.70474,0.82818,0.55562,1.17741,0.87789,1.17623,0.00171092,0.00171092,0.00171092
75,750.045,0.89469,0.74563,1.22154,0.78254,0.76045,0.84494,0.58431,1.16602,0.98453,1.16665,0.00170696,0.00170696,0.00170696
76,760.036,0.89883,0.73086,1.21909,0.82533,0.79666,0.86809,0.60576,1.17123,0.8775,1.16567,0.001703,0.001703,0.001703
77,769.999,0.89153,0.733,1.22174,0.85528,0.70752,0.83407,0.56386,1.20255,0.89284,1.18354,0.00169904,0.00169904,0.00169904
78,779.964,0.89429,0.73272,1.21386,0.86293,0.78913,0.87874,0.59904,1.1582,0.80545,1.14371,0.00169508,0.00169508,0.00169508
79,789.885,0.86559,0.70777,1.21331,0.85066,0.79387,0.88105,0.6023,1.16781,0.75511,1.13994,0.00169112,0.00169112,0.00169112
80,799.854,0.89276,0.72692,1.24274,0.84677,0.82173,0.90059,0.62353,1.14439,0.74394,1.13135,0.00168716,0.00168716,0.00168716
81,809.801,0.84432,0.70433,1.22138,0.84856,0.75487,0.85063,0.58442,1.15945,0.89091,1.15959,0.0016832,0.0016832,0.0016832
82,819.766,0.85151,0.70173,1.19996,0.84786,0.80223,0.88228,0.59723,1.09779,0.79178,1.12822,0.00167924,0.00167924,0.00167924
83,829.717,0.87288,0.70677,1.20655,0.84347,0.83008,0.88064,0.61189,1.09271,0.75043,1.11782,0.00167528,0.00167528,0.00167528
84,839.686,0.86832,0.703,1.20026,0.85657,0.81512,0.89338,0.63024,1.0912,0.76105,1.10451,0.00167132,0.00167132,0.00167132
85,849.68,0.8291,0.68649,1.19979,0.84056,0.83706,0.89813,0.62141,1.17649,0.73467,1.14645,0.00166736,0.00166736,0.00166736
86,859.664,0.85234,0.69053,1.21108,0.88015,0.79776,0.89821,0.62706,1.10703,0.72197,1.11573,0.0016634,0.0016634,0.0016634
87,869.661,0.86918,0.70386,1.21523,0.8815,0.79944,0.90184,0.62721,1.09345,0.72843,1.10415,0.00165944,0.00165944,0.00165944
88,879.675,0.89421,0.71066,1.21795,0.82871,0.79387,0.88069,0.61047,1.14517,0.73823,1.14296,0.00165548,0.00165548,0.00165548
89,889.609,0.86899,0.6986,1.21618,0.85319,0.82558,0.90661,0.61614,1.12867,0.70325,1.12232,0.00165152,0.00165152,0.00165152
90,899.584,0.87034,0.69747,1.20991,0.89286,0.78926,0.89486,0.61989,1.12277,0.864,1.13814,0.00164756,0.00164756,0.00164756
91,909.561,0.86768,0.68737,1.18393,0.90483,0.79109,0.91268,0.63668,1.10822,0.70265,1.1091,0.0016436,0.0016436,0.0016436
92,919.547,0.84807,0.6875,1.2055,0.88759,0.8273,0.91928,0.62913,1.08573,0.70907,1.11162,0.00163964,0.00163964,0.00163964
93,929.541,0.84374,0.67481,1.17746,0.85493,0.82075,0.89332,0.61096,1.11708,0.7815,1.13893,0.00163568,0.00163568,0.00163568
94,939.527,0.86101,0.67839,1.18811,0.88588,0.72981,0.86042,0.60149,1.13152,0.86274,1.16551,0.00163172,0.00163172,0.00163172
95,949.523,0.84823,0.68291,1.18767,0.90394,0.83287,0.92033,0.63552,1.10612,0.70035,1.10619,0.00162776,0.00162776,0.00162776
96,959.516,0.85175,0.6815,1.18785,0.85796,0.85794,0.91172,0.63694,1.09103,0.72338,1.10669,0.0016238,0.0016238,0.0016238
97,969.509,0.85228,0.69583,1.1893,0.87378,0.82916,0.90604,0.63113,1.10976,0.70413,1.10058,0.00161984,0.00161984,0.00161984
98,979.506,0.82458,0.67602,1.17869,0.8652,0.76602,0.87911,0.61644,1.10088,0.75311,1.1147,0.00161588,0.00161588,0.00161588
99,989.475,0.86094,0.69065,1.17499,0.87992,0.81337,0.89719,0.62488,1.13272,0.70104,1.12687,0.00161192,0.00161192,0.00161192
100,999.466,0.84501,0.66925,1.18089,0.87122,0.84804,0.90532,0.61947,1.12019,0.69757,1.1231,0.00160796,0.00160796,0.00160796
101,1009.44,0.83515,0.64624,1.18831,0.89731,0.82757,0.91267,0.63978,1.15222,0.73376,1.12724,0.001604,0.001604,0.001604
102,1019.44,0.84635,0.67588,1.19345,0.86146,0.81404,0.89355,0.63009,1.16154,0.73844,1.16122,0.00160004,0.00160004,0.00160004
103,1029.42,0.8066,0.64615,1.15539,0.88797,0.80223,0.90468,0.63211,1.14836,0.75583,1.14798,0.00159608,0.00159608,0.00159608
104,1039.41,0.815,0.64663,1.17515,0.88162,0.75487,0.87164,0.60249,1.12959,0.82112,1.14767,0.00159212,0.00159212,0.00159212
105,1049.38,0.80512,0.62806,1.159,0.89042,0.76602,0.86841,0.60583,1.12615,0.8147,1.16324,0.00158816,0.00158816,0.00158816
106,1059.34,0.82943,0.665,1.17487,0.86485,0.82451,0.89,0.62094,1.11573,0.74067,1.1278,0.0015842,0.0015842,0.0015842
107,1069.31,0.81359,0.63633,1.17459,0.87365,0.80501,0.90328,0.62708,1.12656,0.70128,1.13094,0.00158024,0.00158024,0.00158024
108,1079.3,0.8182,0.64487,1.1656,0.85793,0.82427,0.89777,0.6314,1.14322,0.72743,1.12837,0.00157628,0.00157628,0.00157628
109,1089.29,0.80893,0.64499,1.16448,0.90107,0.81058,0.9103,0.63954,1.05125,0.68489,1.10234,0.00157232,0.00157232,0.00157232
110,1099.3,0.83156,0.66096,1.17019,0.89649,0.84437,0.9169,0.63521,1.07969,0.67213,1.10086,0.00156836,0.00156836,0.00156836
111,1109.26,0.82459,0.66562,1.17165,0.88343,0.82451,0.90555,0.63757,1.13079,0.67386,1.11877,0.0015644,0.0015644,0.0015644
112,1119.27,0.82684,0.64439,1.16296,0.82982,0.84215,0.89259,0.62797,1.09652,0.72177,1.12074,0.00156044,0.00156044,0.00156044
113,1129.28,0.83647,0.65943,1.17239,0.87162,0.79109,0.88539,0.62243,1.1211,0.72039,1.11303,0.00155648,0.00155648,0.00155648
114,1139.26,0.82734,0.65219,1.1678,0.83288,0.84682,0.90372,0.62434,1.10038,0.65274,1.11946,0.00155252,0.00155252,0.00155252
115,1149.23,0.80499,0.62269,1.15649,0.83483,0.83069,0.88612,0.60189,1.11335,0.70955,1.13093,0.00154856,0.00154856,0.00154856
116,1159.19,0.8296,0.65247,1.17519,0.83313,0.86227,0.90435,0.63858,1.09364,0.65325,1.11351,0.0015446,0.0015446,0.0015446
117,1169.2,0.81611,0.65043,1.15951,0.88083,0.83565,0.91399,0.64264,1.11283,0.68847,1.13243,0.00154064,0.00154064,0.00154064
118,1179.19,0.81336,0.6307,1.16391,0.85768,0.85614,0.91228,0.63033,1.1035,0.69213,1.12176,0.00153668,0.00153668,0.00153668
119,1189.19,0.80782,0.64526,1.15353,0.8473,0.77282,0.86029,0.60323,1.12438,0.78021,1.16396,0.00153272,0.00153272,0.00153272
120,1199.19,0.79254,0.61338,1.14125,0.86956,0.83844,0.91806,0.65529,1.09759,0.69358,1.12173,0.00152876,0.00152876,0.00152876
121,1209.2,0.80999,0.62066,1.17251,0.86691,0.85515,0.90467,0.635,1.05373,0.71252,1.10063,0.0015248,0.0015248,0.0015248
122,1219.18,0.81524,0.61623,1.15777,0.90383,0.81894,0.91371,0.63818,1.07261,0.6595,1.09051,0.00152084,0.00152084,0.00152084
123,1229.2,0.80671,0.62684,1.14851,0.87741,0.86351,0.92287,0.6541,1.1241,0.67164,1.13558,0.00151688,0.00151688,0.00151688
124,1239.17,0.78669,0.60166,1.16399,0.87766,0.85237,0.92033,0.64021,1.11872,0.68381,1.11714,0.00151292,0.00151292,0.00151292
125,1249.16,0.78025,0.5972,1.14566,0.85762,0.85794,0.91121,0.6315,1.13543,0.66269,1.12458,0.00150896,0.00150896,0.00150896
126,1259.16,0.8228,0.6373,1.17206,0.85633,0.87465,0.92028,0.65521,1.08321,0.66232,1.09603,0.001505,0.001505,0.001505
127,1269.15,0.78614,0.61802,1.1522,0.91945,0.82173,0.92286,0.65301,1.08924,0.67899,1.09229,0.00150104,0.00150104,0.00150104
128,1279.16,0.80096,0.61274,1.15611,0.90187,0.81925,0.91382,0.64008,1.11369,0.65143,1.10484,0.00149708,0.00149708,0.00149708
129,1289.15,0.77571,0.59501,1.13798,0.91571,0.8273,0.92936,0.64909,1.09946,0.64584,1.10584,0.00149312,0.00149312,0.00149312
130,1299.13,0.76949,0.59518,1.13158,0.92137,0.83008,0.92324,0.6351,1.10351,0.6429,1.12712,0.00148916,0.00148916,0.00148916
131,1309.11,0.78393,0.60414,1.14334,0.87297,0.81337,0.90255,0.63258,1.08433,0.74658,1.10831,0.0014852,0.0014852,0.0014852
132,1319.1,0.79088,0.62256,1.1432,0.88082,0.81894,0.91102,0.637,1.0881,0.66997,1.10964,0.00148124,0.00148124,0.00148124
133,1329.08,0.77756,0.59448,1.12597,0.86969,0.81058,0.89701,0.62469,1.10815,0.74518,1.11372,0.00147728,0.00147728,0.00147728
134,1339.04,0.77171,0.61992,1.14604,0.88255,0.84123,0.90737,0.64062,1.12035,0.64034,1.14212,0.00147332,0.00147332,0.00147332
135,1349.02,0.78032,0.60761,1.13367,0.8517,0.84958,0.90796,0.61993,1.12,0.706,1.14898,0.00146936,0.00146936,0.00146936
