epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6118,2.00683,2.96761,2.41724,0.00568,0.05014,0.00143,0.00045,4.22028,inf,12.1544,0.000663176,0.000663176,0.000663176
2,94.8783,2.7413,3.96054,3.13256,0.00873,0.0638,0.00292,0.00093,3.58579,74.6098,5.37534,0.00132721,0.00132721,0.00132721
3,141.748,2.92456,3.67489,3.33187,0.00702,0.04457,0.00522,0.00151,4.32733,5.95128,8.57531,0.0019886,0.0019886,0.0019886
4,188.277,2.91916,3.22046,3.18484,0.01351,0.08078,0.00811,0.00218,3.40784,nan,3.87185,0.00198812,0.00198812,0.00198812
5,235.076,2.62779,3.05082,2.97603,0.01121,0.07242,0.00311,0.00095,3.49452,13.7489,3.80963,0.00198416,0.00198416,0.00198416
6,281.455,2.57621,3.02321,2.95365,0.12825,0.08357,0.02488,0.00715,3.32602,4.9764,3.2514,0.0019802,0.0019802,0.0019802
7,328.347,2.42271,2.91845,2.79981,0.03605,0.04735,0.00834,0.00255,2.98422,5.01337,2.79237,0.00197624,0.00197624,0.00197624
8,374.701,2.38194,2.74123,2.70605,0.01769,0.00557,0.00577,0.00118,3.08807,8.51347,3.48146,0.00197228,0.00197228,0.00197228
9,421.497,2.29369,2.66402,2.66897,0.02144,0.01671,0.00417,0.00142,2.87757,5.3734,2.9693,0.00196832,0.00196832,0.00196832
10,467.884,2.2664,2.57835,2.64973,0.0492,0.06128,0.00949,0.00281,2.88466,4.93231,2.9868,0.00196436,0.00196436,0.00196436
11,514.529,2.21026,2.47397,2.58402,0.02394,0.05014,0.0068,0.00194,2.91719,4.67369,2.83057,0.0019604,0.0019604,0.0019604
12,561.322,2.20515,2.45255,2.51251,0.00273,0.06685,0.00229,0.00073,2.66717,5.91947,2.78817,0.00195644,0.00195644,0.00195644
13,607.766,2.16179,2.41591,2.50857,0.00533,0.14763,0.00507,0.00181,2.53355,5.81147,2.64865,0.00195248,0.00195248,0.00195248
14,654.402,2.10033,2.47163,2.45869,0.06001,0.10028,0.02562,0.00979,2.61778,4.13548,2.45462,0.00194852,0.00194852,0.00194852
15,701.25,2.09061,2.37676,2.41384,0.08066,0.05014,0.02012,0.00632,2.52285,4.10558,2.49851,0.00194456,0.00194456,0.00194456
16,747.579,2.06056,2.26685,2.40114,0.04878,0.0585,0.01583,0.0066,2.57131,4.04278,2.52888,0.0019406,0.0019406,0.0019406
