epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9462,1.60716,2.10019,1.6644,0.06519,0.24791,0.04176,0.01808,1.91953,6.58816,1.72353,0.0676702,0.00082897,0.00082897
2,37.4509,1.78242,2.04784,1.82054,0.40495,0.21727,0.21763,0.11599,2.13044,5.08935,2.03207,0.0351669,0.00165901,0.00165901
3,55.928,1.71141,2.01191,1.7694,0.45035,0.37202,0.35126,0.17455,1.85907,2.69379,1.78738,0.00266027,0.00248575,0.00248575
4,74.5345,1.66169,1.87022,1.73708,0.5285,0.41226,0.41814,0.20772,1.82105,2.58737,1.63235,0.00248515,0.00248515,0.00248515
5,93.2257,1.57157,1.73456,1.64535,0.32806,0.44742,0.37936,0.20042,1.90353,1.87194,1.66523,0.0024802,0.0024802,0.0024802
6,111.739,1.58547,1.74852,1.67025,0.47921,0.50696,0.48776,0.2775,1.57912,1.78591,1.40556,0.00247525,0.00247525,0.00247525
7,130.252,1.43872,1.60629,1.55831,0.64774,0.46099,0.56254,0.34063,1.60735,1.73455,1.46478,0.0024703,0.0024703,0.0024703
8,148.939,1.41266,1.58744,1.54321,0.47345,0.25627,0.29499,0.19332,1.65213,2.63488,1.56312,0.00246535,0.00246535,0.00246535
9,167.365,1.41753,1.52803,1.53508,0.14013,0.20056,0.12959,0.07322,2.48101,3.52346,2.71914,0.0024604,0.0024604,0.0024604
10,185.967,1.3968,1.5106,1.49981,0.05412,0.13092,0.05513,0.03768,2.45971,4.34272,2.45561,0.00245545,0.00245545,0.00245545
11,204.285,1.35069,1.42706,1.46669,0.18008,0.47632,0.15736,0.09205,1.63865,4.99262,1.50327,0.0024505,0.0024505,0.0024505
12,222.687,1.38868,1.48325,1.53096,0.4831,0.28412,0.33558,0.1982,1.814,2.70128,1.68152,0.00244555,0.00244555,0.00244555
13,241.139,1.35172,1.47813,1.4931,0.4774,0.55432,0.48414,0.31436,1.40437,1.57329,1.28734,0.0024406,0.0024406,0.0024406
14,259.486,1.31044,1.39073,1.45166,0.19287,0.42618,0.15602,0.08889,1.77759,2.89886,1.67504,0.00243565,0.00243565,0.00243565
15,278.059,1.28765,1.3527,1.44311,0.38942,0.44568,0.38598,0.25208,1.68119,2.1675,1.541,0.0024307,0.0024307,0.0024307
16,296.386,1.25801,1.3439,1.4356,0.20877,0.43454,0.21901,0.14362,1.71403,2.70396,1.54546,0.00242575,0.00242575,0.00242575
17,314.735,1.25245,1.36393,1.42131,0.6891,0.54949,0.66204,0.41924,1.4153,1.3078,1.32295,0.0024208,0.0024208,0.0024208
18,333.141,1.25341,1.31426,1.43511,0.6249,0.55153,0.61227,0.38291,1.43572,1.39519,1.28696,0.00241585,0.00241585,0.00241585
19,351.513,1.20006,1.29519,1.3801,0.14538,0.16992,0.10824,0.06553,2.30405,3.7034,2.21127,0.0024109,0.0024109,0.0024109
20,369.976,1.24438,1.23533,1.4128,0.75098,0.62674,0.71232,0.47153,1.29648,1.22425,1.24729,0.00240595,0.00240595,0.00240595
21,388.441,1.20116,1.25512,1.39352,0.66489,0.61838,0.69449,0.41514,1.44274,1.24597,1.31376,0.002401,0.002401,0.002401
22,406.959,1.23094,1.24968,1.38628,0.60914,0.55432,0.57715,0.36833,1.40008,1.61676,1.30501,0.00239605,0.00239605,0.00239605
23,425.376,1.19316,1.27497,1.38257,0.75076,0.5376,0.67257,0.40997,1.41233,1.35318,1.31942,0.0023911,0.0023911,0.0023911
24,443.949,1.1562,1.20478,1.35299,0.75431,0.63284,0.74988,0.48945,1.33819,1.20384,1.27485,0.00238615,0.00238615,0.00238615
25,462.689,1.17181,1.15982,1.35162,0.68342,0.64343,0.70907,0.4469,1.31254,1.19353,1.24459,0.0023812,0.0023812,0.0023812
26,481.187,1.13118,1.13908,1.34212,0.70194,0.61663,0.69988,0.47127,1.274,1.1737,1.22768,0.00237625,0.00237625,0.00237625
27,499.695,1.15119,1.13789,1.34745,0.61904,0.66083,0.69054,0.45521,1.27888,1.30306,1.22458,0.0023713,0.0023713,0.0023713
28,518.178,1.16881,1.20041,1.35118,0.8091,0.64934,0.78123,0.51172,1.27728,1.07712,1.21208,0.00236635,0.00236635,0.00236635
29,536.671,1.17826,1.19428,1.38675,0.66897,0.70927,0.74851,0.48795,1.28071,1.10248,1.21791,0.0023614,0.0023614,0.0023614
30,555.184,1.17088,1.18132,1.36784,0.70986,0.6351,0.7055,0.45342,1.32295,1.19008,1.25275,0.00235645,0.00235645,0.00235645
31,573.641,1.16864,1.17812,1.35936,0.773,0.64903,0.77007,0.49443,1.3189,1.07431,1.2417,0.0023515,0.0023515,0.0023515
32,592.205,1.07304,1.0306,1.27194,0.70247,0.6182,0.69539,0.44515,1.33113,1.25655,1.24839,0.00234655,0.00234655,0.00234655
33,610.608,1.15325,1.12516,1.34079,0.72812,0.70195,0.78085,0.51328,1.30576,1.10272,1.22624,0.0023416,0.0023416,0.0023416
34,629.297,1.12105,1.11908,1.33272,0.6808,0.67967,0.74559,0.49261,1.25634,1.15082,1.21223,0.00233665,0.00233665,0.00233665
35,647.992,1.13374,1.12012,1.33527,0.76855,0.69371,0.8002,0.52732,1.27956,1.00078,1.22594,0.0023317,0.0023317,0.0023317
36,666.536,1.0905,1.07307,1.30043,0.7826,0.61838,0.73254,0.47998,1.3037,1.11519,1.23022,0.00232675,0.00232675,0.00232675
37,684.817,1.10319,1.08258,1.32366,0.75278,0.64624,0.73943,0.48063,1.2565,1.16141,1.19667,0.0023218,0.0023218,0.0023218
38,703.239,1.10013,1.04538,1.31322,0.76913,0.55153,0.66532,0.44047,1.42816,1.44333,1.30508,0.00231685,0.00231685,0.00231685
39,721.679,1.07518,1.03362,1.2992,0.78975,0.66966,0.77478,0.51843,1.22018,1.10485,1.19726,0.0023119,0.0023119,0.0023119
40,740.14,1.1076,1.11317,1.32734,0.25343,0.50139,0.23486,0.14557,1.62777,2.25754,1.51099,0.00230695,0.00230695,0.00230695
41,758.629,1.07663,1.05894,1.31015,0.76441,0.68688,0.78332,0.52763,1.24616,0.98056,1.19641,0.002302,0.002302,0.002302
42,776.885,1.08426,1.03,1.30926,0.76404,0.60446,0.7028,0.45346,1.37025,1.1952,1.26729,0.00229705,0.00229705,0.00229705
43,795.298,1.09867,1.04376,1.30959,0.51755,0.48408,0.42336,0.2494,1.68479,1.75062,1.4803,0.0022921,0.0022921,0.0022921
44,813.712,1.06956,1.00811,1.29492,0.74699,0.7155,0.7923,0.52782,1.20131,0.94192,1.18168,0.00228715,0.00228715,0.00228715
45,832.32,1.11303,1.06087,1.31627,0.82161,0.68245,0.81354,0.53027,1.27583,0.95415,1.21846,0.0022822,0.0022822,0.0022822
46,850.737,1.09298,1.05179,1.30816,0.76013,0.68851,0.78863,0.51204,1.30061,1.03557,1.22434,0.00227725,0.00227725,0.00227725
47,869.195,1.06854,1.02575,1.27498,0.79525,0.68245,0.80747,0.52208,1.32662,0.98697,1.20916,0.0022723,0.0022723,0.0022723
48,887.783,1.03805,0.9537,1.25464,0.81842,0.74095,0.82747,0.54426,1.28567,0.95717,1.21815,0.00226735,0.00226735,0.00226735
49,906.348,1.07731,1.00029,1.29226,0.81522,0.74373,0.83396,0.56422,1.19543,0.93085,1.1718,0.0022624,0.0022624,0.0022624
50,925.132,1.03021,0.96829,1.27984,0.82874,0.70195,0.82252,0.55929,1.18456,0.92253,1.17961,0.00225745,0.00225745,0.00225745
51,943.51,1.04471,0.9782,1.27639,0.78949,0.69359,0.79487,0.53888,1.22726,0.98358,1.19798,0.0022525,0.0022525,0.0022525
52,961.998,1.03451,0.96792,1.26279,0.80032,0.72702,0.83346,0.56648,1.18989,0.87797,1.16778,0.00224755,0.00224755,0.00224755
53,980.623,1.0247,0.97645,1.27052,0.83981,0.71866,0.84372,0.58325,1.20114,0.90637,1.1711,0.0022426,0.0022426,0.0022426
54,999.331,0.99069,0.92908,1.25262,0.78748,0.70195,0.78929,0.52363,1.21814,0.99452,1.17625,0.00223765,0.00223765,0.00223765
55,1018.05,1.0376,0.99441,1.29078,0.72889,0.68899,0.75067,0.51717,1.23879,1.12258,1.19941,0.0022327,0.0022327,0.0022327
56,1036.53,1.02452,0.94717,1.26508,0.84713,0.68524,0.81262,0.56259,1.19575,0.903,1.1741,0.00222775,0.00222775,0.00222775
