epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.252,1.21872,2.35848,1.44026,0.36635,0.27764,0.34375,0.20322,1.41604,2.23961,1.34432,0.000368394,0.000368394,0.000368394
2,37.2499,1.45826,2.0653,1.61169,0.30528,0.39707,0.32674,0.19848,1.4536,1.80309,1.29616,0.000737265,0.000737265,0.000737265
3,55.2967,1.5123,2.16535,1.65347,0.2554,0.324,0.31793,0.18535,1.52794,1.99005,1.38756,0.00110467,0.00110467,0.00110467
4,73.2216,1.51864,1.99852,1.64641,0.60958,0.33653,0.39783,0.23094,1.5026,1.82055,1.39094,0.0011044,0.0011044,0.0011044
5,91.3065,1.44514,1.95881,1.62288,0.7795,0.32539,0.35469,0.21669,1.47189,2.23639,1.41402,0.0011022,0.0011022,0.0011022
6,109.513,1.46126,1.94171,1.62428,0.48591,0.30795,0.35288,0.22688,1.43595,1.74105,1.34955,0.0011,0.0011,0.0011
7,127.507,1.3488,1.71104,1.54432,0.57985,0.32794,0.37767,0.23133,1.42158,1.50444,1.3317,0.0010978,0.0010978,0.0010978
8,145.578,1.29159,1.63661,1.51759,0.89695,0.25418,0.31885,0.19187,1.54337,1.92627,1.44598,0.0010956,0.0010956,0.0010956
9,163.722,1.29824,1.63648,1.49579,0.58329,0.45079,0.35739,0.22835,1.37122,2.1493,1.28243,0.0010934,0.0010934,0.0010934
10,181.942,1.29051,1.5788,1.48971,0.5147,0.47344,0.50541,0.30154,1.33489,1.31927,1.25367,0.0010912,0.0010912,0.0010912
11,200.315,1.22876,1.46734,1.43912,0.67487,0.39712,0.42911,0.27318,1.34198,1.39945,1.29878,0.001089,0.001089,0.001089
12,218.907,1.21466,1.50609,1.44679,0.68352,0.41654,0.48082,0.29556,1.27168,1.4224,1.26551,0.0010868,0.0010868,0.0010868
13,237.446,1.20692,1.45543,1.441,0.58719,0.52268,0.59762,0.35577,1.21547,1.17048,1.19778,0.0010846,0.0010846,0.0010846
14,256.107,1.2113,1.38541,1.42449,0.55509,0.57206,0.49074,0.28055,1.29646,1.58324,1.26453,0.0010824,0.0010824,0.0010824
15,274.42,1.16081,1.37556,1.41988,0.52487,0.58885,0.62411,0.38476,1.23908,1.09271,1.2122,0.0010802,0.0010802,0.0010802
16,292.818,1.15742,1.36303,1.42283,0.60255,0.50572,0.56816,0.35863,1.25083,1.08348,1.20886,0.001078,0.001078,0.001078
17,311.403,1.12746,1.28069,1.38663,0.6633,0.55931,0.59333,0.3783,1.26402,1.10841,1.21887,0.0010758,0.0010758,0.0010758
18,329.821,1.13238,1.31144,1.39194,0.64039,0.53488,0.56449,0.35233,1.2605,1.25715,1.2246,0.0010736,0.0010736,0.0010736
19,348.24,1.10133,1.25516,1.35168,0.65978,0.53612,0.57774,0.37011,1.25899,1.12059,1.20049,0.0010714,0.0010714,0.0010714
20,366.688,1.1343,1.21545,1.39148,0.79863,0.46735,0.53133,0.35064,1.22836,1.36319,1.22037,0.0010692,0.0010692,0.0010692
21,385.29,1.07901,1.21774,1.35549,0.62987,0.63248,0.65262,0.41879,1.23098,0.94916,1.20703,0.001067,0.001067,0.001067
22,403.951,1.08666,1.20075,1.33616,0.59863,0.53797,0.55746,0.37135,1.2132,1.1457,1.21151,0.0010648,0.0010648,0.0010648
