epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0846,1.58778,2.23336,1.73258,0.29965,0.24791,0.18151,0.06881,2.18487,4.37641,2.14897,0.000663176,0.000663176,0.000663176
2,48.9255,1.99984,2.40568,2.0989,0.00387,0.05571,0.00138,0.0004,nan,nan,nan,0.00132721,0.00132721,0.00132721
3,72.6637,2.0071,2.43148,2.08465,0.0266,0.02507,0.00374,0.00123,4.01805,25.9562,3.59828,0.0019886,0.0019886,0.0019886
4,96.3636,1.89484,2.19863,1.99026,0.00543,0.35376,0.00426,0.00153,3.54194,10.3446,3.02208,0.00198812,0.00198812,0.00198812
5,120.288,1.77621,2.04659,1.88744,0.04605,0.40947,0.04511,0.02536,2.38205,15.9317,2.20573,0.00198416,0.00198416,0.00198416
6,144.366,1.73967,2.01563,1.85308,0.505,0.45682,0.41824,0.20828,1.8765,1.91655,1.67692,0.0019802,0.0019802,0.0019802
7,168.648,1.61654,1.84834,1.77868,0.46838,0.53203,0.44884,0.23808,1.75575,1.84938,1.55256,0.00197624,0.00197624,0.00197624
8,192.951,1.53357,1.76097,1.71377,0.49177,0.46518,0.44968,0.24777,1.80879,1.77376,1.63956,0.00197228,0.00197228,0.00197228
9,217.192,1.50664,1.67923,1.66885,0.64644,0.50975,0.5755,0.32895,1.6865,1.49366,1.52072,0.00196832,0.00196832,0.00196832
10,241.617,1.49563,1.6593,1.65694,0.14687,0.0585,0.06646,0.04217,2.16503,4.41361,1.90439,0.00196436,0.00196436,0.00196436
11,265.744,1.46698,1.61307,1.62873,0.65456,0.55949,0.60669,0.3689,1.50306,1.52106,1.40621,0.0019604,0.0019604,0.0019604
12,290.029,1.45611,1.61187,1.64752,0.62672,0.42897,0.48562,0.28111,1.79376,1.79204,1.60713,0.00195644,0.00195644,0.00195644
13,314.079,1.41823,1.57246,1.60576,0.7152,0.55989,0.63993,0.40255,1.46268,1.37725,1.36123,0.00195248,0.00195248,0.00195248
14,338.587,1.37232,1.48729,1.57961,0.43356,0.29805,0.29287,0.14053,2.47953,2.02629,2.37122,0.00194852,0.00194852,0.00194852
15,362.825,1.38391,1.52914,1.59235,0.55425,0.49304,0.51846,0.30294,1.6407,1.58111,1.54004,0.00194456,0.00194456,0.00194456
16,387.121,1.33896,1.49295,1.56571,0.62339,0.5766,0.597,0.37136,1.39758,1.41287,1.32712,0.0019406,0.0019406,0.0019406
17,411.249,1.29801,1.42691,1.51653,0.38677,0.30919,0.26508,0.16037,2.21649,2.49791,2.02531,0.00193664,0.00193664,0.00193664
18,435.525,1.33043,1.41259,1.55105,0.66842,0.54596,0.61727,0.38224,1.4538,1.48287,1.33872,0.00193268,0.00193268,0.00193268
19,459.75,1.28844,1.39753,1.51796,0.70727,0.57206,0.65428,0.40035,1.47797,1.40345,1.41057,0.00192872,0.00192872,0.00192872
20,484.041,1.30529,1.34577,1.53316,0.66293,0.60263,0.65459,0.38802,1.43488,1.41499,1.34881,0.00192476,0.00192476,0.00192476
21,508.296,1.27092,1.39674,1.50962,0.62353,0.62283,0.66291,0.41883,1.42182,1.32561,1.33578,0.0019208,0.0019208,0.0019208
22,532.747,1.26972,1.33361,1.49709,0.73398,0.56546,0.65499,0.39921,1.45361,1.37393,1.36589,0.00191684,0.00191684,0.00191684
23,556.971,1.22956,1.37835,1.49211,0.72752,0.56825,0.65426,0.42748,1.33917,1.30589,1.27618,0.00191288,0.00191288,0.00191288
24,581.323,1.19835,1.28374,1.45169,0.63609,0.41504,0.50687,0.28229,1.777,1.68952,1.68749,0.00190892,0.00190892,0.00190892
25,605.633,1.18785,1.25957,1.4347,0.79287,0.6291,0.73986,0.47492,1.33826,1.12957,1.30785,0.00190496,0.00190496,0.00190496
26,629.917,1.19321,1.26798,1.45617,0.74699,0.61281,0.68685,0.44619,1.28689,1.20408,1.26228,0.001901,0.001901,0.001901
27,654.4,1.23263,1.25746,1.48155,0.75064,0.64566,0.72236,0.46368,1.38378,1.22186,1.30416,0.00189704,0.00189704,0.00189704
28,678.786,1.23032,1.25992,1.45077,0.72531,0.65181,0.72741,0.46464,1.31733,1.16944,1.25559,0.00189308,0.00189308,0.00189308
29,703.044,1.21116,1.29443,1.48061,0.71855,0.63231,0.70735,0.46383,1.33467,1.17324,1.28232,0.00188912,0.00188912,0.00188912
30,727.303,1.22131,1.27956,1.48105,0.40982,0.30641,0.36292,0.22021,1.64705,2.48482,1.56324,0.00188516,0.00188516,0.00188516
31,751.723,1.20547,1.25097,1.4448,0.63128,0.52646,0.5913,0.3474,1.63304,1.35734,1.54345,0.0018812,0.0018812,0.0018812
32,775.903,1.12809,1.12392,1.38412,0.72014,0.63788,0.70888,0.45298,1.37159,1.17237,1.30258,0.00187724,0.00187724,0.00187724
33,800.164,1.15397,1.18058,1.41338,0.67915,0.57103,0.65449,0.42228,1.38569,1.26947,1.32285,0.00187328,0.00187328,0.00187328
34,824.357,1.16621,1.20455,1.41921,0.74634,0.66386,0.75839,0.49122,1.30293,1.10887,1.2479,0.00186932,0.00186932,0.00186932
35,848.672,1.15578,1.14374,1.42548,0.76547,0.67276,0.77048,0.49729,1.29203,1.06678,1.2413,0.00186536,0.00186536,0.00186536
36,873.182,1.13771,1.14903,1.39154,0.75163,0.65181,0.75091,0.49828,1.25329,1.10079,1.23151,0.0018614,0.0018614,0.0018614
37,897.383,1.13244,1.13866,1.40378,0.72089,0.69359,0.7724,0.49785,1.32301,1.07698,1.26081,0.00185744,0.00185744,0.00185744
38,921.753,1.13129,1.10469,1.39485,0.76585,0.68524,0.77506,0.50443,1.27369,1.08996,1.24075,0.00185348,0.00185348,0.00185348
39,946.101,1.12918,1.11135,1.3818,0.7543,0.66701,0.74935,0.49873,1.31044,1.06758,1.2589,0.00184952,0.00184952,0.00184952
40,970.445,1.15032,1.17377,1.41234,0.32339,0.27855,0.2578,0.14687,2.21241,2.4818,2.10193,0.00184556,0.00184556,0.00184556
41,994.755,1.10913,1.12535,1.39691,0.75092,0.6886,0.7709,0.49535,1.2894,1.01568,1.25558,0.0018416,0.0018416,0.0018416
42,1019,1.10506,1.11567,1.39108,0.82142,0.61838,0.7463,0.49616,1.30394,1.09512,1.26084,0.00183764,0.00183764,0.00183764
43,1043.26,1.12961,1.11547,1.38769,0.82504,0.64365,0.77163,0.49913,1.28305,1.00699,1.24076,0.00183368,0.00183368,0.00183368
44,1067.53,1.11428,1.09995,1.39353,0.81614,0.66574,0.76726,0.50819,1.27008,1.02446,1.25186,0.00182972,0.00182972,0.00182972
45,1092.05,1.11425,1.08388,1.38132,0.38321,0.41783,0.37914,0.24919,1.51753,2.07922,1.48729,0.00182576,0.00182576,0.00182576
46,1116.2,1.12826,1.10883,1.38705,0.82785,0.68524,0.80633,0.53418,1.256,0.96009,1.22052,0.0018218,0.0018218,0.0018218
47,1140.5,1.07948,1.05226,1.35402,0.75668,0.68245,0.76124,0.49815,1.3147,1.12514,1.27931,0.00181784,0.00181784,0.00181784
48,1164.73,1.00894,0.99185,1.30142,0.87126,0.71309,0.82884,0.55084,1.24067,0.91798,1.20975,0.00181388,0.00181388,0.00181388
49,1189.26,1.08383,1.03255,1.35195,0.82288,0.67409,0.7974,0.52415,1.23695,0.96639,1.21823,0.00180992,0.00180992,0.00180992
50,1213.57,1.06669,1.00668,1.34626,0.74216,0.27855,0.38205,0.23451,2.04747,2.64305,1.97644,0.00180596,0.00180596,0.00180596
51,1237.84,1.05678,1.04496,1.33416,0.80064,0.68524,0.79621,0.53252,1.20856,0.97086,1.19921,0.001802,0.001802,0.001802
52,1262.07,1.06024,1.03888,1.34627,0.76814,0.66852,0.76668,0.51673,1.24886,1.02974,1.2176,0.00179804,0.00179804,0.00179804
53,1286.46,1.06714,1.04775,1.36511,0.85781,0.69638,0.81754,0.54472,1.23202,0.92021,1.2127,0.00179408,0.00179408,0.00179408
54,1310.77,1.02661,0.96766,1.32728,0.8413,0.62674,0.75033,0.45965,1.41928,1.18764,1.34251,0.00179012,0.00179012,0.00179012
55,1334.99,1.09121,1.05661,1.37581,0.73461,0.67131,0.74767,0.48992,1.26464,1.07591,1.24055,0.00178616,0.00178616,0.00178616
56,1359.43,1.06011,1.01745,1.33968,0.80104,0.58774,0.722,0.47859,1.27066,1.14438,1.23169,0.0017822,0.0017822,0.0017822
57,1383.74,1.03126,0.98046,1.31369,0.78573,0.72523,0.8173,0.55228,1.2204,0.89924,1.20758,0.00177824,0.00177824,0.00177824
58,1408.27,1.0395,0.95813,1.32046,0.86998,0.72689,0.83461,0.56609,1.21502,0.84104,1.19505,0.00177428,0.00177428,0.00177428
59,1432.66,1.04427,0.97699,1.32586,0.8141,0.62396,0.74891,0.49843,1.29935,1.0427,1.26077,0.00177032,0.00177032,0.00177032
60,1456.99,1.02881,0.96545,1.32115,0.82402,0.76045,0.8444,0.56963,1.22661,0.9367,1.19921,0.00176636,0.00176636,0.00176636
61,1481.35,0.99945,0.95076,1.29899,0.79244,0.71588,0.80346,0.54648,1.20448,0.93579,1.20857,0.0017624,0.0017624,0.0017624
62,1505.67,1.03277,0.96696,1.31254,0.87227,0.68479,0.83455,0.56075,1.19889,0.9157,1.1837,0.00175844,0.00175844,0.00175844
63,1529.84,1.00697,0.94601,1.30923,0.77145,0.74373,0.80985,0.52896,1.24588,0.90595,1.21335,0.00175448,0.00175448,0.00175448
64,1554.08,1.03879,0.97458,1.31161,0.85425,0.71866,0.84051,0.5606,1.19094,0.91845,1.18411,0.00175052,0.00175052,0.00175052
65,1578.44,1.02752,0.96348,1.31809,0.90059,0.67967,0.82608,0.5694,1.20247,0.87135,1.18516,0.00174656,0.00174656,0.00174656
66,1602.83,1.01251,0.95751,1.32633,0.84641,0.72145,0.82313,0.55126,1.22695,0.94084,1.20847,0.0017426,0.0017426,0.0017426
67,1627.2,1.01172,0.9476,1.3003,0.89986,0.70752,0.85518,0.56888,1.19796,0.84209,1.204,0.00173864,0.00173864,0.00173864
68,1651.52,1.01264,0.95959,1.31436,0.37411,0.51811,0.31131,0.18857,1.59922,1.91297,1.4969,0.00173468,0.00173468,0.00173468
69,1675.71,1.01547,0.94539,1.31488,0.85305,0.71588,0.83179,0.56289,1.21365,0.82087,1.19618,0.00173072,0.00173072,0.00173072
70,1699.89,0.98751,0.91007,1.27169,0.80433,0.75766,0.81942,0.55675,1.18824,0.87511,1.18216,0.00172676,0.00172676,0.00172676
71,1724.26,1.04577,0.96405,1.31691,0.8716,0.68245,0.84302,0.56181,1.20884,0.89224,1.19292,0.0017228,0.0017228,0.0017228
72,1748.56,1.03149,0.94,1.32147,0.8445,0.76602,0.85632,0.58222,1.18858,0.83554,1.17976,0.00171884,0.00171884,0.00171884
73,1772.96,1.00325,0.91837,1.29633,0.78078,0.7493,0.83555,0.55291,1.19122,0.90498,1.18489,0.00171488,0.00171488,0.00171488
74,1797.3,0.97107,0.91607,1.27159,0.80023,0.77159,0.84638,0.57219,1.21198,0.84518,1.19036,0.00171092,0.00171092,0.00171092
75,1821.61,1.01612,0.92671,1.31752,0.89967,0.71866,0.85522,0.59926,1.15997,0.78838,1.171,0.00170696,0.00170696,0.00170696
76,1846.15,1.01511,0.93913,1.31003,0.84448,0.77437,0.86228,0.57682,1.22371,0.85363,1.18809,0.001703,0.001703,0.001703
77,1870.42,1.02676,0.93007,1.31402,0.85058,0.7688,0.83531,0.561,1.20381,0.84587,1.18449,0.00169904,0.00169904,0.00169904
78,1894.64,0.94267,0.87589,1.24506,0.80476,0.73481,0.81869,0.53309,1.30129,0.88058,1.22437,0.00169508,0.00169508,0.00169508
79,1919.01,0.99101,0.89398,1.28573,0.86103,0.73816,0.84061,0.57469,1.16232,0.83873,1.16316,0.00169112,0.00169112,0.00169112
80,1943.51,0.97304,0.90928,1.29074,0.82717,0.77322,0.85981,0.59555,1.14487,0.816,1.17018,0.00168716,0.00168716,0.00168716
81,1967.63,0.96781,0.89362,1.28064,0.83535,0.72074,0.80677,0.55504,1.21184,0.91165,1.18239,0.0016832,0.0016832,0.0016832
82,1991.84,0.99281,0.88201,1.27478,0.88783,0.72981,0.86236,0.59696,1.14258,0.78922,1.15895,0.00167924,0.00167924,0.00167924
83,2016.02,0.99609,0.89739,1.29144,0.87695,0.71469,0.84813,0.57575,1.19515,0.85983,1.18075,0.00167528,0.00167528,0.00167528
84,2040.19,1.00422,0.90851,1.30077,0.89781,0.70973,0.84367,0.57346,1.19708,0.82656,1.17543,0.00167132,0.00167132,0.00167132
85,2064.44,0.98468,0.88531,1.28269,0.38141,0.59331,0.46626,0.30271,1.4049,1.71417,1.37418,0.00166736,0.00166736,0.00166736
86,2088.72,0.96638,0.87273,1.28487,0.81822,0.76482,0.85663,0.5914,1.13486,0.78568,1.15457,0.0016634,0.0016634,0.0016634
87,2112.89,0.95306,0.8373,1.25428,0.85029,0.76602,0.86849,0.59186,1.15526,0.79999,1.1676,0.00165944,0.00165944,0.00165944
88,2137.07,0.96904,0.86042,1.26912,0.82727,0.76045,0.85876,0.57299,1.17803,0.88789,1.17631,0.00165548,0.00165548,0.00165548
89,2161.64,0.9571,0.82894,1.25761,0.82955,0.62674,0.74465,0.47294,1.36789,0.98834,1.30167,0.00165152,0.00165152,0.00165152
90,2185.93,0.96754,0.87193,1.28469,0.79673,0.76045,0.83085,0.57643,1.20484,0.82553,1.19295,0.00164756,0.00164756,0.00164756
91,2210.13,0.96236,0.86341,1.2395,0.86437,0.77159,0.87608,0.59435,1.19537,0.75454,1.18687,0.0016436,0.0016436,0.0016436
92,2234.31,0.95953,0.88364,1.27637,0.876,0.7493,0.86514,0.58315,1.18208,0.81293,1.19421,0.00163964,0.00163964,0.00163964
93,2258.7,0.96496,0.84098,1.25274,0.79824,0.77994,0.85821,0.58549,1.18334,0.84411,1.18638,0.00163568,0.00163568,0.00163568
94,2282.87,0.94201,0.83223,1.25218,0.8507,0.77769,0.87172,0.60748,1.14409,0.76657,1.15697,0.00163172,0.00163172,0.00163172
95,2307.15,0.92837,0.81775,1.24398,0.85894,0.74632,0.87904,0.60561,1.14771,0.72594,1.1543,0.00162776,0.00162776,0.00162776
96,2331.37,0.91207,0.82036,1.23825,0.86924,0.74373,0.86956,0.59585,1.15764,0.77716,1.15973,0.0016238,0.0016238,0.0016238
97,2355.84,0.92963,0.83622,1.2415,0.81545,0.73849,0.83588,0.56921,1.15212,0.82466,1.17848,0.00161984,0.00161984,0.00161984
98,2380.04,0.94055,0.8337,1.25108,0.85123,0.77716,0.86557,0.60419,1.1525,0.75049,1.16446,0.00161588,0.00161588,0.00161588
99,2404.32,0.95092,0.85564,1.27169,0.82808,0.7493,0.84071,0.59015,1.14359,0.80715,1.17687,0.00161192,0.00161192,0.00161192
100,2428.62,0.92205,0.81577,1.24213,0.67293,0.66295,0.69358,0.44521,1.31194,1.127,1.26166,0.00160796,0.00160796,0.00160796
101,2452.94,0.91856,0.80613,1.22716,0.83249,0.77437,0.87261,0.61136,1.12401,0.75493,1.15438,0.001604,0.001604,0.001604
102,2477.41,0.92687,0.81296,1.23947,0.85766,0.79109,0.87468,0.60613,1.13706,0.75517,1.16639,0.00160004,0.00160004,0.00160004
103,2501.79,0.91737,0.80131,1.2305,0.86753,0.74792,0.87155,0.61006,1.1118,0.84458,1.14112,0.00159608,0.00159608,0.00159608
104,2526.16,0.92354,0.80911,1.23425,0.87492,0.75992,0.87687,0.61194,1.12979,0.75066,1.15926,0.00159212,0.00159212,0.00159212
105,2550.54,0.89736,0.8036,1.21122,0.85388,0.79758,0.87699,0.61618,1.12296,0.74389,1.15789,0.00158816,0.00158816,0.00158816
106,2574.91,0.91154,0.83824,1.25166,0.82498,0.76602,0.85276,0.58963,1.16777,0.81183,1.17874,0.0015842,0.0015842,0.0015842
107,2599.11,0.9146,0.80904,1.25376,0.86819,0.79387,0.89218,0.61522,1.15928,0.72163,1.16596,0.00158024,0.00158024,0.00158024
108,2623.39,0.91325,0.80023,1.23348,0.84745,0.81058,0.8859,0.6121,1.15404,0.72874,1.15816,0.00157628,0.00157628,0.00157628
109,2647.69,0.90773,0.77807,1.21445,0.88048,0.77977,0.86511,0.60447,1.14288,0.75456,1.15151,0.00157232,0.00157232,0.00157232
110,2671.87,0.8775,0.78759,1.20087,0.85519,0.79387,0.87768,0.61224,1.13101,0.71728,1.15777,0.00156836,0.00156836,0.00156836
111,2696.19,0.90388,0.81408,1.23207,0.85728,0.8078,0.88657,0.61743,1.10928,0.73519,1.13841,0.0015644,0.0015644,0.0015644
112,2720.62,0.89021,0.77967,1.21257,0.82683,0.82173,0.88331,0.6132,1.10476,0.70385,1.14385,0.00156044,0.00156044,0.00156044
113,2744.87,0.89698,0.78527,1.21992,0.76735,0.69638,0.77194,0.5243,1.19265,0.98498,1.20944,0.00155648,0.00155648,0.00155648
114,2769.03,0.87395,0.75701,1.21317,0.92385,0.73538,0.88731,0.61516,1.14208,0.71254,1.16194,0.00155252,0.00155252,0.00155252
115,2793.44,0.86526,0.72838,1.19809,0.8563,0.79666,0.88457,0.60724,1.14834,0.7058,1.16138,0.00154856,0.00154856,0.00154856
116,2817.7,0.90173,0.78231,1.23029,0.85333,0.79412,0.8853,0.60118,1.13073,0.76405,1.14727,0.0015446,0.0015446,0.0015446
117,2841.81,0.86333,0.74863,1.21365,0.8576,0.8078,0.89876,0.62408,1.12391,0.70094,1.14791,0.00154064,0.00154064,0.00154064
118,2866.13,0.89512,0.76391,1.21856,0.81782,0.71031,0.84036,0.57673,1.13909,0.84621,1.15405,0.00153668,0.00153668,0.00153668
119,2890.51,0.87363,0.75024,1.20035,0.87867,0.80688,0.89235,0.60738,1.14552,0.72598,1.17191,0.00153272,0.00153272,0.00153272
120,2914.63,0.89061,0.77484,1.22399,0.8995,0.77288,0.88419,0.62028,1.14551,0.72418,1.15349,0.00152876,0.00152876,0.00152876
121,2938.84,0.88951,0.77902,1.21825,0.84871,0.78129,0.8857,0.61167,1.12573,0.73513,1.14548,0.0015248,0.0015248,0.0015248
122,2963,0.91485,0.78317,1.23012,0.85444,0.76848,0.88716,0.61669,1.12811,0.7599,1.14367,0.00152084,0.00152084,0.00152084
123,2987.18,0.90914,0.78077,1.22389,0.8499,0.79944,0.89384,0.63188,1.12398,0.67172,1.14124,0.00151688,0.00151688,0.00151688
124,3011.52,0.88127,0.76188,1.19956,0.88494,0.74373,0.87003,0.59446,1.18373,0.75744,1.17246,0.00151292,0.00151292,0.00151292
125,3035.72,0.86963,0.7529,1.19472,0.88555,0.81337,0.90421,0.63161,1.1507,0.69118,1.15139,0.00150896,0.00150896,0.00150896
