epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8894,1.21003,2.06573,1.6077,0,0,0,0,0,0,0,0.0701176,0.00332026,0.00332026
2,117.623,1.23269,1.56603,1.59241,0,0,0,0,0,0,0,0.0397883,0.00632424,0.00632424
3,176.352,1.28321,1.67,1.56468,0,0,0,0,0,0,0,0.00912894,0.00899822,0.00899822
4,235.049,1.34881,1.65954,1.6623,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
5,293.699,1.35259,1.59487,1.66765,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
6,352.304,1.44333,1.55201,1.72713,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
7,410.983,1.33142,1.43898,1.66057,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
8,469.64,1.33241,1.39153,1.66193,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
9,528.333,1.23943,1.31606,1.57604,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
10,587.048,1.24376,1.26115,1.59898,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
11,646.106,1.16637,1.07958,1.56855,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
12,704.841,1.13726,0.97021,1.51504,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
13,763.52,1.13757,0.96881,1.49305,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
14,822.171,1.08239,0.92174,1.48439,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
15,880.776,1.05284,0.87271,1.43802,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
16,939.391,1.01844,0.80203,1.41944,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
17,997.987,0.97812,0.73547,1.40377,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
18,1056.55,0.923,0.68906,1.35097,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
19,1115.11,0.90445,0.65385,1.32802,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
20,1175.72,0.89308,0.62953,1.30902,0.8629,0.80646,0.89551,0.63906,1.06519,0.76991,1.15526,0.000595,0.000595,0.000595
1,60.0832,1.21861,2.08504,1.62465,0,0,0,0,0,0,0,0.072128,0.00302822,0.00302822
2,119.121,1.20124,1.40613,1.56798,0,0,0,0,0,0,0,0.0438459,0.00576804,0.00576804
3,177.94,1.20803,1.52494,1.54001,0,0,0,0,0,0,0,0.0152629,0.00820693,0.00820693
4,236.651,1.3034,1.51563,1.60601,0,0,0,0,0,0,0,0.00834495,0.00834495,0.00834495
5,295.349,1.28466,1.40574,1.63024,0,0,0,0,0,0,0,0.00785993,0.00785993,0.00785993
6,354.003,1.30792,1.34945,1.64909,0,0,0,0,0,0,0,0.00737492,0.00737492,0.00737492
7,412.674,1.2697,1.29279,1.63313,0,0,0,0,0,0,0,0.0068899,0.0068899,0.0068899
8,471.368,1.25376,1.22738,1.62173,0,0,0,0,0,0,0,0.00640488,0.00640488,0.00640488
9,530.042,1.20675,1.17242,1.54899,0,0,0,0,0,0,0,0.00591987,0.00591987,0.00591987
10,588.705,1.18697,1.13472,1.55812,0,0,0,0,0,0,0,0.00543485,0.00543485,0.00543485
11,647.719,1.12246,0.97432,1.51825,0,0,0,0,0,0,0,0.00494983,0.00494983,0.00494983
12,706.267,1.12777,0.90877,1.52666,0,0,0,0,0,0,0,0.00446482,0.00446482,0.00446482
13,764.873,1.1309,0.90903,1.51244,0,0,0,0,0,0,0,0.0039798,0.0039798,0.0039798
14,823.4,1.06632,0.81007,1.46545,0,0,0,0,0,0,0,0.00349478,0.00349478,0.00349478
15,881.918,1.05492,0.82959,1.4571,0,0,0,0,0,0,0,0.00300977,0.00300977,0.00300977
16,940.497,1.02054,0.75482,1.41659,0,0,0,0,0,0,0,0.00252475,0.00252475,0.00252475
17,998.996,0.9462,0.68783,1.37928,0,0,0,0,0,0,0,0.00203973,0.00203973,0.00203973
18,1057.53,0.91535,0.64276,1.35004,0,0,0,0,0,0,0,0.00155472,0.00155472,0.00155472
19,1116.12,0.89302,0.62514,1.32093,0,0,0,0,0,0,0,0.0010697,0.0010697,0.0010697
