epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7879,1.42081,4.31994,0.82363,0,0,0,0,0,0,0,0.0749715,0.0002375,0.0002375
2,37.0292,1.50107,4.09415,0.86624,0,0,0,0,0,0,0,0.0497877,0.000452642,0.000452642
3,55.001,1.52016,4.0937,0.88351,0,0,0,0,0,0,0,0.0245803,0.000644115,0.000644115
4,72.9146,1.52069,3.96161,0.86728,0,0,0,0,0,0,0,0.000800213,0.000800213,0.000800213
5,90.7414,1.52887,3.76838,0.88141,0,0,0,0,0,0,0,0.000753617,0.000753617,0.000753617
6,108.551,1.44285,3.45694,0.85896,0,0,0,0,0,0,0,0.000707021,0.000707021,0.000707021
7,126.562,1.37241,3.18005,0.82089,0,0,0,0,0,0,0,0.000660425,0.000660425,0.000660425
8,144.363,1.3329,3.08919,0.80568,0,0,0,0,0,0,0,0.000613829,0.000613829,0.000613829
9,162.147,1.28656,2.80046,0.78533,0,0,0,0,0,0,0,0.000567234,0.000567234,0.000567234
10,179.967,1.28363,2.79142,0.7856,0,0,0,0,0,0,0,0.000520638,0.000520638,0.000520638
11,198.064,1.18657,2.52368,0.78027,0,0,0,0,0,0,0,0.000474042,0.000474042,0.000474042
12,216.112,1.13495,2.35115,0.75537,0,0,0,0,0,0,0,0.000427446,0.000427446,0.000427446
13,233.854,1.06844,2.14727,0.72968,0,0,0,0,0,0,0,0.00038085,0.00038085,0.00038085
14,251.534,1.09965,2.11765,0.74508,0,0,0,0,0,0,0,0.000334255,0.000334255,0.000334255
15,269.245,1.03985,1.97419,0.71657,0,0,0,0,0,0,0,0.000287659,0.000287659,0.000287659
16,286.949,1.04343,1.90357,0.71636,0,0,0,0,0,0,0,0.000241063,0.000241063,0.000241063
17,304.772,0.98605,1.74032,0.69196,0,0,0,0,0,0,0,0.000194467,0.000194467,0.000194467
18,322.537,0.95541,1.66909,0.67784,0,0,0,0,0,0,0,0.000147871,0.000147871,0.000147871
19,340.241,0.93852,1.55877,0.65954,0,0,0,0,0,0,0,0.000101276,0.000101276,0.000101276
20,358.677,0.92537,1.50855,0.66312,0.88785,0.8078,0.90529,0.60175,1.11116,1.64024,0.59647,5.46798e-05,5.46798e-05,5.46798e-05
