fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.2016,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,10,0.1,0.5,10,0.001,0.5,0.5,0.1,1.0,0.1,0.1
0.29169,0.00847,0.01148,0.937,0.0005,3.09777,0.8,7.50849,0.55198,1.53182,0.01508,0.77075,0.4,10.9727,0.1,0.5,10.0,0.001,0.52057,0.48917,0.09612,1.0,0.1,0.11217
0.19626,0.00848,0.01216,0.93417,0.0005,3.14149,0.81146,7.46132,0.55087,1.47746,0.01467,0.74369,0.4,11.62794,0.09809,0.50579,10.0,0.001,0.52454,0.48917,0.09663,0.96737,0.1,0.11217
0.19749,0.0091,0.01148,0.85008,0.0005,2.99328,0.85172,7.71806,0.57464,1.51136,0.01508,0.73514,0.38141,9.95088,0.10321,0.48399,10.0,0.001,0.58358,0.48446,0.09612,1.0,0.1062,0.10302
0.28913,0.00888,0.01241,0.98,0.00052,3.44877,0.81254,5.93042,0.64211,1.68506,0.01513,0.77075,0.36118,9.92649,0.1,0.51953,10.0,0.001,0.58604,0.46823,0.09955,0.9471,0.08033,0.11193
0.27436,0.00804,0.01155,0.937,0.00053,3.09777,0.88874,7.68999,0.56748,1.53182,0.0176,0.76146,0.39898,11.90472,0.12153,0.46449,10.0,0.00089,0.49845,0.38912,0.08479,1.0,0.1,0.11217
0.0264,0.00945,0.01241,0.83859,0.00065,3.10184,0.80503,6.8535,0.45183,1.18905,0.01467,0.85282,0.43634,11.11249,0.1,0.56838,8.06707,0.00094,0.58604,0.52064,0.11976,0.9471,0.06916,0.09644
0.25488,0.00853,0.01155,0.96121,0.00049,3.17959,0.88874,6.93496,0.55657,1.63525,0.0176,0.76146,0.35514,14.29721,0.1178,0.54584,10.0,0.00094,0.49955,0.38912,0.08479,0.96167,0.09836,0.0973
0.27001,0.00942,0.01168,0.98,0.00045,3.17959,0.93847,7.70412,0.65186,1.79177,0.01486,0.81735,0.3006,13.36378,0.12335,0.54584,10.0,0.00094,0.47824,0.38912,0.08691,0.96817,0.09904,0.08065
0.23192,0.00871,0.00983,0.937,0.00055,3.09777,0.74045,8.04655,0.4638,1.37355,0.01572,0.67638,0.35374,11.06971,0.10685,0.33248,9.71906,0.00089,0.51577,0.35823,0.09318,0.91429,0.11338,0.09648
