epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.25568,1.19001,2.88232,1.44343,0.71286,0.11757,0.41661,0.26578,1.37428,3.01553,1.09474,0.000652778,0.000652778,0.000652778
2,18.2775,1.34155,2.43099,1.52213,0.32948,0.20056,0.18185,0.09908,1.64685,3.0185,1.50849,0.00131683,0.00131683,0.00131683
3,27.0507,1.42762,2.18201,1.59091,0.48362,0.30641,0.2998,0.1665,1.96544,2.81897,1.87446,0.00197825,0.00197825,0.00197825
4,35.8301,1.4407,1.9618,1.59586,0.5057,0.32033,0.34036,0.17442,1.71603,2.41347,1.58551,0.00198812,0.00198812,0.00198812
5,44.6072,1.36397,1.70591,1.54957,0.31095,0.16713,0.13565,0.08078,1.81207,2.96743,1.81777,0.00198416,0.00198416,0.00198416
6,53.4156,1.33827,1.55364,1.50762,0.62275,0.43454,0.4831,0.27716,1.45331,2.66131,1.39197,0.0019802,0.0019802,0.0019802
7,62.2081,1.2848,1.43545,1.48956,0.70717,0.4978,0.577,0.35148,1.41307,1.83506,1.29235,0.00197624,0.00197624,0.00197624
8,71.0044,1.29063,1.39867,1.4942,0.6584,0.60446,0.63823,0.39033,1.37324,1.53537,1.25759,0.00197228,0.00197228,0.00197228
9,79.8128,1.23378,1.301,1.42691,0.50748,0.45404,0.36134,0.2163,1.67986,2.03999,1.51129,0.00196832,0.00196832,0.00196832
10,88.6096,1.21628,1.25957,1.4306,0.60831,0.52646,0.57906,0.35293,1.54141,1.7276,1.31575,0.00196436,0.00196436,0.00196436
11,97.4116,1.19808,1.20061,1.42557,0.72961,0.62953,0.71576,0.43771,1.35972,1.35354,1.29179,0.0019604,0.0019604,0.0019604
12,106.232,1.20129,1.21579,1.42196,0.69536,0.59767,0.66135,0.41728,1.40735,1.47416,1.33439,0.00195644,0.00195644,0.00195644
13,115.006,1.18421,1.19101,1.41425,0.77071,0.61003,0.72589,0.45493,1.30727,1.27033,1.24329,0.00195248,0.00195248,0.00195248
14,123.849,1.15879,1.1673,1.40522,0.73775,0.57205,0.64966,0.39892,1.47363,1.53276,1.34158,0.00194852,0.00194852,0.00194852
15,132.684,1.12366,1.08703,1.36968,0.76513,0.58774,0.68766,0.45943,1.35189,1.40141,1.23672,0.00194456,0.00194456,0.00194456
16,141.517,1.12958,1.07187,1.38054,0.80094,0.68366,0.79106,0.50613,1.25529,1.25777,1.21336,0.0019406,0.0019406,0.0019406
17,150.341,1.13018,1.06995,1.38401,0.75381,0.69087,0.77582,0.51536,1.24609,1.20374,1.18087,0.00193664,0.00193664,0.00193664
18,159.17,1.17031,1.11178,1.40173,0.80193,0.74434,0.84234,0.53131,1.20779,1.32889,1.18134,0.00193268,0.00193268,0.00193268
19,167.999,1.1326,1.07812,1.38598,0.78135,0.71031,0.80457,0.51534,1.30029,1.03696,1.21695,0.00192872,0.00192872,0.00192872
20,176.784,1.07885,1.03399,1.35359,0.81588,0.67887,0.78074,0.5091,1.2134,1.09421,1.20157,0.00192476,0.00192476,0.00192476
21,185.577,1.11179,1.0597,1.36991,0.82487,0.64288,0.77034,0.50716,1.3303,1.14151,1.25569,0.0019208,0.0019208,0.0019208
22,194.391,1.0819,1.01044,1.35994,0.79082,0.59331,0.68936,0.43265,1.32214,1.29893,1.28115,0.00191684,0.00191684,0.00191684
23,203.203,1.11416,1.00005,1.35939,0.75953,0.50148,0.58745,0.37955,1.43171,1.58873,1.37946,0.00191288,0.00191288,0.00191288
24,212.024,1.08275,0.98169,1.34638,0.79194,0.64067,0.7485,0.50617,1.26703,1.18547,1.22166,0.00190892,0.00190892,0.00190892
25,220.873,1.04162,0.9607,1.31366,0.70697,0.48747,0.55069,0.37316,1.3988,1.79596,1.32685,0.00190496,0.00190496,0.00190496
26,229.68,1.04642,0.94099,1.32924,0.79735,0.72981,0.83362,0.53785,1.22929,0.91967,1.17585,0.001901,0.001901,0.001901
