epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.19131,1.13815,3.76192,1.44062,0.0101,0.83565,0.16304,0.10549,1.27238,3.27847,1.14207,0.000652778,0.000652778,0.000652778
2,18.1092,1.22022,3.03487,1.50711,0.01759,0.10864,0.0144,0.00772,1.65549,4.21088,1.63798,0.00131683,0.00131683,0.00131683
3,26.8984,1.24899,2.47552,1.51291,0.04452,0.09192,0.0258,0.01355,1.77419,3.09231,1.60859,0.00197825,0.00197825,0.00197825
4,35.6161,1.22833,2.01013,1.48931,0.12809,0.18384,0.06186,0.03403,1.77209,4.31663,1.66672,0.00198812,0.00198812,0.00198812
5,44.3084,1.16603,1.64535,1.43591,0.7408,0.45125,0.55635,0.30823,1.55995,2.16686,1.51346,0.00198416,0.00198416,0.00198416
6,53.061,1.11013,1.40274,1.38102,0.63454,0.62674,0.64061,0.37229,1.56012,2.09741,1.32649,0.0019802,0.0019802,0.0019802
7,61.7658,1.02643,1.21904,1.31766,0.37537,0.26741,0.25038,0.15602,1.74041,2.7046,1.66904,0.00197624,0.00197624,0.00197624
8,70.4833,0.98752,1.046,1.28227,0.6482,0.55989,0.58241,0.34154,1.50592,1.76043,1.3615,0.00197228,0.00197228,0.00197228
9,79.1749,0.92995,0.99014,1.2297,0.74962,0.57382,0.6752,0.39085,1.51059,1.44287,1.30837,0.00196832,0.00196832,0.00196832
10,87.8692,0.87862,0.86691,1.1848,0.74852,0.53892,0.65574,0.42025,1.48296,1.42256,1.28304,0.00196436,0.00196436,0.00196436
11,96.5861,0.82678,0.77113,1.16188,0.69869,0.67409,0.72441,0.45518,1.43897,1.30608,1.23072,0.0019604,0.0019604,0.0019604
12,105.307,0.79757,0.71821,1.13648,0.69302,0.6037,0.71669,0.45724,1.40837,1.46531,1.23151,0.00195644,0.00195644,0.00195644
13,114.058,0.75885,0.68848,1.10173,0.78944,0.66839,0.77453,0.49909,1.34388,1.15432,1.17581,0.00195248,0.00195248,0.00195248
14,122.798,0.72466,0.63632,1.08217,0.7002,0.67131,0.73057,0.45912,1.42734,1.30467,1.21207,0.00194852,0.00194852,0.00194852
15,131.53,0.70863,0.59502,1.07572,0.74611,0.68761,0.76276,0.49087,1.31585,1.22458,1.19453,0.00194456,0.00194456,0.00194456
