epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.22457,1.16581,2.3441,1.29206,0.94116,0.13366,0.26168,0.17166,1.27875,3.00862,1.05261,0.000652778,0.000652778,0.000652778
2,10.1558,1.30092,1.85719,1.35481,0.24038,0.14206,0.14326,0.08465,1.6221,2.60291,1.36321,0.00131683,0.00131683,0.00131683
3,14.8582,1.41215,1.75901,1.41439,0.5355,0.46884,0.47232,0.2538,1.60005,2.66997,1.33379,0.00197825,0.00197825,0.00197825
4,19.546,1.38323,1.66613,1.39625,0.25061,0.15042,0.12036,0.0788,1.67114,3.17534,1.47579,0.00198812,0.00198812,0.00198812
5,24.27,1.34358,1.50144,1.37114,0.69594,0.60724,0.66436,0.39968,1.38466,3.00299,1.1863,0.00198416,0.00198416,0.00198416
6,28.9159,1.29556,1.39372,1.3437,0.56628,0.62674,0.64113,0.39966,1.37496,1.4608,1.24308,0.0019802,0.0019802,0.0019802
7,33.5535,1.25761,1.32708,1.34476,0.57524,0.65181,0.62323,0.34542,1.58258,2.56914,1.27613,0.00197624,0.00197624,0.00197624
8,38.191,1.25632,1.31628,1.33872,0.6519,0.61035,0.63829,0.3918,1.41702,1.48422,1.24074,0.00197228,0.00197228,0.00197228
9,42.8255,1.22086,1.22684,1.29954,0.77501,0.66017,0.74504,0.42822,1.39945,1.46028,1.20645,0.00196832,0.00196832,0.00196832
10,47.4591,1.23137,1.18802,1.30631,0.52591,0.45961,0.45547,0.28202,1.51598,1.9366,1.32222,0.00196436,0.00196436,0.00196436
11,52.0874,1.175,1.11523,1.28615,0.73428,0.64067,0.72136,0.42984,1.34995,1.3517,1.16853,0.0019604,0.0019604,0.0019604
12,56.759,1.18203,1.16496,1.29494,0.75271,0.71588,0.78214,0.48561,1.30794,1.28432,1.14956,0.00195644,0.00195644,0.00195644
13,61.4303,1.16474,1.14411,1.28267,0.61113,0.7048,0.69268,0.44016,1.29654,1.28763,1.14444,0.00195248,0.00195248,0.00195248
14,66.1041,1.13173,1.0649,1.27404,0.7354,0.64345,0.73324,0.46571,1.42299,1.2212,1.19194,0.00194852,0.00194852,0.00194852
15,70.7764,1.12491,1.03272,1.26166,0.77601,0.67551,0.76965,0.50386,1.27899,1.12898,1.14574,0.00194456,0.00194456,0.00194456
16,75.4637,1.11135,1.03563,1.25121,0.79761,0.69359,0.78306,0.49864,1.40286,1.09863,1.23499,0.0019406,0.0019406,0.0019406
17,80.1428,1.11524,1.02121,1.2415,0.64103,0.61003,0.63583,0.40897,1.30815,1.52887,1.15081,0.00193664,0.00193664,0.00193664
18,84.8157,1.15445,1.03194,1.28707,0.83072,0.72449,0.82351,0.52943,1.32062,1.35226,1.19869,0.00193268,0.00193268,0.00193268
19,89.5113,1.08849,0.99321,1.24821,0.51337,0.59064,0.56349,0.35878,1.33661,1.64337,1.23958,0.00192872,0.00192872,0.00192872
20,94.1974,1.07003,0.96535,1.23081,0.73024,0.76912,0.82207,0.53535,1.24013,0.98199,1.12751,0.00192476,0.00192476,0.00192476
21,98.8965,1.1311,1.00142,1.26427,0.78161,0.70784,0.7957,0.52313,1.26042,1.1262,1.1045,0.0019208,0.0019208,0.0019208
22,103.561,1.06224,0.969,1.21915,0.70317,0.66017,0.74836,0.49346,1.30028,1.14582,1.16296,0.00191684,0.00191684,0.00191684
23,108.237,1.07911,0.94714,1.23156,0.78337,0.68524,0.79725,0.48494,1.3258,1.04214,1.19272,0.00191288,0.00191288,0.00191288
24,112.915,1.05262,0.9414,1.20575,0.79772,0.67131,0.79898,0.52527,1.23963,1.09622,1.11592,0.00190892,0.00190892,0.00190892
25,117.611,1.04107,0.93412,1.20912,0.78696,0.74086,0.81704,0.53846,1.35692,1.14611,1.175,0.00190496,0.00190496,0.00190496
26,122.31,1.04873,0.90735,1.21119,0.79251,0.81923,0.87447,0.58434,1.23808,0.87254,1.11762,0.001901,0.001901,0.001901
27,127.01,1.06618,0.9325,1.23367,0.84186,0.71309,0.83734,0.55778,1.24141,0.96403,1.11597,0.00189704,0.00189704,0.00189704
28,131.697,1.01172,0.87317,1.16804,0.84359,0.78122,0.87198,0.55679,1.21475,0.87968,1.10176,0.00189308,0.00189308,0.00189308
29,136.385,1.01354,0.89083,1.19518,0.83123,0.72423,0.80512,0.50788,1.33236,1.03099,1.19097,0.00188912,0.00188912,0.00188912
30,141.084,1.02275,0.90782,1.18577,0.81447,0.78552,0.85923,0.55948,1.2995,1.00029,1.13028,0.00188516,0.00188516,0.00188516
31,145.771,0.99883,0.87227,1.19128,0.79592,0.77134,0.84251,0.5587,1.22143,1.00066,1.12349,0.0018812,0.0018812,0.0018812
32,150.469,1.0237,0.88416,1.19237,0.81679,0.76045,0.85333,0.57053,1.26046,0.93495,1.11989,0.00187724,0.00187724,0.00187724
33,155.155,0.99385,0.85116,1.1906,0.7159,0.7883,0.80346,0.53942,1.29176,1.07266,1.14299,0.00187328,0.00187328,0.00187328
34,159.787,1.01167,0.87888,1.18504,0.80134,0.79774,0.85579,0.56348,1.19698,1.06534,1.10224,0.00186932,0.00186932,0.00186932
35,164.489,0.9941,0.87047,1.18314,0.79404,0.67688,0.77663,0.51175,1.23748,1.09609,1.14086,0.00186536,0.00186536,0.00186536
36,169.22,0.98413,0.83896,1.17754,0.90003,0.73816,0.86622,0.57051,1.19157,0.88161,1.11003,0.0018614,0.0018614,0.0018614
37,173.893,0.99219,0.8552,1.18933,0.87972,0.7538,0.88948,0.57783,1.20436,0.8271,1.11399,0.00185744,0.00185744,0.00185744
38,178.538,0.97982,0.85079,1.17956,0.80607,0.78273,0.84772,0.56425,1.16656,0.91248,1.09805,0.00185348,0.00185348,0.00185348
39,183.203,0.98058,0.83046,1.18451,0.83081,0.807,0.8795,0.57002,1.25102,0.95428,1.13236,0.00184952,0.00184952,0.00184952
40,187.911,1.00436,0.84905,1.1821,0.85997,0.75271,0.8581,0.56956,1.24326,0.8853,1.1296,0.00184556,0.00184556,0.00184556
41,192.557,0.97854,0.84754,1.17943,0.78469,0.6903,0.77924,0.51079,1.27485,1.05466,1.15954,0.0018416,0.0018416,0.0018416
42,197.235,1.0099,0.84903,1.19175,0.8271,0.79947,0.87374,0.5632,1.22775,0.83322,1.12878,0.00183764,0.00183764,0.00183764
43,201.91,0.9453,0.77036,1.15302,0.83143,0.76323,0.86957,0.58865,1.14,0.86389,1.08492,0.00183368,0.00183368,0.00183368
44,206.6,0.98366,0.82925,1.17314,0.80852,0.83509,0.88468,0.57969,1.18361,0.88406,1.08273,0.00182972,0.00182972,0.00182972
45,211.261,0.99694,0.83343,1.18184,0.8519,0.68245,0.77519,0.50165,1.29248,1.04927,1.15135,0.00182576,0.00182576,0.00182576
46,215.938,0.93441,0.79786,1.14172,0.84492,0.73816,0.84933,0.57323,1.22788,1.01248,1.12002,0.0018218,0.0018218,0.0018218
47,220.606,0.95888,0.80207,1.16594,0.8927,0.76045,0.88619,0.5835,1.18049,0.87606,1.10455,0.00181784,0.00181784,0.00181784
48,225.304,0.96535,0.78958,1.16538,0.83382,0.76871,0.865,0.58053,1.18518,0.86009,1.09267,0.00181388,0.00181388,0.00181388
49,229.96,0.93572,0.76666,1.15093,0.81086,0.83565,0.89724,0.59797,1.17033,0.78405,1.09716,0.00180992,0.00180992,0.00180992
50,234.645,0.94995,0.77842,1.1502,0.85226,0.82173,0.89645,0.60467,1.15476,0.82873,1.08967,0.00180596,0.00180596,0.00180596
51,239.363,0.95858,0.78298,1.16001,0.84752,0.78552,0.858,0.56725,1.23148,0.87869,1.1077,0.001802,0.001802,0.001802
