epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.643,1.2932,2.90599,1.70992,0.70296,0.67131,0.69744,0.46899,1.17901,1.25929,1.44679,0.0683748,0.00166448,0.00166448
2,291.799,1.23002,1.59808,1.63675,0.67645,0.76045,0.66857,0.44627,1.09971,1.25654,1.28809,0.0367016,0.00332455,0.00332455
3,437.901,1.29683,1.76148,1.64902,0.70182,0.60446,0.68131,0.47332,1.14708,1.41001,1.20548,0.00502171,0.00497802,0.00497802
4,583.519,1.25885,1.50835,1.61874,0.74159,0.24782,0.49632,0.3225,1.2912,2.55314,1.42831,0.0049703,0.0049703,0.0049703
5,729.48,1.30503,1.45551,1.69147,0.69928,0.64624,0.71328,0.49854,1.23092,1.41136,1.2845,0.0049604,0.0049604,0.0049604
6,875.44,1.33871,1.57937,1.69843,0.717,0.59889,0.71098,0.50719,1.15042,1.4767,1.21967,0.0049505,0.0049505,0.0049505
7,1021.49,1.28265,1.32743,1.65015,0.79395,0.61178,0.73367,0.51421,1.16272,1.40005,1.28535,0.0049406,0.0049406,0.0049406
8,1167.66,1.30932,1.30361,1.69168,0.75655,0.72423,0.77885,0.52957,1.15157,1.04795,1.25112,0.0049307,0.0049307,0.0049307
9,1313.36,1.28423,1.36608,1.66378,0.78368,0.6862,0.7771,0.52217,1.23871,1.16961,1.30735,0.0049208,0.0049208,0.0049208
10,1459.15,1.22916,1.28469,1.61971,0.79865,0.57454,0.7082,0.50066,1.19993,1.37482,1.26334,0.0049109,0.0049109,0.0049109
11,1604.9,1.22016,1.25969,1.59979,0.83205,0.69916,0.80584,0.54045,1.19258,1.0574,1.31,0.004901,0.004901,0.004901
12,1750.93,1.20321,1.23367,1.6046,0.7086,0.59607,0.70514,0.50883,1.15761,1.9958,1.30212,0.0048911,0.0048911,0.0048911
13,1896.74,1.21637,1.16347,1.62495,0.85228,0.70195,0.80446,0.56376,1.13269,1.05479,1.24543,0.0048812,0.0048812,0.0048812
14,2042.63,1.17823,1.17086,1.58697,0.68731,0.64289,0.7195,0.50573,1.19458,1.60476,1.34345,0.0048713,0.0048713,0.0048713
15,2188.43,1.20453,1.169,1.5875,0.83112,0.71031,0.82481,0.56235,1.18809,1.08072,1.30443,0.0048614,0.0048614,0.0048614
16,2334.19,1.16371,1.10712,1.57477,0.83645,0.75487,0.85137,0.59632,1.09008,0.88102,1.23322,0.0048515,0.0048515,0.0048515
17,2480.24,1.1609,1.08105,1.56177,0.79727,0.73395,0.81934,0.57077,1.14238,0.953,1.25657,0.0048416,0.0048416,0.0048416
18,2626.07,1.12198,1.09467,1.52159,0.80184,0.66017,0.75384,0.49903,1.25308,1.35341,1.39397,0.0048317,0.0048317,0.0048317
19,2771.96,1.16484,1.10683,1.56098,0.81572,0.73538,0.82385,0.56669,1.1129,0.95789,1.24635,0.0048218,0.0048218,0.0048218
20,2917.42,1.14793,1.08285,1.55575,0.80927,0.72145,0.80924,0.56915,1.1011,1.00116,1.26689,0.0048119,0.0048119,0.0048119
21,3063.09,1.11635,1.08128,1.55222,0.80183,0.71006,0.79158,0.55443,1.07945,0.97051,1.24968,0.004802,0.004802,0.004802
22,3208.93,1.12988,1.05441,1.57239,0.82006,0.74897,0.84153,0.59459,1.0886,0.96012,1.23536,0.0047921,0.0047921,0.0047921
23,3354.6,1.14298,1.10184,1.5438,0.81108,0.69081,0.80434,0.56729,1.09967,1.04378,1.25634,0.0047822,0.0047822,0.0047822
24,3500.16,1.10133,1.01749,1.51913,0.75667,0.73626,0.80478,0.56182,1.17564,1.21087,1.33406,0.0047723,0.0047723,0.0047723
25,3646,1.10492,1.03161,1.54998,0.80999,0.72702,0.8182,0.55696,1.12925,0.9417,1.26908,0.0047624,0.0047624,0.0047624
26,3791.53,1.11004,1.05719,1.5425,0.84348,0.74373,0.84593,0.58292,1.09731,0.89239,1.25869,0.0047525,0.0047525,0.0047525
27,3937.28,1.13637,1.03521,1.54343,0.80909,0.76323,0.83215,0.57955,1.12274,0.95322,1.27435,0.0047426,0.0047426,0.0047426
28,4083.15,1.10477,0.98227,1.49612,0.80047,0.73259,0.81452,0.57958,1.11009,0.98831,1.2596,0.0047327,0.0047327,0.0047327
29,4228.89,1.08352,1.01085,1.50076,0.7901,0.77159,0.84303,0.57889,1.11871,0.92681,1.24272,0.0047228,0.0047228,0.0047228
30,4374.79,1.08537,0.99636,1.51177,0.83714,0.74454,0.85273,0.60061,1.09834,0.85893,1.22292,0.0047129,0.0047129,0.0047129
31,4520.61,1.05243,0.95781,1.44465,0.85808,0.74101,0.85934,0.61872,1.0602,0.80968,1.20081,0.004703,0.004703,0.004703
32,4666.3,1.07643,0.94581,1.48328,0.80117,0.75766,0.85213,0.59813,1.08169,0.90331,1.23075,0.0046931,0.0046931,0.0046931
33,4812.3,1.085,0.9667,1.503,0.79233,0.77582,0.84065,0.60172,1.06036,0.89944,1.24524,0.0046832,0.0046832,0.0046832
34,4957.89,1.076,1.00109,1.48077,0.82006,0.79975,0.8657,0.61195,1.07302,0.89467,1.23518,0.0046733,0.0046733,0.0046733
35,5103.06,1.09325,1.00471,1.54079,0.86012,0.75209,0.87667,0.60773,1.11573,0.85615,1.26387,0.0046634,0.0046634,0.0046634
36,5248.82,1.0531,1.01406,1.47839,0.74815,0.64542,0.74013,0.49604,1.15494,1.034,1.28408,0.0046535,0.0046535,0.0046535
37,5394.43,1.0236,0.96264,1.45168,0.85852,0.77753,0.87082,0.61611,1.0664,0.87098,1.22771,0.0046436,0.0046436,0.0046436
38,5540.12,1.0152,0.91247,1.46259,0.84767,0.71304,0.83704,0.59565,1.10412,0.97633,1.25455,0.0046337,0.0046337,0.0046337
39,5685.89,1.02281,0.90478,1.4558,0.85189,0.75487,0.84122,0.59349,1.13431,0.98464,1.27429,0.0046238,0.0046238,0.0046238
40,5831.6,1.05714,0.91979,1.44552,0.85619,0.80223,0.88244,0.62033,1.05046,0.78415,1.23491,0.0046139,0.0046139,0.0046139
41,5977.34,1.00452,0.87329,1.43584,0.87396,0.73394,0.86227,0.60069,1.11161,0.8767,1.27396,0.004604,0.004604,0.004604
42,6123.02,1.03416,0.90148,1.46091,0.7862,0.80921,0.8632,0.62179,1.11774,0.83603,1.24589,0.0045941,0.0045941,0.0045941
43,6268.91,1.01912,0.93659,1.45701,0.84514,0.79109,0.86582,0.62287,1.04416,0.82757,1.21923,0.0045842,0.0045842,0.0045842
44,6414.78,1.00409,0.86239,1.45107,0.79443,0.76427,0.82502,0.56325,1.10253,0.89557,1.26041,0.0045743,0.0045743,0.0045743
45,6560.23,0.99738,0.90857,1.44083,0.83695,0.79387,0.86786,0.61473,1.09067,0.81944,1.23735,0.0045644,0.0045644,0.0045644
46,6705.65,1.00944,0.83927,1.45897,0.85649,0.7688,0.87447,0.61124,1.08987,0.84216,1.26037,0.0045545,0.0045545,0.0045545
47,6851.53,0.93933,0.88777,1.37015,0.77779,0.66852,0.7831,0.56564,1.098,1.15205,1.23642,0.0045446,0.0045446,0.0045446
48,6997.52,0.98729,0.906,1.42584,0.89247,0.76323,0.88209,0.62968,1.07403,0.77693,1.23056,0.0045347,0.0045347,0.0045347
49,7143.3,0.99319,0.92381,1.43809,0.78541,0.69081,0.80655,0.55137,1.17321,0.93536,1.32824,0.0045248,0.0045248,0.0045248
50,7289.04,1.03071,0.93894,1.46383,0.87681,0.77325,0.88915,0.63159,1.06068,0.77164,1.2199,0.0045149,0.0045149,0.0045149
51,7434.65,1.00234,0.89952,1.44518,0.7849,0.75487,0.83667,0.60602,1.08314,0.79628,1.23148,0.004505,0.004505,0.004505
52,7580.31,0.9776,0.87317,1.42118,0.8032,0.81616,0.88744,0.63519,1.0743,0.79061,1.22396,0.0044951,0.0044951,0.0044951
53,7726.36,1.01351,0.88361,1.43719,0.83779,0.77716,0.86317,0.62222,1.06022,0.8815,1.22981,0.0044852,0.0044852,0.0044852
54,7872.37,0.94518,0.83282,1.38506,0.83786,0.81058,0.89212,0.64245,1.05221,0.79212,1.20962,0.0044753,0.0044753,0.0044753
55,8018.21,0.98871,0.84679,1.40548,0.82615,0.7688,0.87127,0.62822,1.06245,0.78695,1.21258,0.0044654,0.0044654,0.0044654
56,8164.21,0.98875,0.86205,1.41964,0.8507,0.76186,0.87371,0.62253,1.07493,0.80377,1.24203,0.0044555,0.0044555,0.0044555
57,8310.01,0.99914,0.9249,1.43167,0.87913,0.76323,0.88271,0.6279,1.07906,0.76321,1.23867,0.0044456,0.0044456,0.0044456
58,8455.71,0.96726,0.82157,1.39368,0.86003,0.77019,0.8753,0.59664,1.14682,0.85272,1.2987,0.0044357,0.0044357,0.0044357
59,8601.5,0.95899,0.82594,1.41112,0.8099,0.8273,0.88242,0.61637,1.05558,0.75328,1.25338,0.0044258,0.0044258,0.0044258
60,8747.07,1.00713,0.87802,1.46344,0.52706,0.70195,0.62895,0.43411,1.2754,2.14033,1.46688,0.0044159,0.0044159,0.0044159
61,8893.07,0.9773,0.86753,1.42781,0.79272,0.80961,0.87325,0.62608,1.06608,0.76823,1.25232,0.004406,0.004406,0.004406
62,9039.08,0.92229,0.78888,1.37932,0.87872,0.82173,0.9016,0.64052,1.07812,0.71468,1.23738,0.0043961,0.0043961,0.0043961
63,9184.99,0.9789,0.82882,1.43676,0.85359,0.76323,0.84291,0.57929,1.11842,0.83934,1.26899,0.0043862,0.0043862,0.0043862
64,9331.36,0.95745,0.82495,1.41032,0.85561,0.78552,0.87662,0.60192,1.07876,0.76581,1.26861,0.0043763,0.0043763,0.0043763
65,9477.58,0.97371,0.79469,1.4031,0.85846,0.83844,0.90581,0.64318,1.047,0.67561,1.23245,0.0043664,0.0043664,0.0043664
66,9623.23,0.95899,0.79293,1.40018,0.87568,0.77716,0.86416,0.64056,1.07594,0.82319,1.23269,0.0043565,0.0043565,0.0043565
67,9768.79,0.94479,0.83249,1.38144,0.88077,0.77716,0.88336,0.62173,1.09884,0.83185,1.22439,0.0043466,0.0043466,0.0043466
68,9914.43,0.93817,0.85298,1.38455,0.83674,0.79944,0.86002,0.61001,1.08343,0.80929,1.25705,0.0043367,0.0043367,0.0043367
69,10060,0.91467,0.79378,1.37121,0.83803,0.7927,0.85088,0.60731,1.07183,0.80308,1.24447,0.0043268,0.0043268,0.0043268
70,10205.4,0.92938,0.78232,1.35885,0.87966,0.7534,0.86713,0.6248,1.05223,0.84845,1.23416,0.0043169,0.0043169,0.0043169
