epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6731,0.97031,0.93139,1.35259,0.79299,0.66155,0.7854,0.54261,1.18909,0.97092,1.28746,0.000664052,0.000664052,0.000664052
2,156.759,1.00274,0.99484,1.39741,0.77039,0.71028,0.80648,0.53676,1.21255,0.97896,1.29561,0.00132808,0.00132808,0.00132808
3,235.349,1.01093,0.9978,1.3837,0.74094,0.74094,0.79324,0.52717,1.26844,1.0726,1.32428,0.00198948,0.00198948,0.00198948
4,313.71,1.0367,0.99636,1.40921,0.86305,0.57929,0.71735,0.49275,1.26417,1.21422,1.34,0.00198812,0.00198812,0.00198812
5,392.067,1.03915,1.01484,1.41724,0.76463,0.65181,0.75557,0.501,1.25956,1.16618,1.32611,0.00198416,0.00198416,0.00198416
6,470.491,1.07473,1.1083,1.43772,0.78284,0.62674,0.74926,0.51535,1.25758,1.11854,1.33539,0.0019802,0.0019802,0.0019802
7,548.948,1.03748,1.03249,1.42604,0.79655,0.68802,0.79528,0.5343,1.29184,1.00662,1.32946,0.00197624,0.00197624,0.00197624
8,627.447,1.05072,1.0345,1.41536,0.78751,0.62117,0.74909,0.49764,1.30075,1.19384,1.3164,0.00197228,0.00197228,0.00197228
9,705.777,1.01495,1.00963,1.39423,0.73921,0.71588,0.78057,0.51255,1.3017,1.08192,1.35738,0.00196832,0.00196832,0.00196832
10,784.122,1.00481,1.00512,1.40084,0.75869,0.72145,0.79795,0.53631,1.24995,0.95954,1.30456,0.00196436,0.00196436,0.00196436
11,862.414,1.00691,0.95198,1.39077,0.80077,0.75487,0.81876,0.54681,1.2291,1.01761,1.30643,0.0019604,0.0019604,0.0019604
12,941.149,1.02374,0.97502,1.396,0.79465,0.66574,0.80053,0.55005,1.23147,0.95562,1.29216,0.00195644,0.00195644,0.00195644
13,1019.99,1.03521,1.00465,1.40052,0.78658,0.72891,0.8075,0.54595,1.21075,0.98714,1.29402,0.00195248,0.00195248,0.00195248
14,1098.43,1.00481,0.94805,1.3799,0.74177,0.75487,0.82558,0.55204,1.23715,0.9555,1.26853,0.00194852,0.00194852,0.00194852
15,1177.18,0.98523,0.98225,1.38104,0.79529,0.68524,0.79676,0.53923,1.23703,0.97145,1.28752,0.00194456,0.00194456,0.00194456
16,1255.54,1.01992,1.00627,1.40779,0.80662,0.5961,0.75227,0.50494,1.21509,1.11719,1.31983,0.0019406,0.0019406,0.0019406
17,1333.92,1.01348,0.97738,1.39977,0.829,0.6887,0.78427,0.53589,1.23822,1.01858,1.29764,0.00193664,0.00193664,0.00193664
18,1412.13,1.0101,0.9727,1.39338,0.80714,0.73445,0.83574,0.56631,1.1906,0.93609,1.26481,0.00193268,0.00193268,0.00193268
19,1490.84,0.99216,0.92241,1.37531,0.78584,0.72145,0.81654,0.55431,1.20246,0.97464,1.28175,0.00192872,0.00192872,0.00192872
20,1569.27,1.01283,0.95825,1.38436,0.79956,0.66852,0.80353,0.54311,1.20978,0.9786,1.28795,0.00192476,0.00192476,0.00192476
21,1647.66,1.02752,0.95748,1.37988,0.82273,0.66295,0.78694,0.52449,1.23247,0.99972,1.30353,0.0019208,0.0019208,0.0019208
22,1726.04,0.95809,0.91411,1.34873,0.7336,0.77159,0.81497,0.53592,1.25744,0.94286,1.32561,0.00191684,0.00191684,0.00191684
23,1804.35,0.99972,0.96707,1.38908,0.77203,0.66033,0.76587,0.49277,1.28879,1.06113,1.34784,0.00191288,0.00191288,0.00191288
24,1882.66,0.98526,0.95686,1.35896,0.7925,0.6277,0.75429,0.50745,1.29592,1.06448,1.36368,0.00190892,0.00190892,0.00190892
25,1960.99,0.94115,0.8934,1.33694,0.80361,0.74652,0.83634,0.57952,1.16765,0.87523,1.2566,0.00190496,0.00190496,0.00190496
26,2039.64,0.9605,0.94571,1.35418,0.80348,0.74095,0.82553,0.5677,1.17496,0.94725,1.26934,0.001901,0.001901,0.001901
27,2118.01,1.01011,0.95413,1.37739,0.78781,0.71359,0.81491,0.55267,1.2111,0.93463,1.30487,0.00189704,0.00189704,0.00189704
28,2196.47,0.96923,0.92939,1.3625,0.83075,0.76045,0.83644,0.56141,1.24249,0.91008,1.31974,0.00189308,0.00189308,0.00189308
29,2274.91,0.99484,0.91719,1.38421,0.75169,0.72518,0.78332,0.52466,1.2749,1.02414,1.30732,0.00188912,0.00188912,0.00188912
30,2353.27,0.99133,0.9278,1.39553,0.80338,0.73982,0.82843,0.56434,1.20513,0.89356,1.28837,0.00188516,0.00188516,0.00188516
31,2431.61,0.98804,0.94826,1.36844,0.7367,0.72981,0.80516,0.55422,1.17766,0.97128,1.27513,0.0018812,0.0018812,0.0018812
32,2509.95,0.92705,0.87731,1.32882,0.82873,0.71866,0.83848,0.58156,1.15172,0.87205,1.24452,0.00187724,0.00187724,0.00187724
