epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.35335,1.09297,3.40986,1.27055,0.00917,0.48261,0.10905,0.07118,1.24565,3.77219,1.00126,0.000362618,0.000362618,0.000362618
2,10.2682,1.22562,2.51438,1.33645,0.57043,0.19396,0.33531,0.21508,1.35003,2.659,1.08958,0.0007315,0.0007315,0.0007315
3,15.0654,1.20376,2.21872,1.2976,0.37961,0.37307,0.39773,0.23642,1.31193,1.76266,1.11371,0.00109892,0.00109892,0.00109892
4,19.7861,1.22911,2.09544,1.30905,0.80506,0.33888,0.37058,0.21756,1.37083,2.04861,1.20594,0.0011044,0.0011044,0.0011044
5,24.5288,1.22014,1.94742,1.32663,0.39533,0.49478,0.46329,0.286,1.39096,1.83666,1.21337,0.0011022,0.0011022,0.0011022
6,29.2912,1.21826,1.83399,1.32096,0.51493,0.39307,0.40601,0.25168,1.31272,1.82393,1.15897,0.0011,0.0011,0.0011
7,34.0625,1.14919,1.64154,1.26491,0.57682,0.42789,0.51708,0.30101,1.41583,1.45179,1.17843,0.0010978,0.0010978,0.0010978
8,38.806,1.13729,1.56926,1.26598,0.63203,0.53933,0.59682,0.37065,1.36324,1.36448,1.15763,0.0010956,0.0010956,0.0010956
9,43.5226,1.15713,1.53677,1.27694,0.46348,0.39423,0.42811,0.27121,1.32502,1.56589,1.15247,0.0010934,0.0010934,0.0010934
10,48.2147,1.17312,1.47306,1.27492,0.72964,0.53691,0.63424,0.38194,1.29779,1.16468,1.10636,0.0010912,0.0010912,0.0010912
11,52.9479,1.12167,1.42152,1.24811,0.55103,0.68445,0.61136,0.35924,1.21062,1.4206,1.11894,0.001089,0.001089,0.001089
12,57.6653,1.09279,1.35267,1.25868,0.54622,0.53988,0.58211,0.37015,1.21331,1.24576,1.11847,0.0010868,0.0010868,0.0010868
13,62.3946,1.09631,1.29203,1.236,0.61439,0.62714,0.60653,0.37856,1.23821,1.22933,1.12581,0.0010846,0.0010846,0.0010846
