epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1908,1.23401,3.77653,1.63762,0.43551,0.28339,0.35845,0.24994,1.1627,1.92924,1.26727,0.00332026,0.00332026,0.00332026
2,120.637,1.28026,2.11935,1.62447,0.688,0.28966,0.36492,0.2449,1.13018,2.18136,1.22562,0.00664701,0.00664701,0.00664701
3,181.428,1.26191,2.12465,1.57978,0.68411,0.27004,0.31566,0.21363,1.33166,2.64901,1.33133,0.00996715,0.00996715,0.00996715
4,242.14,1.31486,1.98317,1.64246,0.4216,0.20453,0.2116,0.14714,1.46455,2.81006,1.5646,0.0099703,0.0099703,0.0099703
5,302.903,1.32538,1.80887,1.66635,0.37047,0.27514,0.28296,0.18494,1.47423,2.29911,1.43225,0.0099604,0.0099604,0.0099604
6,363.581,1.39404,1.99252,1.70978,0.38906,0.3746,0.39283,0.26429,1.28778,2.24737,1.33108,0.0099505,0.0099505,0.0099505
7,424.376,1.33034,1.75501,1.66612,0.68497,0.49583,0.52671,0.32684,1.3607,1.72477,1.25221,0.0099406,0.0099406,0.0099406
8,485.16,1.32253,1.75212,1.63868,0.55626,0.34031,0.44398,0.28162,1.30084,1.70471,1.26238,0.0099307,0.0099307,0.0099307
9,545.886,1.26006,1.57483,1.5722,0.5891,0.58028,0.57973,0.32726,1.40865,1.84254,1.38526,0.0099208,0.0099208,0.0099208
10,606.736,1.3053,1.60368,1.62713,0.47195,0.47332,0.47937,0.30333,1.3139,1.4123,1.42016,0.0099109,0.0099109,0.0099109
11,667.51,1.24668,1.51453,1.59307,0.61234,0.46975,0.44904,0.30405,1.34875,1.48134,1.38316,0.009901,0.009901,0.009901
12,728.226,1.24268,1.50465,1.60382,0.47004,0.53839,0.51918,0.32427,1.35005,1.56379,1.38189,0.0098911,0.0098911,0.0098911
13,788.975,1.24794,1.4796,1.58596,0.55381,0.56577,0.59987,0.37694,1.24168,1.28585,1.31299,0.0098812,0.0098812,0.0098812
14,849.725,1.21883,1.37687,1.56969,0.60517,0.49941,0.59535,0.37371,1.2902,1.34066,1.39232,0.0098713,0.0098713,0.0098713
15,910.443,1.19793,1.37627,1.5719,0.59145,0.49827,0.59438,0.39363,1.23035,1.16472,1.25808,0.0098614,0.0098614,0.0098614
16,971.199,1.18959,1.35474,1.53564,0.55443,0.43306,0.4728,0.30235,1.3713,1.91141,1.42448,0.0098515,0.0098515,0.0098515
17,1031.89,1.17778,1.35985,1.52778,0.70036,0.58231,0.6756,0.44669,1.1575,0.99486,1.23806,0.0098416,0.0098416,0.0098416
18,1092.7,1.19736,1.36378,1.53978,0.50345,0.54128,0.57213,0.37586,1.25145,1.16542,1.28173,0.0098317,0.0098317,0.0098317
19,1153.36,1.16052,1.25969,1.53112,0.61295,0.5443,0.58873,0.38464,1.29628,1.3235,1.32169,0.0098218,0.0098218,0.0098218
