epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0154,1.08576,3.01586,1.43186,0.61992,0.4165,0.46466,0.32768,1.15252,1.49847,1.10408,0.00330729,0.00330729,0.00330729
2,65.8203,1.03193,1.69275,1.33561,0.63309,0.48953,0.4786,0.32913,1.14184,1.24472,1.07467,0.00663405,0.00663405,0.00663405
3,98.8966,1.10015,1.79045,1.39611,0.36566,0.19148,0.17787,0.12613,1.28534,3.68503,1.32256,0.00995421,0.00995421,0.00995421
4,132.216,1.17038,1.72001,1.39342,0.44264,0.45863,0.47003,0.32111,1.29597,1.34311,1.14141,0.0099703,0.0099703,0.0099703
5,165.688,1.24274,1.5816,1.4367,0.36224,0.26922,0.25326,0.17292,1.39029,2.6223,1.26701,0.0099604,0.0099604,0.0099604
6,198.842,1.18702,1.39908,1.42213,0.56792,0.27539,0.38214,0.22504,1.58899,1.92505,1.39481,0.0099505,0.0099505,0.0099505
7,232.136,1.16245,1.45136,1.42477,0.65984,0.51432,0.59696,0.39328,1.25777,1.20003,1.16657,0.0099406,0.0099406,0.0099406
8,265.531,1.15855,1.33331,1.42174,0.66414,0.48421,0.57795,0.38249,1.21981,1.11963,1.13887,0.0099307,0.0099307,0.0099307
9,298.865,1.16342,1.29279,1.42816,0.62808,0.54639,0.62265,0.40116,1.28313,1.20469,1.19921,0.0099208,0.0099208,0.0099208
10,332.271,1.10643,1.25774,1.36597,0.59003,0.07503,0.1133,0.07388,2.13071,4.99903,2.44482,0.0099109,0.0099109,0.0099109
11,365.536,1.11445,1.23455,1.39917,0.50087,0.36224,0.41693,0.2669,1.41745,1.69276,1.36848,0.009901,0.009901,0.009901
12,398.837,1.06326,1.19811,1.38824,0.46248,0.40984,0.40133,0.27164,1.32611,1.53703,1.28927,0.0098911,0.0098911,0.0098911
13,432.172,1.08306,1.21563,1.37718,0.57962,0.55849,0.58135,0.38027,1.21998,1.22385,1.16092,0.0098812,0.0098812,0.0098812
