epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3643,1.04922,3.2729,0.74465,0.03907,0.10554,0.0289,0.01106,1.12774,0.8824,0.34171,0.0670799,6.59722e-05,6.59722e-05
2,64.6827,0.67345,1.56249,0.41961,0.01276,0.22,0.02238,0.01288,0.60192,1.51148,0.18398,0.0338129,0.000132376,0.000132376
3,97.4595,0.49636,1.80951,0.28777,0.21328,0.35966,0.03059,0.02044,0.473,1.5519,0.15077,0.000545739,0.000198516,0.000198516
4,130.264,0.39567,1.84786,0.23712,0.62234,0.34617,0.05574,0.03371,0.379,1.49915,0.12108,0.000198812,0.000198812,0.000198812
5,163.076,0.35409,1.7862,0.20278,0.4274,0.25663,0.05607,0.03313,0.34331,1.57818,0.10681,0.000198416,0.000198416,0.000198416
6,195.738,0.33192,1.72779,0.19184,0.64085,0.22362,0.07187,0.04525,0.36904,1.36224,0.11551,0.00019802,0.00019802,0.00019802
7,228.447,0.32212,1.69648,0.19302,0.63349,0.27233,0.07444,0.04614,0.34894,1.32707,0.10953,0.000197624,0.000197624,0.000197624
8,261.226,0.29234,1.66101,0.17393,0.64882,0.27647,0.0978,0.06876,0.32071,1.44605,0.1006,0.000197228,0.000197228,0.000197228
9,294.013,0.30717,1.59293,0.17197,0.4522,0.29918,0.1042,0.06606,0.33466,1.32379,0.1067,0.000196832,0.000196832,0.000196832
10,326.636,0.30407,1.56918,0.175,0.09107,0.54658,0.1353,0.09082,0.31855,1.23335,0.10109,0.000196436,0.000196436,0.000196436
11,359.448,0.27318,1.54504,0.15913,0.28258,0.5314,0.17301,0.11569,0.30673,1.20144,0.09434,0.00019604,0.00019604,0.00019604
12,392.272,0.27228,1.49103,0.15964,0.30219,0.45444,0.15464,0.10261,0.30462,1.25311,0.09035,0.000195644,0.000195644,0.000195644
13,424.851,0.27673,1.50466,0.15707,0.08826,0.51991,0.14632,0.1054,0.29606,1.20757,0.09253,0.000195248,0.000195248,0.000195248
14,457.442,0.26681,1.41235,0.15133,0.10314,0.66738,0.20514,0.14987,0.30063,1.15419,0.09263,0.000194852,0.000194852,0.000194852
15,490.138,0.26972,1.36954,0.14783,0.29763,0.55101,0.22401,0.15914,0.31159,1.17628,0.0906,0.000194456,0.000194456,0.000194456
16,522.881,0.27418,1.26668,0.15496,0.1639,0.6196,0.28983,0.20884,0.32007,1.14358,0.09751,0.00019406,0.00019406,0.00019406
17,555.669,0.29439,1.03775,0.17698,0.53484,0.77151,0.6908,0.47506,0.34531,0.75691,0.11217,0.000193664,0.000193664,0.000193664
18,588.455,0.31443,0.75849,0.19516,0.70886,0.77134,0.74637,0.50227,0.36972,0.62588,0.121,0.000193268,0.000193268,0.000193268
19,621.202,0.32216,0.7212,0.19927,0.60675,0.76886,0.70157,0.48315,0.36535,0.58476,0.12061,0.000192872,0.000192872,0.000192872
20,653.776,0.3076,0.71156,0.20658,0.66679,0.76385,0.7573,0.51666,0.35344,0.61259,0.12198,0.000192476,0.000192476,0.000192476
21,686.643,0.31679,0.71963,0.2034,0.75155,0.74462,0.76635,0.52629,0.34197,0.55333,0.10916,0.00019208,0.00019208,0.00019208
22,719.477,0.31389,0.70003,0.2029,0.75153,0.77259,0.79108,0.51922,0.35882,0.53666,0.12634,0.000191684,0.000191684,0.000191684
23,752.161,0.32124,0.63861,0.20337,0.73261,0.75479,0.78819,0.5409,0.34164,0.81794,0.11484,0.000191288,0.000191288,0.000191288
24,784.942,0.30869,0.64537,0.19637,0.71476,0.799,0.77846,0.51346,0.33757,0.55345,0.11305,0.000190892,0.000190892,0.000190892
25,817.573,0.31606,0.61692,0.20779,0.79071,0.8053,0.80689,0.5404,0.33827,0.55734,0.11786,0.000190496,0.000190496,0.000190496
26,850.309,0.3058,0.59772,0.20174,0.80336,0.80231,0.82008,0.56161,0.33033,0.50362,0.11363,0.0001901,0.0001901,0.0001901
