epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9805,2.1957,0.60509,2.67193,0.00091,0.07521,0.0007,0.00015,2.04042,0.20835,1.57643,0.0669075,6.63176e-05,6.63176e-05
2,138.062,1.56787,0.44926,1.59516,0.00263,0.21727,0.01215,0.00245,1.54554,0.38304,1.14666,0.0336406,0.000132721,0.000132721
3,207.368,1.06625,0.84231,0.92981,0.01692,0.66574,0.07636,0.02692,0.90425,0.87242,0.37798,0.00037338,0.00019886,0.00019886
4,276.073,0.72422,1.15133,0.55234,0.05676,0.60724,0.07759,0.04299,0.61843,1.07429,0.21669,0.000198812,0.000198812,0.000198812
5,345.21,0.58281,1.24996,0.42235,0.13154,0.5376,0.17191,0.09076,0.51903,1.13389,0.17158,0.000198416,0.000198416,0.000198416
6,413.938,0.54707,1.25137,0.38406,0.18555,0.45125,0.21413,0.10629,0.49077,1.09719,0.15985,0.00019802,0.00019802,0.00019802
7,483.203,0.47649,1.28195,0.32294,0.16953,0.45125,0.18968,0.11644,0.45332,1.07078,0.16668,0.000197624,0.000197624,0.000197624
8,551.88,0.43905,1.31429,0.30731,0.16515,0.51854,0.1774,0.11357,0.41664,1.1459,0.13514,0.000197228,0.000197228,0.000197228
9,620.899,0.41878,1.27859,0.2717,0.19683,0.53203,0.22666,0.1412,0.41896,1.0564,0.13283,0.000196832,0.000196832,0.000196832
10,689.708,0.40647,1.26597,0.2569,0.22368,0.49025,0.22855,0.13752,0.39096,1.15721,0.12116,0.000196436,0.000196436,0.000196436
11,758.538,0.35108,1.29875,0.22812,0.20415,0.44011,0.24067,0.16487,0.35414,1.09368,0.11646,0.00019604,0.00019604,0.00019604
12,827.176,0.36938,1.29641,0.24319,0.22359,0.49025,0.26361,0.18133,0.37712,1.03783,0.13869,0.000195644,0.000195644,0.000195644
13,896.215,0.35592,1.26427,0.23491,0.24306,0.48747,0.26068,0.17492,0.33935,1.01652,0.10551,0.000195248,0.000195248,0.000195248
14,964.76,0.36374,1.24911,0.23107,0.27068,0.48279,0.32091,0.21086,0.35952,1.04005,0.12592,0.000194852,0.000194852,0.000194852
15,1034.11,0.36285,1.1614,0.22887,0.39718,0.59463,0.44057,0.29801,0.36286,0.92337,0.11697,0.000194456,0.000194456,0.000194456
16,1102.82,0.37553,0.89574,0.267,0.61425,0.75209,0.70218,0.4935,0.39786,0.73676,0.14344,0.00019406,0.00019406,0.00019406
17,1171.94,0.38906,0.75714,0.27273,0.63356,0.73816,0.69055,0.46389,0.38223,0.70305,0.13446,0.000193664,0.000193664,0.000193664
18,1240.62,0.37338,0.73935,0.26322,0.77397,0.77258,0.78987,0.55297,0.3871,0.56704,0.13988,0.000193268,0.000193268,0.000193268
19,1309.77,0.3899,0.69329,0.2802,0.77181,0.81026,0.80498,0.56635,0.35862,0.58785,0.12737,0.000192872,0.000192872,0.000192872
20,1378.54,0.37762,0.69814,0.27471,0.74882,0.78891,0.81128,0.57512,0.36512,0.60857,0.12539,0.000192476,0.000192476,0.000192476
21,1447.68,0.35016,0.70205,0.2487,0.76189,0.84123,0.81554,0.58769,0.36025,0.61773,0.13235,0.00019208,0.00019208,0.00019208
22,1516.24,0.35875,0.7181,0.25413,0.80905,0.85794,0.86152,0.61151,0.35391,0.55313,0.12973,0.000191684,0.000191684,0.000191684
23,1585.46,0.35452,0.69212,0.26456,0.85144,0.80223,0.83336,0.59682,0.34447,0.57463,0.11456,0.000191288,0.000191288,0.000191288
24,1654,0.32895,0.71191,0.23198,0.83116,0.83647,0.85797,0.61281,0.3524,0.53076,0.1206,0.000190892,0.000190892,0.000190892
25,1723.09,0.35431,0.72402,0.25584,0.86108,0.79423,0.82221,0.5847,0.35177,0.64733,0.12363,0.000190496,0.000190496,0.000190496
26,1791.62,0.33005,0.70089,0.24308,0.83711,0.84123,0.8854,0.63104,0.33606,0.51984,0.11654,0.0001901,0.0001901,0.0001901
27,1860.61,0.34364,0.65339,0.24248,0.82787,0.84399,0.87596,0.61576,0.34756,0.61679,0.12351,0.000189704,0.000189704,0.000189704
28,1929.07,0.33548,0.644,0.23211,0.8563,0.81335,0.87811,0.62681,0.34046,0.56318,0.11763,0.000189308,0.000189308,0.000189308
29,1997.89,0.33209,0.73565,0.2513,0.84891,0.83844,0.88913,0.64114,0.32456,0.57408,0.11117,0.000188912,0.000188912,0.000188912
30,2066.66,0.32958,0.69037,0.23727,0.82343,0.83287,0.88648,0.63849,0.35215,0.48864,0.13275,0.000188516,0.000188516,0.000188516
31,2135.67,0.33979,0.67455,0.23976,0.86214,0.81616,0.87938,0.63261,0.35549,0.56697,0.14197,0.00018812,0.00018812,0.00018812
32,2204.17,0.30582,0.62437,0.20249,0.83179,0.84022,0.86954,0.6254,0.34106,0.54125,0.12414,0.000187724,0.000187724,0.000187724
33,2273.25,0.33791,0.61817,0.25788,0.86558,0.84307,0.88058,0.64155,0.35815,0.50551,0.12675,0.000187328,0.000187328,0.000187328
34,2341.74,0.32318,0.63709,0.23428,0.89678,0.82283,0.89104,0.64875,0.32972,0.51974,0.1088,0.000186932,0.000186932,0.000186932
35,2410.75,0.32395,0.5843,0.2348,0.90014,0.84958,0.91601,0.66296,0.32608,0.59171,0.11385,0.000186536,0.000186536,0.000186536
36,2479.48,0.32136,0.62211,0.21345,0.86413,0.83263,0.88617,0.63519,0.32739,0.59527,0.11676,0.00018614,0.00018614,0.00018614
37,2548.51,0.317,0.59777,0.24144,0.85175,0.8273,0.86127,0.62118,0.33789,0.50452,0.1201,0.000185744,0.000185744,0.000185744
38,2617.06,0.32411,0.55929,0.23961,0.84508,0.82051,0.87913,0.64661,0.33288,0.49773,0.1197,0.000185348,0.000185348,0.000185348
39,2685.81,0.31726,0.56223,0.2302,0.84301,0.84401,0.88572,0.65366,0.32594,0.52247,0.11469,0.000184952,0.000184952,0.000184952
40,2754.16,0.32279,0.59025,0.23965,0.85365,0.82861,0.88766,0.6459,0.32837,0.54055,0.11203,0.000184556,0.000184556,0.000184556
41,2823.05,0.32117,0.57461,0.23091,0.81901,0.84451,0.87933,0.63991,0.34244,0.58268,0.1166,0.00018416,0.00018416,0.00018416
42,2891.57,0.31864,0.57799,0.22915,0.83765,0.86351,0.89129,0.64175,0.34541,0.51759,0.11718,0.000183764,0.000183764,0.000183764
43,2960.53,0.3065,0.5896,0.21883,0.84915,0.84669,0.88713,0.65024,0.32656,0.69243,0.11211,0.000183368,0.000183368,0.000183368
44,3029.02,0.28932,0.58195,0.20245,0.87934,0.85794,0.90774,0.66845,0.31554,0.58351,0.10991,0.000182972,0.000182972,0.000182972
45,3098.03,0.30761,0.54338,0.21897,0.85627,0.86294,0.89918,0.65674,0.33035,0.52989,0.11414,0.000182576,0.000182576,0.000182576
46,3166.69,0.30004,0.57236,0.2162,0.84817,0.84027,0.89566,0.65862,0.34223,0.57895,0.11717,0.00018218,0.00018218,0.00018218
47,3235.76,0.30701,0.55972,0.21953,0.83901,0.87104,0.9153,0.66955,0.32327,0.55402,0.11481,0.000181784,0.000181784,0.000181784
48,3304.55,0.28456,0.53746,0.20324,0.83857,0.86908,0.89727,0.65243,0.33356,0.55653,0.11423,0.000181388,0.000181388,0.000181388
49,3373.58,0.29668,0.53309,0.20062,0.83323,0.8629,0.87298,0.63158,0.366,0.51623,0.15534,0.000180992,0.000180992,0.000180992
50,3442.18,0.28079,0.57444,0.20256,0.86389,0.84859,0.90945,0.64113,0.34599,0.47977,0.12013,0.000180596,0.000180596,0.000180596
51,3511.04,0.28355,0.55258,0.20508,0.8375,0.87465,0.89903,0.65133,0.33782,0.50649,0.11998,0.0001802,0.0001802,0.0001802
52,3579.64,0.31449,0.52761,0.22293,0.86861,0.84958,0.91298,0.64664,0.35276,0.47033,0.12744,0.000179804,0.000179804,0.000179804
53,3648.66,0.28799,0.52133,0.20231,0.84086,0.86072,0.9012,0.63404,0.36293,0.54124,0.12858,0.000179408,0.000179408,0.000179408
54,3717.26,0.28045,0.51369,0.206,0.83937,0.8468,0.88019,0.64503,0.36655,0.49831,0.14525,0.000179012,0.000179012,0.000179012
55,3786.23,0.29607,0.52141,0.2246,0.8712,0.829,0.88905,0.65585,0.32747,0.48284,0.11608,0.000178616,0.000178616,0.000178616
56,3854.95,0.29287,0.49466,0.20335,0.85851,0.87886,0.90338,0.65885,0.34207,0.52831,0.11865,0.00017822,0.00017822,0.00017822
57,3924.14,0.27494,0.50891,0.20972,0.86038,0.85794,0.91434,0.66193,0.33871,0.4861,0.12209,0.000177824,0.000177824,0.000177824
58,3992.76,0.27568,0.52948,0.19007,0.84259,0.84992,0.89712,0.65735,0.33011,0.47781,0.11658,0.000177428,0.000177428,0.000177428
59,4061.82,0.28594,0.52008,0.20738,0.80966,0.87744,0.9075,0.66648,0.32653,0.51456,0.11799,0.000177032,0.000177032,0.000177032
60,4130.55,0.28742,0.49265,0.20284,0.84548,0.85794,0.88761,0.64578,0.36675,0.45639,0.13655,0.000176636,0.000176636,0.000176636
61,4199.48,0.27438,0.49854,0.20309,0.84425,0.87187,0.91294,0.66534,0.33601,0.48522,0.11421,0.00017624,0.00017624,0.00017624
62,4267.95,0.27176,0.50978,0.18839,0.84957,0.8663,0.91061,0.65543,0.34115,0.49559,0.11815,0.000175844,0.000175844,0.000175844
63,4336.85,0.26845,0.49968,0.19281,0.84333,0.86966,0.91298,0.64737,0.3521,0.45708,0.12525,0.000175448,0.000175448,0.000175448
64,4405.38,0.2724,0.50199,0.1951,0.84271,0.8663,0.90808,0.66294,0.3323,0.4699,0.11869,0.000175052,0.000175052,0.000175052
65,4474.25,0.28018,0.50424,0.20018,0.80523,0.89694,0.89845,0.65014,0.33868,0.51783,0.11851,0.000174656,0.000174656,0.000174656
66,4542.9,0.27543,0.53471,0.20358,0.78685,0.87465,0.88496,0.64012,0.34608,0.54944,0.12094,0.00017426,0.00017426,0.00017426
67,4611.85,0.27354,0.50946,0.1917,0.83293,0.87487,0.9118,0.6685,0.33611,0.5331,0.11964,0.000173864,0.000173864,0.000173864
68,4680.42,0.27499,0.52534,0.20186,0.8247,0.88858,0.91569,0.67329,0.32928,0.51913,0.12036,0.000173468,0.000173468,0.000173468
69,4749.54,0.2743,0.49752,0.20616,0.80562,0.87744,0.90664,0.6596,0.32707,0.51125,0.11916,0.000173072,0.000173072,0.000173072
70,4818.18,0.26364,0.48935,0.18208,0.8371,0.8663,0.88267,0.64457,0.34088,0.51906,0.13268,0.000172676,0.000172676,0.000172676
