epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,115.98,0.94708,8.75552,0.80859,0.25315,0.07579,0.04065,0.02451,0.75044,1.19244,0.30787,0.0700785,0.00332461,0.00332461
2,232.663,0.56594,1.43214,0.39105,0.13185,0.13303,0.06196,0.02423,0.86421,0.92994,0.25987,0.0400654,0.00664476,0.00664476
3,348.283,0.57012,1.22336,0.37908,0.22407,0.22708,0.15351,0.1048,0.5095,1.22278,0.18966,0.010039,0.00995171,0.00995171
4,463.891,0.44302,1.1917,0.29313,0.34847,0.36613,0.33984,0.1794,0.55748,0.88235,0.17773,0.0099406,0.0099406,0.0099406
5,579.667,0.4454,1.02333,0.28997,0.35926,0.42122,0.3466,0.21936,0.49066,0.83039,0.16293,0.0099208,0.0099208,0.0099208
6,695.984,0.45063,0.91987,0.28569,0.38877,0.454,0.39545,0.20251,0.64197,0.7208,0.20691,0.009901,0.009901,0.009901
7,811.845,0.4239,0.86262,0.29871,0.52356,0.41988,0.4663,0.2858,0.52661,0.82407,0.21408,0.0098812,0.0098812,0.0098812
8,928.03,0.45361,0.88236,0.31824,0.4086,0.48676,0.44165,0.24987,0.54286,0.74955,0.18631,0.0098614,0.0098614,0.0098614
9,1043.75,0.45691,0.81853,0.28788,0.49342,0.5066,0.50709,0.28266,0.50833,0.7389,0.17561,0.0098416,0.0098416,0.0098416
10,1159.95,0.48107,0.76686,0.30799,0.56681,0.51617,0.53445,0.34412,0.43778,0.74507,0.16528,0.0098218,0.0098218,0.0098218
11,1276.33,0.41505,0.78315,0.29347,0.65237,0.59681,0.64269,0.37225,0.46403,0.71612,0.15255,0.009802,0.009802,0.009802
12,1392.31,0.43539,0.81904,0.2963,0.60767,0.42719,0.51174,0.336,0.47473,0.69864,0.18367,0.0097822,0.0097822,0.0097822
13,1507.75,0.46234,0.78458,0.3136,0.57628,0.56557,0.58661,0.34408,0.47511,0.689,0.17476,0.0097624,0.0097624,0.0097624
14,1623.58,0.44794,0.81023,0.30971,0.39159,0.38588,0.3461,0.12267,0.85599,0.57988,0.21342,0.0097426,0.0097426,0.0097426
15,1739.36,0.49774,0.82404,0.30909,0.44497,0.4052,0.43425,0.195,0.64658,0.76202,0.20741,0.0097228,0.0097228,0.0097228
16,1855.65,0.48047,0.79227,0.30842,0.63229,0.40688,0.49768,0.21809,0.68995,0.62193,0.24265,0.009703,0.009703,0.009703
17,1971.41,0.43601,0.82365,0.31743,0.53655,0.43145,0.4577,0.19232,0.71319,0.61824,0.20166,0.0096832,0.0096832,0.0096832
18,2087,0.43988,0.78357,0.29288,0.56934,0.50799,0.55399,0.35251,0.45037,0.75962,0.16658,0.0096634,0.0096634,0.0096634
19,2202.43,0.47792,0.7512,0.31727,0.6441,0.49208,0.53909,0.3285,0.45866,0.67247,0.17215,0.0096436,0.0096436,0.0096436
20,2317.82,0.45393,0.75818,0.30145,0.56836,0.56102,0.57295,0.37616,0.44829,0.67866,0.16903,0.0096238,0.0096238,0.0096238
21,2433.29,0.44046,0.76586,0.29702,0.67494,0.55512,0.59864,0.39409,0.42139,0.64043,0.15104,0.009604,0.009604,0.009604
22,2549.03,0.42445,0.76826,0.29701,0.62651,0.5106,0.50572,0.32042,0.42815,0.75,0.15957,0.0095842,0.0095842,0.0095842
23,2664.68,0.48483,0.79225,0.29342,0.68528,0.54735,0.56525,0.33,0.45972,0.66065,0.15649,0.0095644,0.0095644,0.0095644
24,2780.18,0.51292,0.76244,0.29212,0.55664,0.40935,0.4358,0.17912,0.74677,0.61068,0.20888,0.0095446,0.0095446,0.0095446
25,2895.89,0.49349,0.71273,0.30359,0.619,0.60484,0.57878,0.32995,0.52054,0.63876,0.17216,0.0095248,0.0095248,0.0095248
26,3011.8,0.47265,0.77552,0.30339,0.67159,0.49071,0.53519,0.31637,0.48854,0.7101,0.16448,0.009505,0.009505,0.009505
27,3127.46,0.44914,0.76841,0.28763,0.68696,0.55272,0.57912,0.33382,0.52722,0.64364,0.1656,0.0094852,0.0094852,0.0094852
28,3243.05,0.4667,0.69759,0.28507,0.69464,0.63552,0.66288,0.36048,0.48483,0.64399,0.171,0.0094654,0.0094654,0.0094654
29,3359,0.47363,0.73144,0.28904,0.70769,0.59432,0.61374,0.25031,0.64049,0.59356,0.17066,0.0094456,0.0094456,0.0094456
30,3474.66,0.44031,0.74146,0.28007,0.62126,0.65481,0.63184,0.3869,0.42894,0.64129,0.1432,0.0094258,0.0094258,0.0094258
31,3590.35,0.43302,0.70434,0.28615,0.52682,0.49236,0.50966,0.30798,0.45355,0.76252,0.1434,0.009406,0.009406,0.009406
32,3705.61,0.43425,0.7334,0.28478,0.77051,0.51213,0.60955,0.31868,0.51644,0.65404,0.15984,0.0093862,0.0093862,0.0093862
33,3821.09,0.44109,0.72041,0.28312,0.72571,0.57045,0.61443,0.39419,0.38583,0.6294,0.13564,0.0093664,0.0093664,0.0093664
34,3937.64,0.42635,0.74816,0.27163,0.65451,0.55423,0.59587,0.26882,0.65183,0.58858,0.17939,0.0093466,0.0093466,0.0093466
35,4053.89,0.43435,0.74159,0.28354,0.7255,0.5805,0.62311,0.37872,0.43752,0.60407,0.16403,0.0093268,0.0093268,0.0093268
36,4169.89,0.45908,0.73218,0.27595,0.64521,0.53099,0.55464,0.24856,0.67321,0.573,0.20056,0.009307,0.009307,0.009307
37,4285.65,0.47157,0.6982,0.2888,0.63119,0.48192,0.52334,0.22056,0.7211,0.57977,0.19659,0.0092872,0.0092872,0.0092872
38,4401.36,0.44833,0.71803,0.26458,0.64835,0.56925,0.58104,0.35724,0.47288,0.6328,0.17417,0.0092674,0.0092674,0.0092674
39,4516.86,0.41766,0.7083,0.26314,0.74051,0.56446,0.64686,0.41273,0.4278,0.61495,0.14715,0.0092476,0.0092476,0.0092476
40,4632.42,0.45233,0.71212,0.26829,0.6817,0.60714,0.63148,0.34078,0.51184,0.63309,0.15277,0.0092278,0.0092278,0.0092278
41,4748.14,0.43917,0.6952,0.28157,0.64678,0.58371,0.59378,0.28325,0.57392,0.59998,0.16603,0.009208,0.009208,0.009208
