epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.512,1.0042,1.58773,1.36076,0.45083,0.76045,0.60523,0.41816,1.12645,3.73743,1.08868,0.0703125,0.00329861,0.00329861
2,42.7644,0.99249,1.19656,1.31938,0.82102,0.72423,0.82002,0.58162,1.06968,1.05478,0.99921,0.0402994,0.00661881,0.00661881
3,63.9938,1.07254,1.29259,1.35043,0.77662,0.77437,0.83951,0.56577,1.13603,1.34631,1.05828,0.010273,0.00992582,0.00992582
4,85.0867,1.15207,1.21175,1.38499,0.65494,0.7719,0.73612,0.47471,1.16926,1.3952,1.10479,0.0099406,0.0099406,0.0099406
5,106.25,1.19381,1.14734,1.42095,0.76538,0.73605,0.79819,0.536,1.14144,1.30749,1.17918,0.0099208,0.0099208,0.0099208
6,127.333,1.17231,1.04151,1.41362,0.8147,0.80223,0.87713,0.56966,1.20987,1.56612,1.15603,0.009901,0.009901,0.009901
7,148.431,1.12661,1.03441,1.40423,0.80699,0.79198,0.86118,0.55104,1.24695,1.01767,1.14256,0.0098812,0.0098812,0.0098812
8,169.525,1.08535,0.9665,1.36461,0.81527,0.79666,0.85168,0.56591,1.14864,1.03712,1.09757,0.0098614,0.0098614,0.0098614
9,190.613,1.11366,0.97109,1.37925,0.7928,0.82451,0.86395,0.58284,1.20305,0.9285,1.11766,0.0098416,0.0098416,0.0098416
10,211.811,1.08932,0.9546,1.36937,0.82149,0.83844,0.88085,0.58915,1.17669,1.021,1.12599,0.0098218,0.0098218,0.0098218
11,232.923,1.06983,0.88763,1.37176,0.81006,0.80784,0.85705,0.57311,1.19739,0.85045,1.14364,0.009802,0.009802,0.009802
12,254.025,1.05695,0.9019,1.35242,0.84698,0.84799,0.88194,0.59453,1.16305,0.8496,1.14013,0.0097822,0.0097822,0.0097822
13,275.188,1.0485,0.86904,1.34339,0.7975,0.82451,0.88731,0.60207,1.14893,0.82129,1.12832,0.0097624,0.0097624,0.0097624
14,296.379,1.01746,0.83334,1.31188,0.84988,0.8468,0.90765,0.62228,1.14536,0.83821,1.11264,0.0097426,0.0097426,0.0097426
15,317.507,1.0054,0.83601,1.30033,0.86297,0.84203,0.911,0.60692,1.12593,0.78876,1.14124,0.0097228,0.0097228,0.0097228
16,338.593,0.98847,0.79858,1.30619,0.84965,0.81853,0.9056,0.63044,1.16258,0.82628,1.14501,0.009703,0.009703,0.009703
17,359.773,0.98648,0.79165,1.29904,0.85165,0.84753,0.90765,0.60595,1.18106,0.79076,1.15546,0.0096832,0.0096832,0.0096832
18,380.859,0.98078,0.78162,1.2969,0.8818,0.86072,0.9194,0.62516,1.14424,0.7502,1.13981,0.0096634,0.0096634,0.0096634
19,401.952,0.96195,0.77412,1.28973,0.8373,0.87744,0.90008,0.6014,1.18502,0.75293,1.19129,0.0096436,0.0096436,0.0096436
20,423.037,0.95052,0.77353,1.30666,0.8484,0.82173,0.89763,0.61992,1.15977,0.78624,1.14763,0.0096238,0.0096238,0.0096238
21,444.147,0.94889,0.78062,1.2725,0.86147,0.79387,0.88469,0.60729,1.14564,0.73904,1.14096,0.009604,0.009604,0.009604
22,465.239,0.95458,0.76079,1.25936,0.83836,0.8468,0.9064,0.63247,1.12293,0.71995,1.1383,0.0095842,0.0095842,0.0095842
23,486.435,0.93313,0.76131,1.25911,0.92183,0.82123,0.91677,0.63818,1.12404,0.71907,1.13703,0.0095644,0.0095644,0.0095644
24,507.566,0.94443,0.73693,1.26978,0.89572,0.86131,0.90806,0.61285,1.14477,0.73022,1.14135,0.0095446,0.0095446,0.0095446
25,528.667,0.96148,0.74918,1.28213,0.85624,0.89415,0.91643,0.63082,1.11458,0.71121,1.13181,0.0095248,0.0095248,0.0095248
26,549.755,0.891,0.7104,1.24268,0.85197,0.84967,0.90476,0.62041,1.14516,0.7544,1.1674,0.009505,0.009505,0.009505
27,570.844,0.92059,0.73379,1.26227,0.86006,0.82174,0.89932,0.62687,1.10211,0.77114,1.12724,0.0094852,0.0094852,0.0094852
28,591.928,0.87739,0.70516,1.2315,0.85883,0.86426,0.89277,0.62556,1.1309,0.75484,1.14215,0.0094654,0.0094654,0.0094654
29,613.038,0.91618,0.72624,1.26046,0.84209,0.86154,0.89143,0.6261,1.10811,0.7563,1.12668,0.0094456,0.0094456,0.0094456
30,634.116,0.92125,0.73363,1.26469,0.88291,0.83565,0.89897,0.61514,1.12418,0.75385,1.13254,0.0094258,0.0094258,0.0094258
31,655.217,0.889,0.70169,1.23483,0.86241,0.8468,0.90478,0.62815,1.13712,0.73927,1.15287,0.009406,0.009406,0.009406
32,676.318,0.89877,0.70332,1.23915,0.88648,0.8273,0.92925,0.64945,1.13559,0.69305,1.1389,0.0093862,0.0093862,0.0093862
33,697.476,0.86896,0.68562,1.21939,0.87717,0.85535,0.9256,0.65169,1.11904,0.70021,1.13262,0.0093664,0.0093664,0.0093664
34,718.585,0.87637,0.70748,1.2396,0.89409,0.85515,0.92068,0.65083,1.14072,0.67852,1.15437,0.0093466,0.0093466,0.0093466
35,739.673,0.87141,0.67908,1.23331,0.87002,0.87744,0.92495,0.65365,1.11866,0.68511,1.14532,0.0093268,0.0093268,0.0093268
36,760.759,0.85691,0.65029,1.2226,0.86908,0.88301,0.92583,0.6409,1.14369,0.66519,1.14439,0.009307,0.009307,0.009307
37,781.856,0.84294,0.66215,1.21878,0.88903,0.84797,0.91504,0.6462,1.10776,0.70017,1.12753,0.0092872,0.0092872,0.0092872
38,802.947,0.86523,0.65505,1.22986,0.88663,0.84959,0.91717,0.64603,1.10445,0.69082,1.14762,0.0092674,0.0092674,0.0092674
39,824.055,0.84213,0.6502,1.21633,0.86972,0.85237,0.91706,0.65183,1.08658,0.69763,1.13372,0.0092476,0.0092476,0.0092476
40,845.148,0.84111,0.6411,1.21748,0.89035,0.88858,0.93048,0.65068,1.08991,0.67328,1.12548,0.0092278,0.0092278,0.0092278
41,866.247,0.83753,0.64594,1.19774,0.86822,0.84418,0.92103,0.65503,1.1372,0.7181,1.14079,0.009208,0.009208,0.009208
42,887.337,0.83864,0.65649,1.19778,0.88253,0.8273,0.90498,0.63008,1.09284,0.73075,1.14469,0.0091882,0.0091882,0.0091882
43,908.415,0.83376,0.66,1.21778,0.87187,0.83565,0.91617,0.64679,1.14013,0.6889,1.1585,0.0091684,0.0091684,0.0091684
44,929.531,0.818,0.63757,1.19085,0.86144,0.86588,0.91261,0.63304,1.14975,0.713,1.17069,0.0091486,0.0091486,0.0091486
45,950.616,0.81621,0.63059,1.19622,0.88749,0.85515,0.92109,0.65151,1.14019,0.69041,1.14964,0.0091288,0.0091288,0.0091288
46,971.702,0.81365,0.64038,1.19351,0.91165,0.87187,0.94106,0.66047,1.11118,0.63861,1.12566,0.009109,0.009109,0.009109
47,992.798,0.82521,0.64694,1.1755,0.87412,0.87039,0.92727,0.64647,1.09632,0.65757,1.13489,0.0090892,0.0090892,0.0090892
48,1013.89,0.80732,0.63091,1.18634,0.87503,0.89715,0.93362,0.65912,1.11449,0.65571,1.14956,0.0090694,0.0090694,0.0090694
49,1034.98,0.81461,0.63364,1.19161,0.86499,0.87448,0.91538,0.63932,1.12231,0.66347,1.12773,0.0090496,0.0090496,0.0090496
50,1056.07,0.80893,0.61969,1.1919,0.89057,0.83875,0.91361,0.64328,1.12954,0.698,1.13738,0.0090298,0.0090298,0.0090298
51,1077.17,0.81685,0.6345,1.19283,0.921,0.83565,0.92373,0.65899,1.08291,0.63356,1.11108,0.00901,0.00901,0.00901
52,1098.29,0.808,0.60348,1.1821,0.8714,0.8663,0.92125,0.65809,1.08972,0.65205,1.11037,0.0089902,0.0089902,0.0089902
53,1119.37,0.78729,0.60881,1.16271,0.89127,0.86768,0.9258,0.66312,1.083,0.65487,1.12318,0.0089704,0.0089704,0.0089704
54,1140.46,0.78001,0.62324,1.17444,0.87804,0.88579,0.92063,0.65615,1.06682,0.66782,1.10869,0.0089506,0.0089506,0.0089506
55,1161.56,0.77023,0.60324,1.16277,0.89292,0.85794,0.91783,0.65523,1.09418,0.66687,1.11001,0.0089308,0.0089308,0.0089308
56,1182.65,0.77852,0.59402,1.15482,0.88487,0.85636,0.9173,0.66433,1.08409,0.68517,1.12427,0.008911,0.008911,0.008911
57,1203.74,0.76717,0.57799,1.16454,0.88669,0.84123,0.91347,0.66416,1.10144,0.69719,1.1348,0.0088912,0.0088912,0.0088912
58,1224.77,0.73471,0.56812,1.1446,0.89019,0.84123,0.9193,0.66195,1.12664,0.68457,1.1438,0.0088714,0.0088714,0.0088714
59,1245.87,0.74235,0.57366,1.14869,0.90166,0.84401,0.92821,0.65376,1.12949,0.6328,1.14756,0.0088516,0.0088516,0.0088516
60,1266.96,0.76322,0.59902,1.14915,0.93931,0.83008,0.92415,0.65207,1.11987,0.63185,1.14687,0.0088318,0.0088318,0.0088318
61,1288.06,0.74871,0.56421,1.14756,0.88344,0.83844,0.91826,0.65657,1.14686,0.6775,1.15296,0.008812,0.008812,0.008812
62,1309.14,0.75435,0.55738,1.15449,0.88006,0.88858,0.91995,0.64244,1.12733,0.65175,1.15694,0.0087922,0.0087922,0.0087922
63,1330.24,0.75284,0.55959,1.13441,0.88271,0.87744,0.93003,0.6692,1.13355,0.61819,1.15285,0.0087724,0.0087724,0.0087724
64,1351.4,0.74328,0.56559,1.14446,0.88144,0.86072,0.9285,0.66978,1.09805,0.63069,1.13559,0.0087526,0.0087526,0.0087526
65,1372.5,0.77206,0.59601,1.1698,0.90135,0.85515,0.9244,0.66088,1.12398,0.6517,1.16294,0.0087328,0.0087328,0.0087328
66,1393.59,0.7462,0.5671,1.14553,0.86813,0.89851,0.92632,0.65426,1.13292,0.64475,1.1715,0.008713,0.008713,0.008713
67,1414.7,0.73909,0.56305,1.14004,0.86398,0.85515,0.91546,0.65028,1.13385,0.67774,1.15544,0.0086932,0.0086932,0.0086932
68,1435.8,0.75395,0.55798,1.14549,0.85551,0.86908,0.92204,0.64637,1.15472,0.64711,1.17821,0.0086734,0.0086734,0.0086734
