epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1398,1.30255,1.83897,1.55827,0.40559,0.71588,0.60753,0.34821,1.49097,7.04149,1.7008,0.000659722,0.000659722,0.000659722
2,42.1552,1.4947,1.71375,1.69402,0.57724,0.58192,0.54203,0.30487,1.60016,3.06719,1.76172,0.00132376,0.00132376,0.00132376
3,62.9477,1.53932,1.56961,1.67976,0.66247,0.69638,0.71637,0.39776,1.47375,3.47952,1.56235,0.00198516,0.00198516,0.00198516
4,83.8263,1.47615,1.41668,1.6563,0.70751,0.69081,0.72156,0.42989,1.32877,2.76639,1.35827,0.00198812,0.00198812,0.00198812
5,104.88,1.3815,1.32214,1.57713,0.77083,0.73081,0.81798,0.5145,1.27826,1.33113,1.26301,0.00198416,0.00198416,0.00198416
6,126.191,1.30963,1.21403,1.53128,0.66109,0.69081,0.70721,0.43123,1.29888,1.30274,1.26745,0.0019802,0.0019802,0.0019802
7,147.385,1.25152,1.15946,1.50915,0.77654,0.74095,0.80361,0.49734,1.29825,1.10835,1.27164,0.00197624,0.00197624,0.00197624
8,168.61,1.23177,1.13731,1.47821,0.76077,0.67967,0.77077,0.49264,1.32658,1.14612,1.29938,0.00197228,0.00197228,0.00197228
9,189.772,1.26279,1.14398,1.49475,0.77688,0.74683,0.83561,0.54688,1.22489,1.0598,1.22783,0.00196832,0.00196832,0.00196832
10,211.013,1.21515,1.08985,1.46976,0.8744,0.77566,0.87541,0.55484,1.26509,0.9475,1.24249,0.00196436,0.00196436,0.00196436
11,232.313,1.15324,1.03502,1.44644,0.77442,0.77716,0.79477,0.51543,1.24203,0.96383,1.25016,0.0019604,0.0019604,0.0019604
12,253.477,1.15274,1.03094,1.41872,0.81186,0.81894,0.8688,0.55929,1.23163,0.9146,1.21459,0.00195644,0.00195644,0.00195644
13,274.782,1.12783,1.02301,1.41841,0.84104,0.82532,0.86685,0.56595,1.18396,0.85293,1.21392,0.00195248,0.00195248,0.00195248
14,296.084,1.08869,0.94807,1.36529,0.8332,0.80704,0.88944,0.58294,1.19183,0.86993,1.21492,0.00194852,0.00194852,0.00194852
15,317.379,1.0556,0.91358,1.34394,0.86099,0.79387,0.88362,0.58637,1.17497,0.84372,1.24002,0.00194456,0.00194456,0.00194456
16,338.667,1.02427,0.89924,1.34718,0.84824,0.82515,0.89953,0.61521,1.18084,0.796,1.19927,0.0019406,0.0019406,0.0019406
17,359.895,1.02797,0.8789,1.3423,0.82567,0.80501,0.87528,0.58827,1.19083,0.85545,1.20317,0.00193664,0.00193664,0.00193664
18,381.06,1.05361,0.87865,1.3542,0.79435,0.8468,0.88235,0.6041,1.14331,0.81989,1.17805,0.00193268,0.00193268,0.00193268
19,402.267,1.02657,0.87056,1.33348,0.79387,0.80458,0.8592,0.56249,1.21876,0.90098,1.25775,0.00192872,0.00192872,0.00192872
20,423.464,1.02029,0.87157,1.34761,0.87345,0.80501,0.88447,0.57437,1.20307,0.90212,1.28843,0.00192476,0.00192476,0.00192476
21,444.682,0.98248,0.82554,1.30496,0.8567,0.80501,0.88248,0.59415,1.15496,0.79847,1.2076,0.0019208,0.0019208,0.0019208
22,465.857,0.97123,0.82029,1.29759,0.84791,0.83287,0.88306,0.60427,1.13112,0.77869,1.18609,0.00191684,0.00191684,0.00191684
23,487.09,0.97714,0.79596,1.29831,0.86666,0.80223,0.89884,0.60093,1.15008,0.91155,1.22855,0.00191288,0.00191288,0.00191288
24,508.246,0.98084,0.79925,1.29895,0.87639,0.79944,0.8976,0.61403,1.14007,0.7438,1.23522,0.00190892,0.00190892,0.00190892
25,529.482,1.00302,0.82116,1.33297,0.86552,0.80675,0.91144,0.63543,1.13929,0.73619,1.17673,0.00190496,0.00190496,0.00190496
26,550.773,0.96519,0.78388,1.30011,0.82589,0.88526,0.90655,0.63007,1.09977,0.74219,1.16533,0.001901,0.001901,0.001901
27,571.925,0.95451,0.7592,1.27944,0.86053,0.82497,0.89386,0.61598,1.11989,0.76974,1.177,0.00189704,0.00189704,0.00189704
28,593.147,0.94348,0.77311,1.27223,0.84908,0.8306,0.90908,0.61911,1.1563,0.77631,1.21529,0.00189308,0.00189308,0.00189308
29,614.335,0.95277,0.75442,1.29378,0.88476,0.81267,0.89504,0.62065,1.12587,0.78038,1.17155,0.00188912,0.00188912,0.00188912
30,635.571,0.95634,0.76225,1.29198,0.86131,0.81305,0.88505,0.60491,1.16496,0.7516,1.1912,0.00188516,0.00188516,0.00188516
31,656.85,0.94325,0.77569,1.27856,0.88199,0.84958,0.91229,0.6271,1.13234,0.74625,1.18403,0.0018812,0.0018812,0.0018812
32,678.014,0.94561,0.73353,1.26971,0.86982,0.86351,0.92171,0.6437,1.11261,0.7214,1.15479,0.00187724,0.00187724,0.00187724
33,699.243,0.91687,0.71901,1.24091,0.83158,0.83899,0.89324,0.61794,1.13008,0.74708,1.21913,0.00187328,0.00187328,0.00187328
34,720.418,0.90987,0.73559,1.26312,0.86949,0.83512,0.90756,0.63476,1.12988,0.74308,1.21257,0.00186932,0.00186932,0.00186932
35,741.615,0.90118,0.73172,1.24742,0.89026,0.83844,0.91292,0.64413,1.10631,0.71909,1.17617,0.00186536,0.00186536,0.00186536
36,762.807,0.896,0.70718,1.24081,0.84597,0.85675,0.89859,0.61895,1.12181,0.70043,1.17058,0.0018614,0.0018614,0.0018614
37,784.003,0.87094,0.71416,1.24355,0.8827,0.81337,0.89728,0.63021,1.09544,0.72057,1.16827,0.00185744,0.00185744,0.00185744
38,805.194,0.89509,0.70241,1.26013,0.86311,0.82544,0.90952,0.63186,1.11525,0.75011,1.18401,0.00185348,0.00185348,0.00185348
39,826.442,0.90449,0.70222,1.25213,0.84853,0.85515,0.89413,0.61665,1.16442,0.73511,1.22878,0.00184952,0.00184952,0.00184952
40,847.699,0.8755,0.68443,1.24347,0.81801,0.87744,0.91396,0.62888,1.10296,0.72526,1.17625,0.00184556,0.00184556,0.00184556
41,868.891,0.87446,0.69717,1.22361,0.85735,0.87187,0.91989,0.63871,1.1395,0.71081,1.19601,0.0018416,0.0018416,0.0018416
42,890.123,0.86597,0.69689,1.22729,0.88009,0.83822,0.92037,0.64819,1.11885,0.68566,1.17301,0.00183764,0.00183764,0.00183764
43,911.401,0.87526,0.70399,1.25165,0.87419,0.81295,0.91305,0.63498,1.15999,0.70905,1.21403,0.00183368,0.00183368,0.00183368
44,932.576,0.8719,0.68501,1.24008,0.87897,0.84401,0.90921,0.63,1.12863,0.71583,1.19859,0.00182972,0.00182972,0.00182972
45,953.82,0.86429,0.67567,1.22766,0.86065,0.85794,0.91909,0.62085,1.14733,0.70111,1.19642,0.00182576,0.00182576,0.00182576
46,974.982,0.84069,0.67781,1.21533,0.85902,0.8486,0.9126,0.6435,1.11235,0.69133,1.17167,0.0018218,0.0018218,0.0018218
47,996.212,0.84597,0.66696,1.19597,0.84469,0.85237,0.90338,0.62712,1.13239,0.71062,1.18209,0.00181784,0.00181784,0.00181784
48,1017.38,0.82901,0.65295,1.20879,0.86727,0.85544,0.9117,0.63717,1.12151,0.67067,1.20813,0.00181388,0.00181388,0.00181388
49,1038.6,0.83169,0.65375,1.21639,0.87963,0.85794,0.89873,0.62862,1.14036,0.69407,1.20397,0.00180992,0.00180992,0.00180992
50,1059.77,0.83046,0.65952,1.20671,0.87918,0.85136,0.91578,0.64093,1.15467,0.72006,1.23175,0.00180596,0.00180596,0.00180596
51,1081,0.84476,0.66648,1.21518,0.87335,0.84516,0.92122,0.6498,1.08222,0.66348,1.17745,0.001802,0.001802,0.001802
52,1102.29,0.81224,0.63948,1.18634,0.88586,0.8468,0.90489,0.64045,1.1085,0.68439,1.18816,0.00179804,0.00179804,0.00179804
53,1123.46,0.81128,0.61343,1.19006,0.87582,0.84123,0.90904,0.65199,1.08853,0.67328,1.16414,0.00179408,0.00179408,0.00179408
54,1144.76,0.80852,0.63424,1.19708,0.89067,0.82451,0.89428,0.62806,1.11909,0.70449,1.20047,0.00179012,0.00179012,0.00179012
55,1165.99,0.80262,0.61463,1.18431,0.85759,0.85794,0.90862,0.638,1.10138,0.68253,1.17209,0.00178616,0.00178616,0.00178616
56,1187.26,0.79921,0.6184,1.17841,0.86913,0.8663,0.91668,0.64586,1.1144,0.70131,1.20609,0.0017822,0.0017822,0.0017822
57,1208.46,0.79022,0.59967,1.18591,0.89024,0.8273,0.91617,0.64809,1.11185,0.70242,1.20313,0.00177824,0.00177824,0.00177824
58,1229.69,0.76432,0.60108,1.16636,0.8817,0.86072,0.91732,0.64204,1.14871,0.6798,1.19603,0.00177428,0.00177428,0.00177428
59,1250.98,0.77432,0.604,1.16556,0.8642,0.85084,0.91716,0.64563,1.13583,0.72868,1.19271,0.00177032,0.00177032,0.00177032
60,1272.14,0.80577,0.63161,1.18336,0.87828,0.83844,0.90936,0.63205,1.10445,0.71334,1.19771,0.00176636,0.00176636,0.00176636
61,1293.36,0.77769,0.60072,1.17875,0.87531,0.84081,0.91524,0.65544,1.11158,0.69573,1.19494,0.0017624,0.0017624,0.0017624
62,1314.65,0.78206,0.61198,1.1813,0.85196,0.84958,0.90641,0.63597,1.111,0.67348,1.19601,0.00175844,0.00175844,0.00175844
63,1335.83,0.78409,0.59381,1.15676,0.89058,0.83882,0.9159,0.65234,1.12695,0.68385,1.21856,0.00175448,0.00175448,0.00175448
64,1357.07,0.79082,0.60331,1.18478,0.83473,0.87225,0.91322,0.65066,1.10482,0.71368,1.17916,0.00175052,0.00175052,0.00175052
65,1378.33,0.79837,0.62281,1.18959,0.86585,0.8663,0.92187,0.63549,1.1356,0.67941,1.21888,0.00174656,0.00174656,0.00174656
66,1399.52,0.7808,0.60931,1.17233,0.83734,0.86038,0.90756,0.63919,1.10874,0.68476,1.1827,0.0017426,0.0017426,0.0017426
67,1420.77,0.77064,0.58069,1.16932,0.86686,0.85515,0.90113,0.63934,1.12503,0.69232,1.18497,0.00173864,0.00173864,0.00173864
68,1441.92,0.78424,0.59907,1.17615,0.89866,0.84123,0.92209,0.6467,1.10367,0.64213,1.19086,0.00173468,0.00173468,0.00173468
