epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3047,1.21558,2.29988,1.44936,0.55901,0.34794,0.39974,0.25005,1.3696,1.94884,1.18522,0.000368394,0.000368394,0.000368394
2,37.429,1.48661,2.12318,1.6636,0.34456,0.359,0.26312,0.16496,1.53197,3.62734,1.33166,0.000737265,0.000737265,0.000737265
3,55.4642,1.55483,2.25414,1.67728,0.51951,0.42237,0.348,0.20219,1.50386,3.15348,1.35555,0.00110467,0.00110467,0.00110467
4,73.6008,1.58291,2.18117,1.69551,0.19435,0.24127,0.21027,0.13548,1.52705,2.34467,1.43736,0.0011044,0.0011044,0.0011044
5,91.5706,1.49669,2.03033,1.63728,0.43763,0.33535,0.28178,0.16169,1.53554,1.95654,1.38663,0.0011022,0.0011022,0.0011022
6,109.82,1.49431,2.01005,1.63259,0.39121,0.2914,0.34566,0.2081,1.48205,1.96079,1.33544,0.0011,0.0011,0.0011
7,127.869,1.39651,1.78167,1.57222,0.60824,0.32467,0.34683,0.22116,1.44223,1.66264,1.30651,0.0010978,0.0010978,0.0010978
8,145.816,1.36278,1.71619,1.53569,0.43294,0.36856,0.39028,0.23855,1.39847,1.58075,1.32737,0.0010956,0.0010956,0.0010956
9,163.843,1.33851,1.66428,1.51038,0.33142,0.303,0.31859,0.19382,1.57531,2.06946,1.43502,0.0010934,0.0010934,0.0010934
10,182.084,1.32592,1.62944,1.51735,0.52115,0.41111,0.45088,0.26989,1.34675,1.53835,1.2809,0.0010912,0.0010912,0.0010912
11,200.701,1.277,1.53693,1.4828,0.64538,0.33486,0.34119,0.20875,1.65325,1.85468,1.50764,0.001089,0.001089,0.001089
12,219.285,1.2697,1.55892,1.49784,0.41185,0.39456,0.34797,0.21501,1.38619,1.64121,1.32691,0.0010868,0.0010868,0.0010868
13,237.804,1.24071,1.48542,1.46043,0.52129,0.45656,0.46638,0.29499,1.36243,1.36993,1.29329,0.0010846,0.0010846,0.0010846
14,256.548,1.21336,1.43162,1.43554,0.40923,0.41015,0.41973,0.27958,1.31959,1.37049,1.26106,0.0010824,0.0010824,0.0010824
15,275.147,1.20299,1.44027,1.42178,0.61131,0.43343,0.49388,0.30713,1.26082,1.24887,1.20609,0.0010802,0.0010802,0.0010802
16,293.751,1.20041,1.41665,1.42215,0.67712,0.46811,0.54758,0.33916,1.31416,1.15989,1.24352,0.001078,0.001078,0.001078
17,312.388,1.15454,1.33018,1.39751,0.65433,0.51484,0.59156,0.37601,1.22667,1.06408,1.19971,0.0010758,0.0010758,0.0010758
18,330.949,1.15838,1.33531,1.41389,0.53727,0.46966,0.55153,0.35513,1.31565,1.19109,1.25457,0.0010736,0.0010736,0.0010736
19,349.308,1.13039,1.35319,1.38569,0.80504,0.35157,0.41816,0.2613,1.37136,1.35749,1.2951,0.0010714,0.0010714,0.0010714
20,367.977,1.14755,1.27204,1.39103,0.5382,0.56421,0.57907,0.36339,1.25229,1.10205,1.2207,0.0010692,0.0010692,0.0010692
21,386.436,1.11874,1.27616,1.37149,0.638,0.54865,0.56644,0.35091,1.22874,1.0808,1.18473,0.001067,0.001067,0.001067
22,404.925,1.12022,1.2112,1.35303,0.63201,0.55328,0.60461,0.38077,1.2711,1.07886,1.21332,0.0010648,0.0010648,0.0010648
23,423.262,1.11924,1.31359,1.37842,0.67186,0.55934,0.62091,0.40058,1.26397,1.09577,1.20121,0.0010626,0.0010626,0.0010626
24,441.793,1.06354,1.18726,1.33562,0.69302,0.45999,0.54663,0.35694,1.21929,1.15499,1.19385,0.00106041,0.00106041,0.00106041
25,460.277,1.09072,1.17503,1.33329,0.63505,0.49773,0.57256,0.35456,1.29414,1.06608,1.22278,0.00105821,0.00105821,0.00105821
26,478.793,1.05889,1.18295,1.34456,0.51114,0.55292,0.56023,0.36747,1.20607,1.06799,1.18416,0.00105601,0.00105601,0.00105601
27,497.312,1.08573,1.15101,1.34811,0.58017,0.46765,0.55534,0.34697,1.23645,1.14097,1.20338,0.00105381,0.00105381,0.00105381
28,515.667,1.10299,1.21756,1.33855,0.53827,0.65243,0.67376,0.42954,1.20314,0.99568,1.1878,0.00105161,0.00105161,0.00105161
29,534.115,1.09057,1.18149,1.3684,0.68661,0.59427,0.65965,0.3965,1.20376,1.0021,1.18978,0.00104941,0.00104941,0.00104941
30,552.531,1.08131,1.17182,1.3508,0.52392,0.61297,0.58736,0.37856,1.22653,1.04596,1.19559,0.00104721,0.00104721,0.00104721
31,570.957,1.05822,1.16258,1.32078,0.46952,0.57807,0.58433,0.37916,1.21897,1.01947,1.18226,0.00104501,0.00104501,0.00104501
32,589.372,0.9944,1.05113,1.26217,0.56155,0.63949,0.63656,0.42339,1.19227,0.93626,1.16146,0.00104281,0.00104281,0.00104281
33,607.669,1.05329,1.13625,1.3175,0.51665,0.50945,0.46114,0.30647,1.20307,1.43864,1.20217,0.00104061,0.00104061,0.00104061
34,625.99,1.04243,1.11568,1.32243,0.58516,0.71139,0.70912,0.45594,1.12753,0.94782,1.14166,0.00103841,0.00103841,0.00103841
35,644.387,1.01202,1.06854,1.29199,0.6023,0.59185,0.60274,0.39627,1.16643,0.98624,1.14989,0.00103621,0.00103621,0.00103621
36,662.686,1.01283,1.03691,1.29052,0.57144,0.62113,0.64454,0.40769,1.18553,0.98446,1.15856,0.00103401,0.00103401,0.00103401
37,681.188,1.00005,1.02728,1.28663,0.60395,0.64317,0.64054,0.41911,1.18019,1.00227,1.16958,0.00103181,0.00103181,0.00103181
38,699.578,1.01215,1.05328,1.29932,0.68547,0.5042,0.60888,0.40762,1.19094,0.99543,1.16404,0.00102961,0.00102961,0.00102961
39,718.075,1.01171,1.00795,1.27886,0.57041,0.63572,0.62537,0.39351,1.19234,0.99442,1.16613,0.00102741,0.00102741,0.00102741
40,736.598,1.00776,1.06399,1.3044,0.60302,0.60658,0.6013,0.37902,1.1915,1.02174,1.16851,0.00102521,0.00102521,0.00102521
41,754.992,0.98175,1.01987,1.28193,0.66075,0.6859,0.73115,0.47301,1.15652,0.85537,1.15382,0.00102301,0.00102301,0.00102301
42,773.705,1.00022,1.03249,1.29054,0.5914,0.63359,0.59341,0.38537,1.17946,0.98192,1.1598,0.00102081,0.00102081,0.00102081
43,792.143,0.98173,0.99413,1.26965,0.7264,0.73812,0.7384,0.48073,1.14268,0.86793,1.15423,0.00101861,0.00101861,0.00101861
44,810.62,0.99614,1.02088,1.28808,0.59659,0.63098,0.67473,0.4335,1.16631,0.88157,1.16768,0.00101641,0.00101641,0.00101641
45,829.028,0.97857,1.01058,1.26577,0.83341,0.47614,0.60968,0.40584,1.21995,1.02251,1.18797,0.00101421,0.00101421,0.00101421
46,847.541,1.01573,1.02878,1.29905,0.60159,0.75516,0.72517,0.49029,1.18056,0.85309,1.1699,0.00101201,0.00101201,0.00101201
47,866.367,0.98223,1.00374,1.25339,0.62628,0.67892,0.70035,0.45828,1.18833,0.9432,1.16095,0.00100981,0.00100981,0.00100981
48,884.994,0.90726,0.90901,1.21031,0.77134,0.64211,0.73374,0.50065,1.14731,0.95459,1.13912,0.00100761,0.00100761,0.00100761
49,903.71,0.96308,0.93424,1.24858,0.75548,0.71848,0.76218,0.49871,1.10592,0.79931,1.12628,0.00100541,0.00100541,0.00100541
50,922.378,0.96848,0.95243,1.26235,0.63693,0.65978,0.67801,0.44069,1.13663,0.91161,1.16736,0.00100321,0.00100321,0.00100321
