epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5334,1.87954,2.48054,2.20146,0.24076,0.28969,0.18896,0.08028,2.38293,5.71707,3.08863,0.0676275,0.000830065,0.000830065
2,122.854,2.03711,2.49026,2.34866,0.02353,0.10306,0.00807,0.00293,3.21379,6.28403,4.44643,0.0351242,0.00166011,0.00166011
3,183.699,1.94542,2.53821,2.29753,0.34344,0.42618,0.31174,0.14954,2.11567,3.00993,2.07484,0.00261756,0.00248684,0.00248684
4,244.521,1.81103,2.315,2.10864,0.15408,0.18942,0.11512,0.05275,2.641,5.40921,2.73855,0.00248515,0.00248515,0.00248515
5,305.108,1.81435,2.24864,2.08708,0.45344,0.19413,0.22806,0.11895,2.10839,3.46986,2.18686,0.0024802,0.0024802,0.0024802
6,365.743,1.81122,2.21252,2.07304,0.46232,0.38162,0.3889,0.21339,1.74633,2.21811,1.68053,0.00247525,0.00247525,0.00247525
7,426.495,1.69564,2.05457,2.02015,0.2086,0.40111,0.20311,0.09742,1.80344,3.0983,1.83011,0.0024703,0.0024703,0.0024703
8,487.172,1.70242,2.1075,2.00105,0.53277,0.49304,0.48932,0.28996,1.61375,1.87354,1.61006,0.00246535,0.00246535,0.00246535
9,547.98,1.65926,1.98433,1.93706,0.62635,0.49025,0.52053,0.31266,1.53118,1.76397,1.5881,0.0024604,0.0024604,0.0024604
10,608.793,1.59017,1.8992,1.89916,0.45266,0.33148,0.32488,0.18976,1.69777,2.21177,1.62339,0.00245545,0.00245545,0.00245545
11,669.481,1.56042,1.88436,1.83919,0.51608,0.53203,0.49169,0.29553,1.63332,1.80447,1.59076,0.0024505,0.0024505,0.0024505
12,730.186,1.55887,1.88264,1.86784,0.6875,0.04457,0.06068,0.04085,2.20762,4.08545,2.56798,0.00244555,0.00244555,0.00244555
13,790.888,1.56219,1.89224,1.87024,0.58387,0.56546,0.56197,0.35382,1.48893,1.65219,1.48164,0.0024406,0.0024406,0.0024406
14,851.702,1.49164,1.79639,1.79757,0.51943,0.45125,0.4538,0.26898,1.62533,2.01361,1.68734,0.00243565,0.00243565,0.00243565
15,912.38,1.50952,1.77709,1.81695,0.48697,0.52352,0.49187,0.29816,1.53197,1.75889,1.53401,0.0024307,0.0024307,0.0024307
16,972.99,1.53643,1.76847,1.8086,0.66445,0.57939,0.63057,0.3996,1.51694,1.61121,1.51218,0.00242575,0.00242575,0.00242575
