epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1021,1.03053,1.62082,1.31075,0.6474,0.62674,0.63023,0.42071,1.17513,1.40339,1.10308,0.0701571,0.00331588,0.00331588
2,37.0232,1.01415,1.18313,1.24989,0.47249,0.45125,0.45423,0.30691,1.30889,2.60234,1.14862,0.0401439,0.00663605,0.00663605
3,54.8773,1.15313,1.66671,1.30245,0.65208,0.55338,0.59191,0.38461,1.39132,1.71947,1.08087,0.0101175,0.00994302,0.00994302
4,72.6685,1.24434,1.52606,1.36882,0.46357,0.51811,0.49998,0.29461,1.35065,2.03839,1.21845,0.0099406,0.0099406,0.0099406
5,90.6608,1.27092,1.37581,1.3979,0.59157,0.29248,0.36201,0.23032,1.66396,2.37838,1.3938,0.0099208,0.0099208,0.0099208
6,108.713,1.30831,1.37547,1.4202,0.67991,0.59889,0.68778,0.4246,1.45129,1.55944,1.1921,0.009901,0.009901,0.009901
7,126.869,1.24033,1.27405,1.39303,0.66603,0.58496,0.65027,0.40697,1.47802,1.41633,1.20354,0.0098812,0.0098812,0.0098812
8,145.297,1.25389,1.24649,1.38423,0.09125,0.06407,0.02928,0.01396,3.11287,4.60911,2.45746,0.0098614,0.0098614,0.0098614
9,163.539,1.27195,1.24134,1.39455,0.45696,0.34819,0.34666,0.23347,1.51836,2.40224,1.32861,0.0098416,0.0098416,0.0098416
10,181.754,1.24592,1.26927,1.36273,0.57548,0.62683,0.6098,0.39109,1.35013,1.39269,1.20912,0.0098218,0.0098218,0.0098218
11,199.987,1.20326,1.20831,1.36086,0.64537,0.54318,0.5986,0.3792,1.40466,1.56965,1.24775,0.009802,0.009802,0.009802
12,218.289,1.2074,1.18729,1.37653,0.55663,0.67688,0.64774,0.39985,1.36961,1.3647,1.23768,0.0097822,0.0097822,0.0097822
13,236.616,1.21341,1.16726,1.36592,0.6955,0.6426,0.71006,0.45735,1.37324,1.18426,1.20771,0.0097624,0.0097624,0.0097624
14,255.126,1.20043,1.1316,1.36112,0.77948,0.56123,0.72327,0.46272,1.32754,1.24769,1.19236,0.0097426,0.0097426,0.0097426
15,273.377,1.20056,1.12815,1.3569,0.80702,0.62902,0.75914,0.50082,1.31236,1.11241,1.16638,0.0097228,0.0097228,0.0097228
16,291.592,1.17611,1.14253,1.36587,0.81341,0.63231,0.76025,0.49334,1.33679,1.10601,1.19697,0.009703,0.009703,0.009703
17,309.782,1.1593,1.11946,1.3449,0.77955,0.62953,0.74462,0.46904,1.39193,1.13207,1.2078,0.0096832,0.0096832,0.0096832
18,327.985,1.13596,1.08061,1.32635,0.70255,0.66574,0.70851,0.47477,1.29158,1.16964,1.1691,0.0096634,0.0096634,0.0096634
19,346.129,1.14288,1.10091,1.31694,0.80136,0.70796,0.80302,0.52742,1.24117,1.03674,1.15729,0.0096436,0.0096436,0.0096436
20,364.538,1.12424,1.00293,1.32269,0.72387,0.5376,0.61542,0.37805,1.49599,1.49981,1.31544,0.0096238,0.0096238,0.0096238
21,382.895,1.12782,1.05548,1.32164,0.79808,0.75487,0.81607,0.5417,1.22849,0.99523,1.1387,0.009604,0.009604,0.009604
22,401.186,1.12345,0.9995,1.30594,0.78573,0.62953,0.74698,0.45344,1.36423,1.19517,1.20093,0.0095842,0.0095842,0.0095842
23,419.287,1.11546,1.05611,1.32222,0.7529,0.58496,0.70122,0.46502,1.31148,1.28016,1.20975,0.0095644,0.0095644,0.0095644
24,437.515,1.08267,1.01119,1.29996,0.77395,0.47911,0.62327,0.40232,1.37358,1.54606,1.29284,0.0095446,0.0095446,0.0095446
25,455.783,1.08865,0.98569,1.29034,0.74463,0.60724,0.72015,0.4611,1.3202,1.36025,1.22966,0.0095248,0.0095248,0.0095248
26,474.25,1.07707,1.01878,1.31415,0.76329,0.6546,0.77598,0.49864,1.27666,1.0911,1.19723,0.009505,0.009505,0.009505
27,492.36,1.07592,0.97252,1.29515,0.84754,0.7278,0.82726,0.54884,1.24947,0.96058,1.15712,0.0094852,0.0094852,0.0094852
28,510.58,1.09419,0.98406,1.29675,0.77453,0.77716,0.84542,0.542,1.2495,1.03869,1.15279,0.0094654,0.0094654,0.0094654
29,529.038,1.0854,0.99165,1.31128,0.74736,0.80501,0.84191,0.52763,1.2652,0.9305,1.16475,0.0094456,0.0094456,0.0094456
30,547.482,1.09891,0.98139,1.30829,0.8095,0.7688,0.83838,0.54287,1.2421,0.92816,1.15069,0.0094258,0.0094258,0.0094258
31,565.697,1.06504,0.97793,1.2832,0.75837,0.61281,0.70748,0.46483,1.32772,1.32855,1.21978,0.009406,0.009406,0.009406
32,583.907,1.0131,0.88027,1.23355,0.79913,0.75487,0.83245,0.53009,1.25302,0.92496,1.15553,0.0093862,0.0093862,0.0093862
33,602.224,1.04687,0.95272,1.2801,0.85126,0.70195,0.81734,0.54219,1.22512,0.99006,1.15236,0.0093664,0.0093664,0.0093664
34,620.441,1.05983,0.93561,1.28907,0.84017,0.73816,0.84387,0.57089,1.23272,0.88488,1.1509,0.0093466,0.0093466,0.0093466
35,638.818,1.02956,0.90698,1.27018,0.82204,0.79944,0.87283,0.57321,1.24086,0.87908,1.13947,0.0093268,0.0093268,0.0093268
36,657.311,1.01902,0.9039,1.24664,0.74694,0.71588,0.77909,0.53929,1.18981,1.00235,1.11876,0.009307,0.009307,0.009307
37,675.65,1.02561,0.89344,1.26385,0.81669,0.74095,0.83328,0.54355,1.22513,0.99322,1.14326,0.0092872,0.0092872,0.0092872
38,694.035,1.02523,0.89837,1.27031,0.81179,0.76892,0.83983,0.56079,1.21219,0.97187,1.13915,0.0092674,0.0092674,0.0092674
39,712.296,1.03229,0.89623,1.2671,0.79339,0.71309,0.80911,0.55095,1.20929,0.98653,1.13951,0.0092476,0.0092476,0.0092476
40,730.671,1.03684,0.92067,1.27451,0.81908,0.75666,0.84294,0.56639,1.16862,0.9339,1.13024,0.0092278,0.0092278,0.0092278
41,749.009,1.03617,0.9416,1.27983,0.61849,0.5419,0.49449,0.30781,1.48417,1.85942,1.33055,0.009208,0.009208,0.009208
42,767.274,1.00608,0.90565,1.25466,0.76696,0.6509,0.74608,0.50039,1.25545,1.34249,1.1704,0.0091882,0.0091882,0.0091882
43,785.527,1.01876,0.8931,1.27044,0.83279,0.74918,0.85109,0.57099,1.21718,1.04908,1.14628,0.0091684,0.0091684,0.0091684
44,804.013,0.99185,0.86714,1.24412,0.8605,0.76602,0.87546,0.58165,1.19336,0.85544,1.12344,0.0091486,0.0091486,0.0091486
45,822.355,1.01661,0.89018,1.25122,0.85182,0.75263,0.85931,0.57347,1.20033,0.88515,1.14591,0.0091288,0.0091288,0.0091288
46,840.564,1.00781,0.88856,1.25098,0.86523,0.79109,0.87853,0.58783,1.21865,0.81855,1.12708,0.009109,0.009109,0.009109
47,858.984,0.98246,0.85679,1.22223,0.79505,0.64624,0.78914,0.52885,1.2375,1.04183,1.16002,0.0090892,0.0090892,0.0090892
48,877.223,0.94154,0.79164,1.20406,0.59249,0.53864,0.56259,0.35557,1.40979,1.67599,1.28764,0.0090694,0.0090694,0.0090694
49,895.342,0.99639,0.83266,1.23125,0.8687,0.68189,0.79689,0.53567,1.25301,1.0754,1.14923,0.0090496,0.0090496,0.0090496
50,913.753,0.97802,0.8237,1.25059,0.58602,0.63788,0.52636,0.33297,1.34964,1.62816,1.25648,0.0090298,0.0090298,0.0090298
51,931.896,0.98553,0.83249,1.25077,0.7157,0.66852,0.73953,0.50447,1.2549,1.10779,1.16502,0.00901,0.00901,0.00901
52,950.177,0.98237,0.84446,1.23138,0.84923,0.7883,0.88878,0.5963,1.20499,0.84724,1.12694,0.0089902,0.0089902,0.0089902
53,968.625,0.95569,0.82758,1.21819,0.82304,0.79109,0.86579,0.58326,1.1901,0.87788,1.13602,0.0089704,0.0089704,0.0089704
54,986.826,0.94451,0.78225,1.22541,0.85316,0.83008,0.88254,0.60324,1.19778,0.88161,1.11052,0.0089506,0.0089506,0.0089506
55,1005.28,0.98711,0.85502,1.25308,0.83243,0.74722,0.83241,0.55349,1.24197,0.98965,1.15832,0.0089308,0.0089308,0.0089308
56,1023.66,0.9585,0.79139,1.2307,0.84852,0.79109,0.87021,0.59651,1.17403,0.81127,1.11973,0.008911,0.008911,0.008911
57,1041.92,0.9462,0.78666,1.20316,0.85859,0.74417,0.85838,0.58713,1.17334,0.83151,1.11306,0.0088912,0.0088912,0.0088912
58,1060.26,0.95392,0.78604,1.2042,0.86419,0.81531,0.88345,0.60581,1.17884,0.76661,1.12561,0.0088714,0.0088714,0.0088714
59,1078.47,0.95535,0.8003,1.21067,0.82382,0.83008,0.88792,0.60375,1.16187,0.81442,1.10809,0.0088516,0.0088516,0.0088516
