epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0144,1.56412,2.39559,1.76917,0.0656,0.08357,0.02712,0.01106,2.10917,8.55297,2.68353,0.000663176,0.000663176,0.000663176
2,72.0215,1.95554,2.41377,2.11045,0.03965,0.1337,0.01849,0.00678,2.41657,4.80867,2.84089,0.00132721,0.00132721,0.00132721
3,107.844,1.93319,2.3564,2.06469,0.08282,0.30084,0.05113,0.02278,1.96679,4.9559,2.01093,0.0019886,0.0019886,0.0019886
4,143.787,1.84794,2.21408,1.98037,0.17805,0.13092,0.06259,0.0222,2.24175,5.4279,2.35488,0.00198812,0.00198812,0.00198812
5,179.571,1.75188,2.0957,1.93989,0.45022,0.33983,0.3508,0.18091,1.76706,2.224,1.66215,0.00198416,0.00198416,0.00198416
6,215.297,1.81195,2.07278,1.97298,0.35998,0.35376,0.28821,0.16044,1.83723,2.22222,1.7933,0.0019802,0.0019802,0.0019802
7,251.021,1.58612,1.87908,1.80177,0.37502,0.47075,0.40435,0.24107,1.54789,1.89038,1.50475,0.00197624,0.00197624,0.00197624
8,286.871,1.56869,1.87406,1.79033,0.40035,0.33148,0.31558,0.17475,1.71477,2.41915,1.69123,0.00197228,0.00197228,0.00197228
9,322.54,1.59065,1.84351,1.76918,0.39947,0.35762,0.31402,0.17902,1.60511,2.237,1.51844,0.00196832,0.00196832,0.00196832
10,358.206,1.50672,1.76716,1.69941,0.29102,0.39104,0.28477,0.15644,1.77127,2.73996,1.73906,0.00196436,0.00196436,0.00196436
11,393.862,1.48381,1.68438,1.699,0.25403,0.23955,0.20628,0.12035,1.95759,2.9486,1.90759,0.0019604,0.0019604,0.0019604
12,429.542,1.48107,1.7241,1.7135,0.13363,0.22006,0.1086,0.06644,2.17353,3.01894,2.13827,0.00195644,0.00195644,0.00195644
13,465.223,1.42483,1.67411,1.64345,0.48393,0.54318,0.51293,0.30749,1.42203,1.61328,1.42743,0.00195248,0.00195248,0.00195248
14,500.944,1.39984,1.55747,1.6323,0.48649,0.44863,0.45318,0.27847,1.51381,1.85153,1.48856,0.00194852,0.00194852,0.00194852
15,536.64,1.38411,1.57834,1.62413,0.43261,0.35376,0.3765,0.20896,1.80778,2.41945,1.89588,0.00194456,0.00194456,0.00194456
16,572.241,1.35955,1.57247,1.6171,0.58931,0.51562,0.52868,0.31903,1.48867,1.61035,1.42895,0.0019406,0.0019406,0.0019406
17,608.032,1.32172,1.50888,1.57806,0.68193,0.38719,0.46334,0.2818,1.6815,2.06595,1.71715,0.00193664,0.00193664,0.00193664
18,643.7,1.32693,1.47065,1.57659,0.65589,0.16713,0.23669,0.15184,1.77072,2.76475,1.80353,0.00193268,0.00193268,0.00193268
19,679.375,1.32193,1.47519,1.58738,0.58534,0.55153,0.55933,0.35877,1.35769,1.6116,1.39512,0.00192872,0.00192872,0.00192872
20,715.102,1.34789,1.41995,1.58649,0.55077,0.47632,0.51455,0.317,1.50179,1.65558,1.46143,0.00192476,0.00192476,0.00192476
21,750.72,1.26677,1.42619,1.52866,0.68333,0.56267,0.63612,0.41197,1.39021,1.36977,1.40188,0.0019208,0.0019208,0.0019208
22,786.578,1.29965,1.38996,1.5323,0.67683,0.4317,0.52253,0.31564,1.52891,1.85238,1.5855,0.00191684,0.00191684,0.00191684
23,822.256,1.28119,1.43134,1.56649,0.64902,0.53203,0.59533,0.38298,1.38416,1.53031,1.38066,0.00191288,0.00191288,0.00191288
24,857.847,1.24447,1.36731,1.52333,0.68474,0.56265,0.63625,0.40604,1.40747,1.39375,1.40607,0.00190892,0.00190892,0.00190892
25,893.566,1.24616,1.33891,1.5058,0.70131,0.49861,0.58448,0.37779,1.43678,1.52881,1.40275,0.00190496,0.00190496,0.00190496
26,929.228,1.23776,1.35202,1.53975,0.68488,0.58774,0.63264,0.38757,1.41396,1.40871,1.40228,0.001901,0.001901,0.001901
27,964.873,1.23736,1.28187,1.51991,0.63649,0.59889,0.66343,0.43835,1.3232,1.31183,1.35143,0.00189704,0.00189704,0.00189704
28,1000.67,1.2545,1.35931,1.52338,0.70273,0.63231,0.69205,0.43487,1.34999,1.27509,1.37706,0.00189308,0.00189308,0.00189308
29,1036.4,1.2677,1.34739,1.55458,0.54508,0.52089,0.54028,0.34546,1.41238,1.5516,1.3929,0.00188912,0.00188912,0.00188912
30,1072.15,1.26994,1.36637,1.54011,0.71127,0.56825,0.68081,0.41054,1.33204,1.37561,1.39879,0.00188516,0.00188516,0.00188516
31,1107.85,1.19309,1.3368,1.47919,0.74259,0.62953,0.69695,0.43779,1.30198,1.3817,1.32787,0.0018812,0.0018812,0.0018812
32,1143.68,1.12107,1.1717,1.40128,0.7712,0.59331,0.7032,0.4487,1.30338,1.20471,1.28542,0.00187724,0.00187724,0.00187724
