epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1581,1.31505,2.42258,0.69436,0.70009,0.67131,0.68878,0.41458,1.49275,2.1989,0.62015,0.0642872,0.000136226,0.000136226
2,37.1777,1.39404,2.12227,0.71257,0.78244,0.62112,0.72183,0.46327,1.5089,2.02159,0.61924,0.0283858,0.000272629,0.000272629
3,55.343,1.43795,2.21564,0.71908,0.63669,0.60724,0.68695,0.39825,1.55162,2.31739,0.64346,0.000378494,0.000378494,0.000378494
4,73.2195,1.42993,2.11417,0.71655,0.67198,0.7133,0.72912,0.47614,1.47441,2.14505,0.58704,0.000377741,0.000377741,0.000377741
5,91.2677,1.37384,1.98991,0.71116,0.71912,0.74168,0.79864,0.46065,1.61421,2.08581,0.62445,0.000376989,0.000376989,0.000376989
6,109.357,1.39518,2.06287,0.7178,0.85475,0.69916,0.83019,0.5144,1.5417,1.73116,0.62611,0.000376236,0.000376236,0.000376236
7,127.745,1.38069,1.991,0.72612,0.74053,0.67409,0.75434,0.46113,1.36866,2.22672,0.59133,0.000375483,0.000375483,0.000375483
8,145.819,1.35466,1.86853,0.7138,0.83787,0.69097,0.81046,0.52169,1.41442,1.68249,0.59648,0.00037473,0.00037473,0.00037473
9,164.184,1.3741,1.7878,0.70579,0.76212,0.74964,0.80907,0.50875,1.52745,1.71188,0.59526,0.000373977,0.000373977,0.000373977
10,182.469,1.31562,1.75866,0.68795,0.59717,0.63179,0.63308,0.41923,1.4894,2.38925,0.61316,0.000373224,0.000373224,0.000373224
11,200.78,1.2748,1.66025,0.66591,0.77843,0.75766,0.82269,0.542,1.3853,1.91207,0.584,0.000372471,0.000372471,0.000372471
12,219.277,1.24228,1.66583,0.67263,0.7942,0.81337,0.87384,0.56374,1.39262,1.69518,0.58092,0.000371719,0.000371719,0.000371719
13,237.66,1.26874,1.59923,0.66776,0.74033,0.71475,0.77636,0.48408,1.56424,1.94693,0.62994,0.000370966,0.000370966,0.000370966
14,255.901,1.26498,1.6364,0.67641,0.826,0.75487,0.86212,0.56245,1.41912,1.46619,0.5908,0.000370213,0.000370213,0.000370213
15,274.275,1.248,1.60378,0.66691,0.82637,0.77716,0.88503,0.60308,1.2883,1.43511,0.57204,0.00036946,0.00036946,0.00036946
16,292.888,1.19994,1.52055,0.65405,0.78694,0.77994,0.84712,0.55454,1.38097,1.66051,0.57683,0.000368707,0.000368707,0.000368707
17,311.266,1.22724,1.52356,0.66175,0.83481,0.75766,0.87929,0.56003,1.38995,1.45293,0.58606,0.000367954,0.000367954,0.000367954
18,329.599,1.17912,1.48298,0.65209,0.83983,0.81894,0.9058,0.58492,1.45649,1.42471,0.59792,0.000367201,0.000367201,0.000367201
19,347.973,1.23043,1.5273,0.66657,0.85244,0.80458,0.8886,0.57257,1.43852,1.47107,0.58955,0.000366448,0.000366448,0.000366448
20,366.29,1.20879,1.50835,0.66322,0.83183,0.78538,0.87227,0.56867,1.40971,1.36931,0.5854,0.000365696,0.000365696,0.000365696
21,384.844,1.16617,1.44168,0.64369,0.82491,0.8273,0.89417,0.58851,1.36799,1.42631,0.58996,0.000364943,0.000364943,0.000364943
22,402.979,1.19646,1.42959,0.65609,0.79296,0.77159,0.84355,0.54268,1.42002,1.72365,0.59664,0.00036419,0.00036419,0.00036419
23,421.387,1.18624,1.41945,0.65219,0.84365,0.79944,0.89055,0.57976,1.33006,1.39363,0.57097,0.000363437,0.000363437,0.000363437
24,439.646,1.17719,1.46108,0.64844,0.83701,0.79109,0.88403,0.57429,1.37607,1.42366,0.57911,0.000362684,0.000362684,0.000362684
25,457.987,1.13973,1.37292,0.63175,0.83381,0.79659,0.88055,0.55263,1.44403,1.41983,0.59875,0.000361931,0.000361931,0.000361931
26,476.526,1.14076,1.41881,0.62979,0.87927,0.80223,0.911,0.58416,1.43857,1.27113,0.58821,0.000361178,0.000361178,0.000361178
27,494.8,1.15334,1.31427,0.63768,0.86071,0.82623,0.90653,0.57766,1.43655,1.33038,0.60352,0.000360426,0.000360426,0.000360426
28,513.025,1.14665,1.33639,0.63835,0.84893,0.81894,0.89722,0.60094,1.32549,1.27636,0.56852,0.000359673,0.000359673,0.000359673
29,531.368,1.16638,1.33481,0.64679,0.83432,0.82173,0.91511,0.61725,1.29362,1.29685,0.55924,0.00035892,0.00035892,0.00035892
30,549.793,1.14409,1.32692,0.64212,0.85906,0.84892,0.93093,0.61347,1.36105,1.21227,0.5669,0.000358167,0.000358167,0.000358167
31,568.156,1.13564,1.3653,0.63682,0.86578,0.8078,0.91166,0.59023,1.39345,1.36918,0.5775,0.000357414,0.000357414,0.000357414
32,586.604,1.14169,1.31255,0.62479,0.81572,0.83843,0.9104,0.60059,1.3434,1.24738,0.57297,0.000356661,0.000356661,0.000356661
33,604.853,1.14702,1.32383,0.63141,0.87225,0.84123,0.91945,0.63566,1.269,1.17594,0.55749,0.000355908,0.000355908,0.000355908
34,623.267,1.12084,1.29136,0.62656,0.89458,0.85098,0.93449,0.63651,1.25375,1.13944,0.55731,0.000355156,0.000355156,0.000355156
35,641.729,1.14306,1.32251,0.63423,0.88851,0.84401,0.93589,0.62987,1.26401,1.16499,0.56659,0.000354403,0.000354403,0.000354403
36,660.029,1.11453,1.28514,0.62562,0.89536,0.81616,0.92656,0.62901,1.30094,1.22604,0.56937,0.00035365,0.00035365,0.00035365
37,678.463,1.09046,1.22998,0.62482,0.87134,0.8468,0.92223,0.61292,1.31717,1.2271,0.57047,0.000352897,0.000352897,0.000352897
38,696.84,1.07615,1.20333,0.61401,0.83805,0.87465,0.93034,0.61066,1.36164,1.22875,0.57879,0.000352144,0.000352144,0.000352144
39,715.279,1.12009,1.22344,0.62901,0.85277,0.82285,0.91284,0.61853,1.33432,1.22697,0.56929,0.000351391,0.000351391,0.000351391
