epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9713,1.33373,3.67063,0.7182,0.38975,0.39512,0.37694,0.21649,1.65751,3.09848,0.62729,0.0642872,0.000136226,0.000136226
2,36.9301,1.42725,2.93524,0.73912,0.6126,0.55829,0.56148,0.33093,1.41294,2.63675,0.58993,0.0283858,0.000272629,0.000272629
3,54.9533,1.48017,2.85132,0.74128,0.65067,0.39542,0.4626,0.26136,1.51328,3.84586,0.63391,0.000378494,0.000378494,0.000378494
4,73.0656,1.41942,2.69639,0.71861,0.66845,0.41899,0.48452,0.28799,1.52035,2.46697,0.58828,0.000377741,0.000377741,0.000377741
5,91.149,1.33917,2.37128,0.70512,0.59828,0.50183,0.53813,0.32068,1.51373,2.47667,0.59636,0.000376989,0.000376989,0.000376989
6,109.259,1.40825,2.40134,0.72884,0.49146,0.50162,0.54952,0.33279,1.44294,1.99755,0.60325,0.000376236,0.000376236,0.000376236
7,127.383,1.40925,2.37384,0.74564,0.60834,0.56861,0.60435,0.36053,1.37806,2.02877,0.57238,0.000375483,0.000375483,0.000375483
8,145.56,1.3482,2.14497,0.70833,0.41231,0.4705,0.48053,0.28655,1.56404,2.3502,0.61387,0.00037473,0.00037473,0.00037473
9,163.875,1.32841,2.01429,0.68977,0.76169,0.61928,0.71387,0.3758,1.45176,1.96768,0.58717,0.000373977,0.000373977,0.000373977
10,182.391,1.31537,2.05297,0.69073,0.75793,0.6499,0.73353,0.44306,1.42772,1.7291,0.57644,0.000373224,0.000373224,0.000373224
11,200.942,1.29211,1.91865,0.68507,0.63091,0.62911,0.65315,0.38356,1.35117,2.05816,0.58768,0.000372471,0.000372471,0.000372471
12,219.28,1.24409,1.84028,0.67462,0.70232,0.57406,0.63474,0.37887,1.35894,2.12091,0.58592,0.000371719,0.000371719,0.000371719
13,237.567,1.28506,1.85058,0.6774,0.73671,0.58229,0.66985,0.39738,1.33197,1.94411,0.5841,0.000370966,0.000370966,0.000370966
14,255.799,1.23855,1.7614,0.67814,0.73068,0.69718,0.74691,0.44017,1.39256,1.53889,0.58573,0.000370213,0.000370213,0.000370213
15,274.127,1.20948,1.79998,0.66884,0.78086,0.66191,0.71601,0.45538,1.29012,1.59496,0.57757,0.00036946,0.00036946,0.00036946
16,292.686,1.21664,1.72776,0.67004,0.60123,0.67143,0.71693,0.4276,1.38639,1.749,0.58465,0.000368707,0.000368707,0.000368707
17,311.005,1.21633,1.73075,0.66527,0.60656,0.67562,0.71174,0.43392,1.39789,1.54121,0.57967,0.000367954,0.000367954,0.000367954
18,329.372,1.19527,1.64927,0.65914,0.74377,0.65215,0.72851,0.41658,1.54095,1.54763,0.6055,0.000367201,0.000367201,0.000367201
19,347.564,1.22853,1.67804,0.67278,0.70784,0.62072,0.69129,0.41375,1.44679,1.55985,0.60632,0.000366448,0.000366448,0.000366448
20,365.952,1.20359,1.61608,0.66613,0.75314,0.68177,0.75775,0.45994,1.38218,1.44014,0.58419,0.000365696,0.000365696,0.000365696
21,384.531,1.13903,1.53259,0.63653,0.71895,0.7995,0.81463,0.48958,1.40457,1.43972,0.59018,0.000364943,0.000364943,0.000364943
22,402.876,1.17205,1.60293,0.64863,0.66441,0.65959,0.69526,0.44867,1.30048,1.60047,0.57026,0.00036419,0.00036419,0.00036419
23,421.26,1.15375,1.59864,0.64414,0.71637,0.72927,0.75099,0.45663,1.31964,1.42326,0.57826,0.000363437,0.000363437,0.000363437
24,439.732,1.15877,1.58481,0.64995,0.72453,0.70535,0.76195,0.49899,1.30841,1.41748,0.57165,0.000362684,0.000362684,0.000362684
25,458.328,1.11879,1.49809,0.63301,0.63026,0.71662,0.70599,0.44076,1.31534,1.51223,0.57522,0.000361931,0.000361931,0.000361931
26,476.833,1.12992,1.54714,0.62872,0.70431,0.70952,0.76418,0.44684,1.44095,1.43814,0.5835,0.000361178,0.000361178,0.000361178
27,495.146,1.17317,1.46118,0.64281,0.74502,0.71991,0.78022,0.44653,1.52774,1.40116,0.60974,0.000360426,0.000360426,0.000360426
28,513.412,1.12102,1.45439,0.64005,0.71037,0.79324,0.81185,0.49939,1.31902,1.35418,0.56823,0.000359673,0.000359673,0.000359673
29,531.777,1.15609,1.46153,0.64498,0.69229,0.75494,0.78673,0.49535,1.3659,1.37556,0.5786,0.00035892,0.00035892,0.00035892
30,550.264,1.12165,1.47807,0.63777,0.63186,0.82877,0.83861,0.50799,1.29359,1.30805,0.56228,0.000358167,0.000358167,0.000358167
31,568.939,1.13637,1.48421,0.64044,0.82101,0.72097,0.77966,0.48382,1.34872,1.47479,0.57067,0.000357414,0.000357414,0.000357414
32,587.351,1.09755,1.3781,0.61856,0.75638,0.74991,0.80145,0.51752,1.28841,1.3437,0.56183,0.000356661,0.000356661,0.000356661
33,605.775,1.12089,1.42301,0.62649,0.75973,0.7536,0.81105,0.5143,1.27369,1.5005,0.56261,0.000355908,0.000355908,0.000355908
34,624.083,1.12052,1.43684,0.63039,0.69315,0.65287,0.71797,0.44466,1.2964,1.34662,0.55952,0.000355156,0.000355156,0.000355156
35,642.351,1.11309,1.40159,0.62188,0.77958,0.68497,0.79247,0.51643,1.27907,1.64739,0.57247,0.000354403,0.000354403,0.000354403
36,660.763,1.08236,1.41156,0.61702,0.73598,0.76702,0.78544,0.48467,1.32245,1.37771,0.56005,0.00035365,0.00035365,0.00035365
37,679.201,1.06975,1.30451,0.62157,0.67671,0.83977,0.82985,0.52761,1.26613,1.34845,0.55523,0.000352897,0.000352897,0.000352897
38,697.592,1.08447,1.30007,0.62751,0.85124,0.72273,0.81089,0.50896,1.41639,1.29925,0.57617,0.000352144,0.000352144,0.000352144
39,716.032,1.07985,1.29618,0.61877,0.76025,0.78054,0.79817,0.50166,1.28825,1.30757,0.55194,0.000351391,0.000351391,0.000351391
40,734.455,1.07477,1.28012,0.62364,0.68376,0.81573,0.78872,0.4891,1.33957,1.29957,0.56585,0.000350638,0.000350638,0.000350638
41,752.879,1.08053,1.29109,0.6174,0.80596,0.79259,0.84112,0.53165,1.27245,1.29591,0.5548,0.000349885,0.000349885,0.000349885
42,771.394,1.06781,1.31449,0.60476,0.69899,0.74738,0.78761,0.50838,1.2699,1.27411,0.56157,0.000349133,0.000349133,0.000349133
43,789.688,1.04452,1.2613,0.61225,0.81654,0.82537,0.85539,0.52893,1.29143,1.22814,0.56097,0.00034838,0.00034838,0.00034838
44,808.052,1.07341,1.27219,0.61727,0.77891,0.76293,0.79912,0.50804,1.25365,1.2832,0.55524,0.000347627,0.000347627,0.000347627
45,826.495,1.05271,1.25716,0.6135,0.75083,0.7594,0.81423,0.51561,1.28619,1.30103,0.56412,0.000346874,0.000346874,0.000346874
46,844.905,1.03404,1.26221,0.60868,0.82253,0.77522,0.83923,0.52336,1.27711,1.21761,0.55554,0.000346121,0.000346121,0.000346121
47,863.417,1.05713,1.27793,0.61178,0.78609,0.77545,0.8402,0.51113,1.31465,1.25481,0.56987,0.000345368,0.000345368,0.000345368
48,881.721,1.06011,1.23995,0.60876,0.81972,0.75055,0.83509,0.52318,1.33195,1.22935,0.56741,0.000344615,0.000344615,0.000344615
49,900.132,1.04957,1.28943,0.61464,0.82337,0.79168,0.84337,0.52626,1.29595,1.28164,0.56558,0.000343863,0.000343863,0.000343863
50,918.579,1.0363,1.21225,0.60077,0.75217,0.76857,0.80228,0.49155,1.25291,1.34272,0.56134,0.00034311,0.00034311,0.00034311
