fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.66471,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.66394,0.0098,0.01017,0.93281,0.00048,3.22163,0.77415,7.48545,0.4805,1.49744,0.01523,0.70085,0.4,0.0,0.10183,0.4966,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.6415,0.00968,0.01,0.937,0.00051,3.0,0.79253,7.64776,0.5,1.50821,0.01509,0.7,0.39681,0.0,0.10379,0.50773,0.0,0.0,0.0,0.48163,0.0,0.97503,0.0,0.0
0.70436,0.00873,0.01096,0.90387,0.00048,3.33889,0.70318,7.48545,0.4805,1.49744,0.01551,0.64813,0.39589,0.0,0.09603,0.45736,0.0,0.0,0.0,0.50999,0.0,0.87828,0.0,0.0
0.6986,0.01,0.01113,0.875,0.0005,3.29184,0.80372,7.1864,0.5,1.46733,0.01636,0.574,0.46488,0.0,0.10475,0.5112,0.0,0.0,0.0,0.50988,0.0,1.0,0.0,0.0
0.70524,0.00863,0.00962,0.84351,0.00075,2.81191,0.88039,7.1864,0.39819,1.67043,0.01534,0.44521,0.35157,0.0,0.1007,0.66315,0.0,0.0,0.0,0.4287,0.0,1.0,0.0,0.0
0.70772,0.00702,0.01289,0.71558,0.00067,2.81191,0.79727,7.1864,0.39819,1.50543,0.01534,0.44521,0.39266,0.0,0.1344,0.76543,0.0,0.0,0.0,0.44709,0.0,0.97233,0.0,0.0
0.55814,0.0095,0.01187,0.98,0.00043,3.51497,0.72966,7.48545,0.49158,1.49744,0.01551,0.59951,0.41383,0.0,0.10103,0.4339,0.0,0.0,0.0,0.44931,0.0,0.87273,0.0,0.0
0.71104,0.0085,0.01088,0.80814,0.00042,3.13619,0.66092,9.47609,0.52287,1.32857,0.01613,0.64813,0.37642,0.0,0.10161,0.42781,0.0,0.0,0.0,0.49948,0.0,0.87828,0.0,0.0
0.70852,0.00702,0.01289,0.71558,0.00067,2.81164,0.79751,7.18703,0.39833,1.50516,0.01534,0.44513,0.39284,0.0,0.13437,0.76566,0.0,0.0,0.0,0.44709,0.0,0.97221,0.0,0.0
0.71848,0.0065,0.01224,0.66772,0.00067,2.77859,0.80117,7.1864,0.42563,1.50543,0.01519,0.46905,0.39456,0.0,0.13303,0.74843,0.0,0.0,0.0,0.42795,0.0,1.0,0.0,0.0
0.71519,0.00696,0.01088,0.87945,0.00028,4.38111,0.73651,10.42969,0.60272,1.29532,0.01469,0.48949,0.43812,0.0,0.13224,0.3899,0.0,0.0,0.0,0.55583,0.0,0.98659,0.0,0.0
0.70609,0.0066,0.01088,0.86198,0.00028,4.38111,0.73651,10.34054,0.60269,1.39153,0.01602,0.41611,0.39393,0.0,0.13346,0.42568,0.0,0.0,0.0,0.62769,0.0,0.75695,0.0,0.0
0.7091,0.0065,0.01263,0.61267,0.00063,2.80535,0.78719,7.73469,0.40694,1.51268,0.01519,0.46905,0.38455,0.0,0.1406,0.74843,0.0,0.0,0.0,0.43641,0.0,0.98439,0.0,0.0
0.70116,0.00687,0.01219,0.67168,0.00065,2.55401,0.81255,7.00617,0.39763,1.86611,0.01937,0.54266,0.37586,0.0,0.13024,0.74843,0.0,0.0,0.0,0.48185,0.0,0.80092,0.0,0.0
