epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.252,2.62521,3.13779,2.79431,0,0,0,0,0,0,0,0.0701571,0.00331588,0.00331588
2,35.8418,2.57774,3.01156,2.79608,0,0,0,0,0,0,0,0.0398279,0.00632008,0.00632008
3,53.2736,2.46398,2.96783,2.68621,0,0,0,0,0,0,0,0.0091688,0.00899428,0.00899428
4,70.6634,2.38723,2.78328,2.56766,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
5,88.1709,2.26931,2.72732,2.48868,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
6,105.85,2.21607,2.65999,2.45226,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
7,123.465,2.18146,2.5717,2.38596,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
8,141.24,2.16826,2.56958,2.36787,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
9,158.971,2.09961,2.46682,2.32133,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
10,176.807,2.11358,2.45931,2.30829,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
11,194.906,2.00948,2.34103,2.39843,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
12,212.661,1.94454,2.09914,2.31895,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
13,230.271,1.96512,2.12918,2.34812,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
14,247.948,1.91989,2.07362,2.31803,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
15,265.945,1.89573,1.9851,2.27838,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
16,283.841,1.85841,1.96145,2.21863,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
17,301.617,1.8049,1.90963,2.16386,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
18,319.336,1.80771,1.84523,2.18271,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
19,337.042,1.72657,1.79136,2.10454,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
20,355.8,1.73775,1.76251,2.10226,0.45755,0.38719,0.40032,0.17952,2.00783,2.0584,1.68098,0.000595,0.000595,0.000595
