epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0221,1.48954,1.99008,1.61914,0,0,0,0,0,0,0,0.079898,0.000572688,0.000572688
2,37.1034,1.63431,2.1525,1.88888,0,0,0,0,0,0,0,0.0596335,0.00109165,0.00109165
3,55.0358,1.57617,2.05946,1.78362,0,0,0,0,0,0,0,0.0393122,0.00155372,0.00155372
4,73.1352,1.45132,1.90002,1.66535,0,0,0,0,0,0,0,0.0189339,0.00195891,0.00195891
5,90.968,1.43198,1.90973,1.62445,0,0,0,0,0,0,0,0.00222255,0.00222255,0.00222255
6,108.827,1.40464,1.82765,1.62328,0,0,0,0,0,0,0,0.00208569,0.00208569,0.00208569
7,126.908,1.37367,1.71655,1.5705,0,0,0,0,0,0,0,0.00194883,0.00194883,0.00194883
8,144.867,1.31231,1.65935,1.51656,0,0,0,0,0,0,0,0.00181197,0.00181197,0.00181197
9,162.634,1.25933,1.53956,1.46843,0,0,0,0,0,0,0,0.00167511,0.00167511,0.00167511
10,180.479,1.24668,1.48405,1.46799,0,0,0,0,0,0,0,0.00153825,0.00153825,0.00153825
11,198.742,1.15872,1.37821,1.43519,0,0,0,0,0,0,0,0.00140138,0.00140138,0.00140138
12,216.41,1.13774,1.29863,1.4165,0,0,0,0,0,0,0,0.00126452,0.00126452,0.00126452
13,234.235,1.12568,1.24923,1.40549,0,0,0,0,0,0,0,0.00112766,0.00112766,0.00112766
14,252.075,1.11213,1.17958,1.3814,0,0,0,0,0,0,0,0.0009908,0.0009908,0.0009908
15,269.854,1.08279,1.13989,1.35974,0,0,0,0,0,0,0,0.000853938,0.000853938,0.000853938
16,287.736,1.08867,1.09899,1.35714,0,0,0,0,0,0,0,0.000717077,0.000717077,0.000717077
17,305.533,1.04384,1.03289,1.3169,0,0,0,0,0,0,0,0.000580215,0.000580215,0.000580215
18,323.344,1.02077,0.98559,1.28595,0,0,0,0,0,0,0,0.000443354,0.000443354,0.000443354
19,340.991,1.0006,0.92106,1.26268,0,0,0,0,0,0,0,0.000306492,0.000306492,0.000306492
20,359.631,0.99136,0.91369,1.26739,0.79934,0.63788,0.75649,0.46247,1.14762,0.99672,1.10668,0.000169631,0.000169631,0.000169631
