date,timestamp,pid,hostname,node_ip,config/model_path,config/optimizer,config/batch,config/imgsz,config/lr0,config/lrf,fitness,precision,recall,mAP50,mAP50-95,elapsed_time,memory_mb,checkpoint_dir_name,done,training_iteration,time_this_iter_s,time_total_s,time_since_restore,iterations_since_restore,experiment_tag
2025-04-30_04-47-42,1745981262,2952260,NTNU002512,129.241.154.83,yolo11m.pt,AdamW,16,1024,0.001635459620546578,0.0017933132484929189,,,,,,,,,,,,,,,
2025-04-30_04-51-29,1745981489,2952880,NTNU002512,129.241.154.83,yolo11n.pt,AdamW,16,1024,0.00013368150851455994,0.00065184163648353,0.7662611673342379,0.8539052645260784,0.7771587743732591,0.8713737928251146,0.6082451540482567,212.5173580646515,5401.0302734375,,True,22.0,0.8234915733337402,213.24196434020996,213.24196434020996,22.0,"1_batch=16,imgsz=1024,lr0=0.0001,lrf=0.0007,model_path=yolo11n_pt,optimizer=AdamW"
2025-04-30_04-57-17,1745981837,2957428,NTNU002512,129.241.154.83,yolo11m.pt,AdamW,8,640,0.0010164251050589247,0.005905946151440562,0.8005994999319259,0.8870979159587722,0.8098000507471259,0.9127005105156468,0.6375821556554488,343.20556020736694,4129.17822265625,,True,22.0,0.8779008388519287,344.6308329105377,344.6308329105377,22.0,"2_batch=8,imgsz=640,lr0=0.0010,lrf=0.0059,model_path=yolo11m_pt,optimizer=AdamW"
2025-04-30_04-57-20,1745981840,2965544,NTNU002512,129.241.154.83,yolo11m.pt,AdamW,8,960,0.0013505383353912285,0.0016091808887743902,,,,,,,,,,,,,,,
2025-04-30_04-59-17,1745981957,2965980,NTNU002512,129.241.154.83,yolo11n.pt,AdamW,32,640,0.00024026635353480274,0.0005955722636120116,0.7767051006273007,0.8782129184152613,0.7632869638440669,0.8927431671277032,0.6210949058856132,103.07442569732666,4174.00732421875,,True,22.0,0.8490116596221924,103.8289475440979,103.8289475440979,22.0,"4_batch=32,imgsz=640,lr0=0.0002,lrf=0.0006,model_path=yolo11n_pt,optimizer=AdamW"
2025-04-30_05-05-23,1745982323,2968445,NTNU002512,129.241.154.83,yolo11n.pt,AdamW,4,1280,0.0001913464081544033,0.0020389739198795934,0.7512769251576566,0.7991731175015789,0.8050139275766016,0.8459741936354722,0.5878507251587591,362.40770745277405,2324.4912109375,,True,22.0,0.9050338268280029,363.3521056175232,363.3521056175232,22.0,"5_batch=4,imgsz=1280,lr0=0.0002,lrf=0.0020,model_path=yolo11n_pt,optimizer=AdamW"
2025-04-30_05-11-00,1745982660,2975949,NTNU002512,129.241.154.83,yolo11n.pt,AdamW,8,1280,0.0007629438298812303,0.0013615802117876103,0.7841495528064533,0.8116955465440314,0.8217270194986073,0.8858162918657513,0.6373952613015714,331.28333926200867,4433.59619140625,,True,22.0,0.8456037044525146,332.34652304649353,332.34652304649353,22.0,"6_batch=8,imgsz=1280,lr0=0.0008,lrf=0.0014,model_path=yolo11n_pt,optimizer=AdamW"
2025-04-30_05-14-19,1745982859,2982830,NTNU002512,129.241.154.83,yolo11n.pt,Adam,16,960,0.0008084172061353821,0.0033554356322184594,0.7954198826672568,0.8581640126949418,0.807799442896936,0.9083485914764594,0.6408028086528127,194.73031854629517,4756.20947265625,,True,22.0,0.8427426815032959,195.4736511707306,195.4736511707306,22.0,"7_batch=16,imgsz=960,lr0=0.0008,lrf=0.0034,model_path=yolo11n_pt,optimizer=Adam"
2025-04-30_05-18-29,1745983109,2987078,NTNU002512,129.241.154.83,yolo11n.pt,AdamW,4,960,0.006103920791276511,0.0008066228194343498,0.5935459012541445,0.7108557324022942,0.5889420694434622,0.6866449542265924,0.4456284592165237,246.01162266731262,1392.78857421875,,True,22.0,1.0097076892852783,247.09434628486633,247.09434628486633,22.0,"8_batch=4,imgsz=960,lr0=0.0061,lrf=0.0008,model_path=yolo11n_pt,optimizer=AdamW"
2025-04-30_05-31-57,1745983917,2992421,NTNU002512,129.241.154.83,yolo11m.pt,Adam,4,1024,0.0006842368599041916,0.0017015477483919928,0.7840029101708021,0.8282092169153573,0.8105849582172702,0.8955541752853599,0.628196784978577,803.4213874340057,5163.5361328125,,True,22.0,0.8608355522155762,805.1004939079285,805.1004939079285,22.0,"9_batch=4,imgsz=1024,lr0=0.0007,lrf=0.0017,model_path=yolo11m_pt,optimizer=Adam"
2025-04-30_05-36-08,1745984168,3009690,NTNU002512,129.241.154.83,yolo11n.pt,Adam,4,960,0.0002720774132227993,0.009939135411435351,0.7714012657288272,0.8225045281345241,0.7910863509749304,0.8737514378709863,0.6270952246787335,246.46088290214539,1392.544921875,,True,22.0,0.8446569442749023,247.71142268180847,247.71142268180847,22.0,"10_batch=4,imgsz=960,lr0=0.0003,lrf=0.0099,model_path=yolo11n_pt,optimizer=Adam"
2025-04-30_05-36-11,1745984171,3015071,NTNU002512,129.241.154.83,yolo11m.pt,SGD,32,1024,0.0019002162171221015,0.005172151122807407,,,,,,,,,,,,,,,
