trial_id,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model_path,config/optimizer,config/batch,config/imgsz,config/lr0,config/lrf,fitness,precision,recall,mAP50,mAP50-95,elapsed_time,memory_mb
7b005_00001,0.00945,0.58217,0.20431,0.13317,1.72505,4.21989,1.38925,1.0,1745981295.0,,False,1.0,2025-04-30_04-48-15,19.459004878997803,19.459004878997803,2952880.0,NTNU002512,129.241.154.83,19.459004878997803,1.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
7b005_00001,0.69442,0.37047,0.52371,0.36007,1.28294,2.84142,1.04633,2.0,1745981305.0,,False,2.0,2025-04-30_04-48-25,9.98887825012207,29.447883129119873,2952880.0,NTNU002512,129.241.154.83,29.447883129119873,2.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
7b005_00001,0.65145,0.68721,0.71047,0.48879,1.19407,1.49002,1.02611,3.0,1745981315.0,,False,3.0,2025-04-30_04-48-35,9.92341661453247,39.371299743652344,2952880.0,NTNU002512,129.241.154.83,39.371299743652344,3.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
7b005_00001,0.70619,0.71031,0.74388,0.51514,1.18773,1.22798,1.05436,4.0,1745981325.0,,False,4.0,2025-04-30_04-48-45,9.848512649536133,49.21981239318848,2952880.0,NTNU002512,129.241.154.83,49.21981239318848,4.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
7b005_00001,0.72496,0.71031,0.74859,0.50948,1.12058,1.12959,1.0353,5.0,1745981335.0,,False,5.0,2025-04-30_04-48-55,9.89928913116455,59.11910152435303,2952880.0,NTNU002512,129.241.154.83,59.11910152435303,5.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
7b005_00001,0.74037,0.77716,0.80129,0.54841,1.1033,1.01835,1.04139,6.0,1745981345.0,,False,6.0,2025-04-30_04-49-05,9.909186840057373,69.0282883644104,2952880.0,NTNU002512,129.241.154.83,69.0282883644104,6.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
7b005_00001,0.78385,0.75487,0.8137,0.54979,1.15853,1.01249,1.05838,7.0,1745981355.0,,False,7.0,2025-04-30_04-49-15,9.909802675247192,78.93809103965759,2952880.0,NTNU002512,129.241.154.83,78.93809103965759,7.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
7b005_00001,0.82589,0.77994,0.85295,0.5908,1.1095,0.94916,1.02684,8.0,1745981365.0,,False,8.0,2025-04-30_04-49-25,9.863834857940674,88.80192589759827,2952880.0,NTNU002512,129.241.154.83,88.80192589759827,8.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
7b005_00001,0.81424,0.76045,0.84253,0.58627,1.10219,0.92283,1.03504,9.0,1745981375.0,,False,9.0,2025-04-30_04-49-35,9.837937831878662,98.63986372947693,2952880.0,NTNU002512,129.241.154.83,98.63986372947693,9.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
7b005_00001,0.81426,0.79373,0.85556,0.585,1.10601,0.90792,1.02974,10.0,1745981385.0,,False,10.0,2025-04-30_04-49-45,9.9398033618927,108.57966709136963,2952880.0,NTNU002512,129.241.154.83,108.57966709136963,10.0,yolo11n.pt,AdamW,16.0,1024.0,0.00013368150851455994,0.00065184163648353,,,,,,,
