epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9091,1.06262,1.82497,1.41335,0.70028,0.72423,0.75509,0.51969,1.19344,1.00553,1.13055,0.00330729,0.00330729,0.00330729
2,65.55,1.04004,1.30084,1.35828,0.69561,0.66839,0.71227,0.48483,1.20481,1.05225,1.08001,0.00663405,0.00663405,0.00663405
3,98.2677,1.14085,1.52401,1.41141,0.49866,0.15599,0.18558,0.12749,1.32956,3.09061,1.28512,0.00995421,0.00995421,0.00995421
4,131.382,1.21852,1.58056,1.42977,0.60631,0.58774,0.59123,0.33717,1.42446,1.48226,1.28867,0.0099703,0.0099703,0.0099703
5,164.689,1.23472,1.33479,1.41936,0.76037,0.66295,0.73243,0.49414,1.25379,1.39409,1.11464,0.0099604,0.0099604,0.0099604
6,197.752,1.21173,1.20384,1.44357,0.78963,0.61003,0.74218,0.48383,1.28075,1.21924,1.14772,0.0099505,0.0099505,0.0099505
7,230.933,1.18495,1.26297,1.43632,0.77815,0.72702,0.80376,0.54708,1.22626,1.02863,1.1332,0.0099406,0.0099406,0.0099406
8,264.224,1.19154,1.16523,1.43933,0.72476,0.64067,0.69813,0.4397,1.43911,1.38569,1.31199,0.0099307,0.0099307,0.0099307
9,297.417,1.19003,1.13629,1.45299,0.6942,0.49955,0.5959,0.41255,1.30641,1.57838,1.28487,0.0099208,0.0099208,0.0099208
10,330.595,1.14543,1.17175,1.40059,0.73785,0.5766,0.67462,0.47053,1.22334,1.30266,1.19681,0.0099109,0.0099109,0.0099109
11,363.811,1.13685,1.11602,1.41118,0.77643,0.62879,0.72619,0.49383,1.29316,1.30844,1.21788,0.009901,0.009901,0.009901
12,397.023,1.08877,1.06509,1.4036,0.74794,0.62674,0.7277,0.48713,1.29658,1.36188,1.25868,0.0098911,0.0098911,0.0098911
13,430.25,1.10309,1.08531,1.38607,0.58292,0.60724,0.63099,0.40661,1.31126,1.36643,1.25927,0.0098812,0.0098812,0.0098812
14,463.466,1.10367,1.03059,1.39591,0.75365,0.59331,0.70551,0.47206,1.2676,1.29772,1.25764,0.0098713,0.0098713,0.0098713
