epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0444,1.2192,2.31302,1.63631,0.73282,0.61003,0.69186,0.49586,1.1185,1.09412,1.16332,0.0684575,0.00166013,0.00166013
2,119.943,1.11961,1.25138,1.52003,0.84339,0.48003,0.5697,0.40159,1.28398,1.6838,1.38105,0.0367843,0.00332021,0.00332021
3,180.738,1.08265,1.28416,1.45583,0.75262,0.69493,0.76074,0.54132,1.1178,0.95995,1.14327,0.00510441,0.00497369,0.00497369
4,241.478,1.11702,1.19507,1.46061,0.72842,0.73218,0.73884,0.5062,1.11845,1.25502,1.15752,0.0049703,0.0049703,0.0049703
5,302.202,1.12685,1.1733,1.49631,0.80865,0.7493,0.8185,0.57155,1.11231,1.02802,1.15039,0.0049604,0.0049604,0.0049604
6,363.007,1.14353,1.15456,1.49929,0.81052,0.72702,0.79871,0.56691,1.16074,1.06084,1.22899,0.0049505,0.0049505,0.0049505
7,423.707,1.09179,1.0956,1.48668,0.81796,0.8078,0.87451,0.61221,1.10528,0.71792,1.13395,0.0049406,0.0049406,0.0049406
8,484.507,1.08812,1.02967,1.47392,0.73314,0.81337,0.81207,0.58059,1.06404,0.90655,1.1256,0.0049307,0.0049307,0.0049307
9,545.14,1.04879,0.98523,1.42792,0.81507,0.71209,0.77272,0.54738,1.12027,1.18152,1.20001,0.0049208,0.0049208,0.0049208
10,605.829,1.1085,1.03089,1.49039,0.85931,0.54596,0.63893,0.46385,1.20441,1.63797,1.32958,0.0049109,0.0049109,0.0049109
11,666.549,1.05945,0.9357,1.45828,0.86293,0.81616,0.88689,0.62915,1.09412,0.78882,1.17799,0.004901,0.004901,0.004901
12,727.356,1.06554,0.97288,1.46805,0.89364,0.74893,0.87905,0.61913,1.08688,0.80539,1.19499,0.0048911,0.0048911,0.0048911
13,787.981,1.07155,0.96586,1.45092,0.84729,0.67409,0.75713,0.53778,1.18117,1.21348,1.27624,0.0048812,0.0048812,0.0048812
14,848.709,1.01977,0.88893,1.40391,0.86848,0.75414,0.87114,0.62183,1.07335,0.75959,1.17289,0.0048713,0.0048713,0.0048713
15,909.421,1.03125,0.91977,1.43851,0.81133,0.81058,0.87995,0.62111,1.07012,0.82698,1.17674,0.0048614,0.0048614,0.0048614
16,970.109,1.01794,0.90268,1.44296,0.85257,0.83765,0.91089,0.64485,1.06086,0.68303,1.15604,0.0048515,0.0048515,0.0048515
