epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2801,1.32898,4.14051,1.80361,0.37066,0.15042,0.1886,0.12994,1.22645,3.09186,1.17987,0.0684575,0.00166013,0.00166013
2,37.7263,1.15915,2.16852,1.60985,0.66628,0.46716,0.50976,0.3712,1.17763,2.24479,1.09682,0.0367843,0.00332021,0.00332021
3,56.3275,1.14104,1.76349,1.56086,0.54953,0.57382,0.5684,0.39532,1.20755,1.73872,1.08588,0.00510441,0.00497369,0.00497369
4,74.7142,1.06431,1.58873,1.49054,0.74328,0.57382,0.66278,0.44873,1.2483,1.67932,1.13872,0.0049703,0.0049703,0.0049703
5,92.8735,1.03733,1.42317,1.4758,0.7238,0.54017,0.62621,0.41914,1.22211,1.64124,1.14716,0.0049604,0.0049604,0.0049604
6,111.424,0.98484,1.33761,1.43415,0.70443,0.47799,0.55226,0.38838,1.24744,1.92593,1.21776,0.0049505,0.0049505,0.0049505
7,129.792,0.92356,1.20866,1.36052,0.64715,0.61838,0.65793,0.43664,1.20625,1.35676,1.13664,0.0049406,0.0049406,0.0049406
8,148.059,0.868,1.10632,1.30196,0.78028,0.61838,0.71228,0.45901,1.2778,1.5672,1.17006,0.0049307,0.0049307,0.0049307
9,166.243,0.83717,1.01363,1.28569,0.78966,0.63791,0.75857,0.49889,1.21811,1.17421,1.14212,0.0049208,0.0049208,0.0049208
10,184.88,0.77063,0.91927,1.23959,0.82767,0.69567,0.80941,0.54702,1.20317,1.19651,1.09528,0.0049109,0.0049109,0.0049109
11,203.667,0.74465,0.87407,1.20277,0.79416,0.76303,0.82343,0.56108,1.17363,1.06029,1.08605,0.004901,0.004901,0.004901
12,222.229,0.70208,0.80898,1.16458,0.85217,0.70195,0.81251,0.53831,1.21275,1.07345,1.12859,0.0048911,0.0048911,0.0048911
13,240.932,0.66777,0.72838,1.13028,0.81673,0.69517,0.78631,0.53276,1.18,1.18244,1.12431,0.0048812,0.0048812,0.0048812
14,259.295,0.63212,0.68927,1.09956,0.78213,0.7688,0.8355,0.56096,1.18456,0.98109,1.09694,0.0048713,0.0048713,0.0048713
15,277.707,0.60916,0.64544,1.07886,0.79169,0.80456,0.84189,0.55281,1.22024,0.96752,1.1285,0.0048614,0.0048614,0.0048614
16,296.216,0.58965,0.62752,1.06066,0.76369,0.78317,0.82787,0.53743,1.19291,0.96432,1.12193,0.0048515,0.0048515,0.0048515
17,314.933,0.57454,0.60687,1.0406,0.76264,0.78759,0.82258,0.55137,1.18812,0.99017,1.10645,0.0048416,0.0048416,0.0048416
18,333.779,0.54934,0.58492,1.03194,0.8299,0.74747,0.82669,0.56004,1.19226,0.99529,1.12308,0.0048317,0.0048317,0.0048317
19,352.206,0.52034,0.54473,1.0015,0.7769,0.7275,0.80792,0.53136,1.20691,1.09539,1.1254,0.0048218,0.0048218,0.0048218
20,370.731,0.49573,0.5227,0.98015,0.84159,0.71031,0.83556,0.5508,1.20544,0.99526,1.10878,0.0048119,0.0048119,0.0048119
21,389.223,0.47858,0.50644,0.96158,0.8172,0.74714,0.82629,0.54179,1.24025,1.00578,1.13037,0.004802,0.004802,0.004802
22,407.656,0.46832,0.48446,0.95748,0.79543,0.74095,0.79132,0.52068,1.20062,1.06111,1.12208,0.0047921,0.0047921,0.0047921
23,426.144,0.45315,0.47339,0.95191,0.87306,0.65138,0.7883,0.5141,1.22079,1.20925,1.1534,0.0047822,0.0047822,0.0047822
24,444.777,0.43962,0.44536,0.93307,0.80129,0.71031,0.80293,0.51756,1.22658,1.13536,1.15041,0.0047723,0.0047723,0.0047723
25,463.406,0.43083,0.43577,0.92194,0.78648,0.79109,0.83227,0.55103,1.19264,1.03663,1.11038,0.0047624,0.0047624,0.0047624
26,482.173,0.42096,0.42879,0.91853,0.84378,0.70712,0.81475,0.56115,1.18765,1.14164,1.13156,0.0047525,0.0047525,0.0047525
27,500.611,0.41199,0.41567,0.91227,0.81066,0.74652,0.8228,0.5444,1.22083,1.05423,1.1299,0.0047426,0.0047426,0.0047426
28,519.1,0.38982,0.39743,0.90374,0.77932,0.78697,0.84571,0.55171,1.21977,0.9677,1.14314,0.0047327,0.0047327,0.0047327
29,537.392,0.38163,0.38948,0.88783,0.80006,0.7688,0.83992,0.5476,1.17867,0.95395,1.12858,0.0047228,0.0047228,0.0047228
30,556.413,0.37503,0.38571,0.88941,0.76289,0.74386,0.81117,0.53347,1.19292,1.05782,1.13155,0.0047129,0.0047129,0.0047129
31,574.901,0.38617,0.37765,0.89362,0.83073,0.72423,0.80582,0.54246,1.2315,1.1595,1.17595,0.004703,0.004703,0.004703
32,593.911,0.37204,0.37128,0.88801,0.78242,0.76323,0.82568,0.55236,1.16333,0.96217,1.12961,0.0046931,0.0046931,0.0046931
33,612.834,0.36391,0.35983,0.87009,0.77586,0.72317,0.79819,0.54266,1.19611,1.03797,1.10297,0.0046832,0.0046832,0.0046832
34,631.828,0.36477,0.36235,0.87057,0.8175,0.7237,0.81734,0.54887,1.20886,1.03177,1.1258,0.0046733,0.0046733,0.0046733
35,650.688,0.34797,0.34389,0.86189,0.77597,0.7688,0.81401,0.53688,1.1971,1.00964,1.14665,0.0046634,0.0046634,0.0046634
36,669.49,0.34569,0.34191,0.85935,0.79866,0.7688,0.82761,0.55465,1.18853,0.92743,1.10933,0.0046535,0.0046535,0.0046535
37,687.801,0.34049,0.3363,0.85728,0.81446,0.79387,0.85754,0.57794,1.19199,0.97128,1.11727,0.0046436,0.0046436,0.0046436
38,706.097,0.33365,0.32982,0.85292,0.80413,0.59889,0.70798,0.47134,1.31182,1.78305,1.27627,0.0046337,0.0046337,0.0046337
39,724.445,0.32805,0.32133,0.84742,0.78291,0.7735,0.79084,0.52716,1.21562,1.00297,1.13977,0.0046238,0.0046238,0.0046238
40,742.826,0.32162,0.31435,0.84552,0.78753,0.795,0.83809,0.55934,1.20118,0.96184,1.1205,0.0046139,0.0046139,0.0046139
41,761.712,0.30877,0.30661,0.84023,0.82913,0.71638,0.83119,0.55315,1.20835,1.05485,1.15516,0.004604,0.004604,0.004604
42,780.345,0.32191,0.30896,0.84957,0.83085,0.7688,0.84001,0.5632,1.22815,1.07678,1.16089,0.0045941,0.0045941,0.0045941
43,799.469,0.32081,0.31186,0.84384,0.80702,0.7688,0.82713,0.56106,1.18539,1.01824,1.12805,0.0045842,0.0045842,0.0045842
44,817.901,0.31477,0.30049,0.83921,0.82753,0.77437,0.84247,0.55656,1.22635,1.02868,1.16,0.0045743,0.0045743,0.0045743
45,836.351,0.30555,0.29491,0.83911,0.79466,0.76045,0.82692,0.55572,1.24249,1.0345,1.15921,0.0045644,0.0045644,0.0045644
46,854.903,0.30509,0.29193,0.83453,0.81923,0.77005,0.84671,0.5655,1.2217,1.0116,1.13778,0.0045545,0.0045545,0.0045545
