epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.077,1.29275,3.19739,1.74869,0.65323,0.67409,0.66749,0.47813,1.1694,1.38623,1.4141,0.0683748,0.00166448,0.00166448
2,287.804,1.12029,1.53302,1.54763,0.63542,0.73308,0.68518,0.47147,1.09749,1.27021,1.31703,0.0367016,0.00332455,0.00332455
3,432.31,1.24069,1.56131,1.59382,0.70083,0.65738,0.71621,0.50618,1.18694,1.31004,1.34236,0.00502171,0.00497802,0.00497802
4,576.737,1.18518,1.44056,1.57398,0.70263,0.69081,0.7241,0.52413,1.10083,1.22455,1.24886,0.0049703,0.0049703,0.0049703
5,721.442,1.25822,1.33914,1.65755,0.82728,0.52032,0.63637,0.4552,1.21954,1.8505,1.30894,0.0049604,0.0049604,0.0049604
6,865.508,1.28196,1.37357,1.64368,0.71683,0.59331,0.67659,0.4887,1.18628,1.49016,1.30558,0.0049505,0.0049505,0.0049505
7,1009.96,1.24969,1.3151,1.62385,0.83654,0.65574,0.77835,0.54643,1.12943,1.0827,1.27787,0.0049406,0.0049406,0.0049406
8,1154.73,1.25058,1.27941,1.62587,0.81006,0.72423,0.78733,0.55041,1.16495,1.24268,1.3082,0.0049307,0.0049307,0.0049307
9,1299.44,1.24846,1.47369,1.63017,0.59301,0.69916,0.62703,0.42083,1.15882,1.81778,1.32493,0.0049208,0.0049208,0.0049208
10,1443.7,1.19927,1.24886,1.61579,0.80208,0.64903,0.74265,0.53838,1.13856,1.48326,1.29501,0.0049109,0.0049109,0.0049109
11,1588.27,1.19265,1.24135,1.57609,0.77193,0.71588,0.7782,0.53409,1.18977,1.13052,1.31013,0.004901,0.004901,0.004901
12,1732.34,1.22726,1.25599,1.61083,0.7554,0.73816,0.78195,0.55256,1.15122,1.1552,1.28443,0.0048911,0.0048911,0.0048911
13,1877.13,1.19738,1.20496,1.61546,0.71814,0.4234,0.558,0.41138,1.18752,2.80196,1.31036,0.0048812,0.0048812,0.0048812
14,2021.36,1.17402,1.20391,1.58548,0.84398,0.73832,0.82764,0.56144,1.16507,1.05904,1.30478,0.0048713,0.0048713,0.0048713
15,2165.87,1.16052,1.19971,1.57133,0.76911,0.72145,0.77232,0.54132,1.24763,1.20167,1.35497,0.0048614,0.0048614,0.0048614
16,2310.53,1.13248,1.11275,1.547,0.81306,0.77437,0.82727,0.56245,1.11838,1.0237,1.29992,0.0048515,0.0048515,0.0048515
17,2454.95,1.11652,1.12443,1.53409,0.7458,0.75487,0.81257,0.56695,1.12689,0.98657,1.29276,0.0048416,0.0048416,0.0048416
18,2599.42,1.10302,1.11766,1.52004,0.50429,0.60925,0.48684,0.32611,1.16672,1.84581,1.35481,0.0048317,0.0048317,0.0048317
19,2743.84,1.15239,1.13012,1.5461,0.84632,0.70561,0.82958,0.56627,1.15163,1.09297,1.2787,0.0048218,0.0048218,0.0048218
20,2888.6,1.14894,1.0961,1.56416,0.73343,0.67967,0.74573,0.52798,1.13239,1.24433,1.30264,0.0048119,0.0048119,0.0048119
21,3033,1.14485,1.09172,1.58053,0.8173,0.7883,0.83932,0.58789,1.12439,0.96855,1.279,0.004802,0.004802,0.004802
22,3177.68,1.12733,1.04797,1.56374,0.79269,0.74373,0.82403,0.58755,1.09875,1.01619,1.26464,0.0047921,0.0047921,0.0047921
23,3321.96,1.12853,1.1018,1.52223,0.76874,0.69359,0.77539,0.54713,1.14921,1.32009,1.30462,0.0047822,0.0047822,0.0047822
24,3466.28,1.08278,1.08048,1.51844,0.80561,0.71031,0.80096,0.56364,1.13063,1.05893,1.27379,0.0047723,0.0047723,0.0047723
25,3610.64,1.09771,1.01681,1.55249,0.78603,0.74652,0.80458,0.55161,1.1818,1.14629,1.36967,0.0047624,0.0047624,0.0047624
26,3754.85,1.07782,1.07979,1.50864,0.8401,0.68786,0.80494,0.52925,1.16587,0.99803,1.35438,0.0047525,0.0047525,0.0047525
27,3899.28,1.10975,1.05442,1.53783,0.77757,0.8078,0.85794,0.60604,1.1098,0.93168,1.27412,0.0047426,0.0047426,0.0047426
28,4043.47,1.09374,0.99139,1.50091,0.8852,0.71866,0.85197,0.58617,1.11724,0.9164,1.2857,0.0047327,0.0047327,0.0047327
29,4187.73,1.0407,1.02725,1.47431,0.76818,0.78459,0.82831,0.57465,1.10667,1.0384,1.28425,0.0047228,0.0047228,0.0047228
30,4332.15,1.0693,1.02828,1.5033,0.80857,0.7493,0.84314,0.59056,1.15445,0.9711,1.33704,0.0047129,0.0047129,0.0047129
31,4476.5,1.00497,0.98122,1.42832,0.83273,0.79042,0.85483,0.5984,1.13641,0.92452,1.28834,0.004703,0.004703,0.004703
32,4620.91,1.05818,0.96622,1.47168,0.88309,0.7154,0.79815,0.56101,1.18982,1.14612,1.32531,0.0046931,0.0046931,0.0046931
33,4765.44,1.07431,0.98994,1.50555,0.86068,0.72702,0.83559,0.58825,1.14156,1.00927,1.32061,0.0046832,0.0046832,0.0046832
34,4909.96,1.05377,1.04144,1.48134,0.8171,0.7883,0.8416,0.59131,1.10543,1.02312,1.29585,0.0046733,0.0046733,0.0046733
35,5054.39,1.07541,1.05459,1.50957,0.83916,0.77716,0.8553,0.59011,1.13102,0.96058,1.29928,0.0046634,0.0046634,0.0046634
36,5198.73,1.02786,1.06718,1.47199,0.82921,0.72702,0.81021,0.54569,1.21254,1.18718,1.38365,0.0046535,0.0046535,0.0046535
37,5343.25,1.00392,0.96719,1.44005,0.83326,0.83524,0.8824,0.61615,1.12579,0.84656,1.29569,0.0046436,0.0046436,0.0046436
38,5487.72,1.00535,0.93294,1.44409,0.866,0.79211,0.87714,0.59537,1.15621,0.86471,1.31014,0.0046337,0.0046337,0.0046337
39,5631.99,1.03664,0.93145,1.45674,0.81628,0.8273,0.87869,0.59692,1.14786,0.82702,1.33693,0.0046238,0.0046238,0.0046238
40,5776.45,1.03839,0.94293,1.44157,0.89404,0.74652,0.86713,0.61688,1.07057,0.88797,1.295,0.0046139,0.0046139,0.0046139
41,5920.78,1.02068,0.94621,1.4362,0.70979,0.75487,0.78607,0.55486,1.12779,1.1557,1.31105,0.004604,0.004604,0.004604
42,6065.37,1.00518,0.92405,1.43578,0.84205,0.7722,0.84773,0.59951,1.14136,0.97466,1.31407,0.0045941,0.0045941,0.0045941
43,6209.36,0.99855,0.91581,1.44666,0.83647,0.80223,0.88018,0.61021,1.10292,0.79315,1.28833,0.0045842,0.0045842,0.0045842
44,6353.6,0.97928,0.88723,1.43836,0.91371,0.79636,0.89842,0.60594,1.1117,0.81832,1.3087,0.0045743,0.0045743,0.0045743
45,6497.84,1.01108,0.92564,1.45573,0.79416,0.7493,0.8287,0.56919,1.10868,0.95842,1.30505,0.0045644,0.0045644,0.0045644
46,6642.28,1.02203,0.89396,1.46528,0.80137,0.80917,0.87281,0.58356,1.11051,0.86634,1.29555,0.0045545,0.0045545,0.0045545
