epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4077,1.30414,3.57085,1.66715,0.4333,0.2641,0.3244,0.2192,1.15809,2.73289,1.09304,0.0684575,0.00166013,0.00166013
2,37.859,1.25076,2.24834,1.59256,0.54512,0.45404,0.47367,0.34239,1.22148,2.28944,1.11156,0.0367843,0.00332021,0.00332021
3,56.3577,1.16387,1.90561,1.47356,0.66816,0.58496,0.64238,0.45433,1.15156,1.58065,1.07397,0.00510441,0.00497369,0.00497369
4,74.6918,1.16471,1.75761,1.47454,0.70479,0.64903,0.69512,0.46046,1.2186,1.38424,1.1301,0.0049703,0.0049703,0.0049703
5,93.0686,1.17774,1.74009,1.50249,0.65141,0.42618,0.4949,0.32902,1.27872,2.2205,1.23457,0.0049604,0.0049604,0.0049604
6,111.591,1.21394,1.69795,1.5317,0.74458,0.59889,0.69279,0.47897,1.16713,1.30528,1.11737,0.0049505,0.0049505,0.0049505
7,130.14,1.13244,1.5817,1.49688,0.66855,0.66862,0.69658,0.45621,1.17625,1.3965,1.124,0.0049406,0.0049406,0.0049406
8,148.659,1.13962,1.53493,1.48287,0.773,0.64502,0.71792,0.4902,1.17835,1.37708,1.14127,0.0049307,0.0049307,0.0049307
9,167.301,1.08409,1.41326,1.42601,0.77089,0.49025,0.61659,0.40599,1.25826,2.19826,1.29644,0.0049208,0.0049208,0.0049208
10,185.851,1.11259,1.38767,1.45651,0.80974,0.72145,0.81504,0.56619,1.07897,1.0792,1.09018,0.0049109,0.0049109,0.0049109
11,204.502,1.06447,1.31081,1.42441,0.83357,0.73816,0.80303,0.55185,1.09659,0.98448,1.06498,0.004901,0.004901,0.004901
12,223.132,1.08308,1.31277,1.43849,0.83048,0.79146,0.84751,0.59858,1.11559,1.0205,1.07741,0.0048911,0.0048911,0.0048911
13,241.88,1.08812,1.28494,1.42913,0.74175,0.64067,0.72091,0.48303,1.2651,1.32997,1.18966,0.0048812,0.0048812,0.0048812
14,260.516,1.04794,1.18865,1.39166,0.82752,0.77511,0.84565,0.57482,1.11834,0.94534,1.07231,0.0048713,0.0048713,0.0048713
15,279.11,1.03975,1.23039,1.40695,0.7546,0.73259,0.80312,0.55694,1.11023,1.09404,1.07201,0.0048614,0.0048614,0.0048614
16,297.77,1.03966,1.16162,1.39941,0.86298,0.74373,0.84264,0.57327,1.12811,1.00076,1.08448,0.0048515,0.0048515,0.0048515
17,316.331,1.03973,1.18072,1.37935,0.80458,0.77984,0.84419,0.56035,1.13886,0.94227,1.0877,0.0048416,0.0048416,0.0048416
18,335.102,1.04935,1.14344,1.38665,0.84645,0.77716,0.87462,0.59422,1.08826,0.9144,1.07955,0.0048317,0.0048317,0.0048317
19,353.95,1.01646,1.08378,1.36641,0.75389,0.79944,0.83344,0.55417,1.08693,0.92197,1.06375,0.0048218,0.0048218,0.0048218
20,372.806,1.02395,1.13135,1.36899,0.83581,0.75154,0.84329,0.57764,1.0791,0.9493,1.06585,0.0048119,0.0048119,0.0048119
21,391.573,1.01695,1.08088,1.3483,0.75474,0.77994,0.81374,0.54231,1.10728,0.941,1.0518,0.004802,0.004802,0.004802
22,410.363,0.97147,1.05134,1.34303,0.83848,0.75487,0.82999,0.57743,1.09895,1.02724,1.08215,0.0047921,0.0047921,0.0047921
23,428.979,0.99326,1.02705,1.35641,0.79012,0.79109,0.84415,0.56014,1.11753,0.87497,1.07404,0.0047822,0.0047822,0.0047822
24,447.485,1.0058,1.01186,1.34063,0.85221,0.7688,0.86922,0.60494,1.09573,0.89485,1.07058,0.0047723,0.0047723,0.0047723
