epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0232,1.23594,2.27259,1.63344,0.64703,0.56677,0.63938,0.46026,1.1495,1.31787,1.22344,0.00332026,0.00332026,0.00332026
2,119.758,1.23899,1.54903,1.57743,0.6051,0.73816,0.66197,0.4509,1.23005,1.40195,1.2811,0.00664701,0.00664701,0.00664701
3,180.227,1.29131,1.95292,1.57159,0.51681,0.46775,0.41135,0.28178,1.31308,2.91498,1.24305,0.00996715,0.00996715,0.00996715
4,240.625,1.34799,1.68859,1.63915,0.60397,0.61597,0.62866,0.41745,1.26971,1.41147,1.21823,0.0099703,0.0099703,0.0099703
5,301.016,1.41782,1.72621,1.70921,0.63038,0.37326,0.38327,0.24501,1.49077,2.2801,1.50532,0.0099604,0.0099604,0.0099604
6,361.477,1.41301,1.67593,1.7274,0.39004,0.28856,0.37544,0.25332,1.55353,2.16643,1.5415,0.0099505,0.0099505,0.0099505
7,421.888,1.36322,1.60184,1.69931,0.72561,0.58217,0.69241,0.46126,1.31873,1.39542,1.26389,0.0099406,0.0099406,0.0099406
8,482.423,1.35394,1.49318,1.6788,0.72022,0.60446,0.66083,0.42774,1.34239,1.42456,1.29937,0.0099307,0.0099307,0.0099307
9,542.859,1.2916,1.40529,1.62452,0.70715,0.53203,0.62197,0.41955,1.3721,1.54747,1.38057,0.0099208,0.0099208,0.0099208
10,603.248,1.32426,1.41401,1.66659,0.75059,0.67062,0.76258,0.51288,1.2648,1.17161,1.27456,0.0099109,0.0099109,0.0099109
11,663.695,1.26672,1.36145,1.62632,0.7355,0.61967,0.69455,0.48982,1.23762,1.38511,1.32702,0.009901,0.009901,0.009901
12,724.132,1.29092,1.35866,1.65162,0.40103,0.54596,0.47321,0.30365,1.28432,1.63738,1.29322,0.0098911,0.0098911,0.0098911
13,784.555,1.27101,1.43569,1.60791,0.74189,0.32026,0.38634,0.25699,1.54299,2.47146,1.57073,0.0098812,0.0098812,0.0098812
14,845.004,1.23986,1.31216,1.58649,0.77201,0.54875,0.65891,0.42806,1.47708,1.51316,1.47254,0.0098713,0.0098713,0.0098713
15,905.485,1.24341,1.28946,1.60434,0.83611,0.69359,0.80716,0.53634,1.26617,1.03011,1.25137,0.0098614,0.0098614,0.0098614
16,966.005,1.24971,1.23358,1.59156,0.80517,0.56267,0.65439,0.43926,1.2798,1.46764,1.30575,0.0098515,0.0098515,0.0098515
17,1026.43,1.25616,1.29825,1.60219,0.85918,0.6546,0.77709,0.52152,1.28509,1.12172,1.29004,0.0098416,0.0098416,0.0098416
18,1086.85,1.23649,1.28152,1.59063,0.73618,0.70195,0.78017,0.52566,1.20679,1.07621,1.25263,0.0098317,0.0098317,0.0098317
19,1147.28,1.21386,1.19173,1.58079,0.66341,0.44471,0.5467,0.34538,1.48746,1.67214,1.49152,0.0098218,0.0098218,0.0098218
20,1207.78,1.196,1.20505,1.54796,0.80002,0.71319,0.81883,0.54957,1.22788,1.00757,1.27974,0.0098119,0.0098119,0.0098119
21,1268.4,1.1998,1.17215,1.56913,0.80285,0.45373,0.60606,0.37959,1.47032,1.64994,1.53507,0.009802,0.009802,0.009802
